30.0;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;0.79%;503kB / 16.5MB
30.5;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;1.29%;503kB / 17MB
31.0;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;1.29%;503kB / 17MB
31.5;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;0.86%;504kB / 17.2MB
32.0;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;0.86%;504kB / 17.2MB
32.5;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;1.10%;505kB / 17.6MB
33.0;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;1.10%;505kB / 17.6MB
33.5;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;0.89%;505kB / 17.8MB
34.0;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;0.89%;505kB / 17.8MB
34.5;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;1.07%;505kB / 18.2MB
35.0;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;1.07%;505kB / 18.2MB
35.5;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;0.91%;506kB / 18.5MB
36.0;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;0.91%;506kB / 18.5MB
36.5;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;0.97%;507kB / 18.8MB
37.0;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;0.97%;507kB / 18.8MB
37.5;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;0.89%;507kB / 19.1MB
38.0;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;0.89%;507kB / 19.1MB
38.5;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;0.62%;507kB / 19.3MB
39.0;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;0.62%;507kB / 19.3MB
39.5;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;0.77%;508kB / 19.6MB
40.0;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;0.77%;508kB / 19.6MB
40.5;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;1.31%;509kB / 20.1MB
41.0;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;1.31%;509kB / 20.1MB
41.5;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;1.61%;510kB / 20.8MB
42.0;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;1.61%;510kB / 20.8MB
42.5;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;1.68%;511kB / 21.5MB
43.0;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;1.68%;511kB / 21.5MB
43.5;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;1.61%;513kB / 22.4MB
44.0;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;1.61%;513kB / 22.4MB
44.5;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;1.44%;514kB / 23MB
45.0;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;1.44%;514kB / 23MB
45.5;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;1.47%;515kB / 23.5MB
46.0;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;1.47%;515kB / 23.5MB
46.5;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;1.00%;515kB / 23.7MB
47.0;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;1.00%;515kB / 23.7MB
47.5;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;0.67%;516kB / 23.9MB
48.0;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;0.67%;516kB / 23.9MB
48.5;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;1.34%;517kB / 24.2MB
49.0;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;1.34%;517kB / 24.2MB
49.5;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;0.92%;518kB / 24.7MB
50.0;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;0.92%;518kB / 24.7MB
50.5;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;0.73%;518kB / 24.9MB
51.0;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;0.73%;518kB / 24.9MB
51.5;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;1.16%;520kB / 25.3MB
52.0;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;1.16%;520kB / 25.3MB
52.5;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;1.13%;521kB / 25.7MB
53.0;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;1.13%;521kB / 25.7MB
53.5;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;1.49%;524kB / 26.2MB
54.0;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;1.49%;524kB / 26.2MB
54.5;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;1.46%;526kB / 26.6MB
55.0;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;1.46%;526kB / 26.6MB
55.5;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;1.24%;527kB / 26.9MB
56.0;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;1.24%;527kB / 26.9MB
56.5;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;1.69%;530kB / 27.4MB
57.0;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;1.69%;530kB / 27.4MB
57.5;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;1.22%;531kB / 27.6MB
58.0;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;1.22%;531kB / 27.6MB
58.5;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;1.51%;534kB / 28.1MB
59.0;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;1.51%;534kB / 28.1MB
59.5;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;0.86%;535kB / 28.2MB
60.0;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;0.86%;535kB / 28.2MB
60.5;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;1.15%;538kB / 28.5MB
61.0;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;1.15%;538kB / 28.5MB
61.5;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;0.99%;540kB / 28.7MB
62.0;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;0.99%;540kB / 28.7MB
62.5;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;1.02%;542kB / 28.9MB
63.0;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;1.02%;542kB / 28.9MB
63.5;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;0.78%;544kB / 29MB
64.0;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;0.78%;544kB / 29MB
64.5;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;0.73%;545kB / 29.1MB
65.0;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;0.73%;545kB / 29.1MB
65.5;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;0.90%;548kB / 29.2MB
66.0;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;0.90%;548kB / 29.2MB
66.5;1499771c063d;ngtcp2;14.16MiB / 1.953GiB;0.71%;0.87%;551kB / 29.2MB
67.0;1499771c063d;ngtcp2;14.16MiB / 1.953GiB;0.71%;0.87%;551kB / 29.2MB
67.5;1499771c063d;ngtcp2;14.16MiB / 1.953GiB;0.71%;0.83%;556kB / 29.2MB
68.0;1499771c063d;ngtcp2;14.16MiB / 1.953GiB;0.71%;0.83%;556kB / 29.2MB
68.5;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;0.00%;556kB / 29.2MB
69.0;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;0.00%;556kB / 29.2MB
69.5;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;0.00%;556kB / 29.2MB
70.0;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;0.00%;556kB / 29.2MB
70.5;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;0.00%;556kB / 29.2MB
71.0;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;0.00%;556kB / 29.2MB
71.5;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;0.00%;556kB / 29.2MB
72.0;1499771c063d;ngtcp2;14.04MiB / 1.953GiB;0.70%;0.00%;556kB / 29.2MB
