0.0;541c6ce6e4ec;ngtcp2;5.254MiB / 1.953GiB;0.26%;0.00%;688B / 0B
0.5;541c6ce6e4ec;ngtcp2;5.254MiB / 1.953GiB;0.26%;0.00%;688B / 0B
1.0;541c6ce6e4ec;ngtcp2;5.156MiB / 1.953GiB;0.26%;0.00%;688B / 0B
1.5;541c6ce6e4ec;ngtcp2;5.156MiB / 1.953GiB;0.26%;0.00%;688B / 0B
2.0;541c6ce6e4ec;ngtcp2;5.664MiB / 1.953GiB;0.28%;6.59%;12.5kB / 22.9kB
2.5;541c6ce6e4ec;ngtcp2;5.664MiB / 1.953GiB;0.28%;6.59%;12.5kB / 22.9kB
3.0;541c6ce6e4ec;ngtcp2;7.629MiB / 1.953GiB;0.38%;34.06%;188kB / 827kB
3.5;541c6ce6e4ec;ngtcp2;7.629MiB / 1.953GiB;0.38%;34.06%;188kB / 827kB
4.0;541c6ce6e4ec;ngtcp2;10.01MiB / 1.953GiB;0.50%;25.86%;233kB / 2.12MB
4.5;541c6ce6e4ec;ngtcp2;10.01MiB / 1.953GiB;0.50%;25.86%;233kB / 2.12MB
5.0;541c6ce6e4ec;ngtcp2;10.01MiB / 1.953GiB;0.50%;4.68%;241kB / 3.47MB
5.5;541c6ce6e4ec;ngtcp2;10.01MiB / 1.953GiB;0.50%;4.68%;241kB / 3.47MB
6.0;541c6ce6e4ec;ngtcp2;10.01MiB / 1.953GiB;0.50%;3.47%;245kB / 4.34MB
6.5;541c6ce6e4ec;ngtcp2;10.01MiB / 1.953GiB;0.50%;3.47%;245kB / 4.34MB
7.0;541c6ce6e4ec;ngtcp2;10.01MiB / 1.953GiB;0.50%;3.02%;247kB / 5.32MB
7.5;541c6ce6e4ec;ngtcp2;10.01MiB / 1.953GiB;0.50%;3.02%;247kB / 5.32MB
8.0;541c6ce6e4ec;ngtcp2;10.01MiB / 1.953GiB;0.50%;4.27%;251kB / 6.9MB
8.5;541c6ce6e4ec;ngtcp2;10.01MiB / 1.953GiB;0.50%;4.27%;251kB / 6.9MB
9.0;541c6ce6e4ec;ngtcp2;10.01MiB / 1.953GiB;0.50%;2.05%;252kB / 7.37MB
9.5;541c6ce6e4ec;ngtcp2;10.01MiB / 1.953GiB;0.50%;2.05%;252kB / 7.37MB
10.0;541c6ce6e4ec;ngtcp2;10.01MiB / 1.953GiB;0.50%;2.25%;254kB / 8.18MB
10.5;541c6ce6e4ec;ngtcp2;10.01MiB / 1.953GiB;0.50%;2.25%;254kB / 8.18MB
11.0;541c6ce6e4ec;ngtcp2;10.01MiB / 1.953GiB;0.50%;4.08%;257kB / 10MB
11.5;541c6ce6e4ec;ngtcp2;10.01MiB / 1.953GiB;0.50%;4.08%;257kB / 10MB
12.0;541c6ce6e4ec;ngtcp2;10.01MiB / 1.953GiB;0.50%;2.54%;259kB / 10.8MB
12.5;541c6ce6e4ec;ngtcp2;10.01MiB / 1.953GiB;0.50%;2.54%;259kB / 10.8MB
13.0;541c6ce6e4ec;ngtcp2;10.01MiB / 1.953GiB;0.50%;2.46%;260kB / 11.8MB
13.5;541c6ce6e4ec;ngtcp2;10.01MiB / 1.953GiB;0.50%;2.46%;260kB / 11.8MB
14.0;541c6ce6e4ec;ngtcp2;10.01MiB / 1.953GiB;0.50%;2.37%;263kB / 12.5MB
14.5;541c6ce6e4ec;ngtcp2;10.01MiB / 1.953GiB;0.50%;2.37%;263kB / 12.5MB
15.0;541c6ce6e4ec;ngtcp2;10.01MiB / 1.953GiB;0.50%;3.24%;267kB / 13.6MB
15.5;541c6ce6e4ec;ngtcp2;10.01MiB / 1.953GiB;0.50%;3.24%;267kB / 13.6MB
16.0;541c6ce6e4ec;ngtcp2;10.01MiB / 1.953GiB;0.50%;2.54%;270kB / 14.1MB
16.5;541c6ce6e4ec;ngtcp2;10.01MiB / 1.953GiB;0.50%;2.54%;270kB / 14.1MB
17.0;541c6ce6e4ec;ngtcp2;10.01MiB / 1.953GiB;0.50%;1.96%;273kB / 14.5MB
17.5;541c6ce6e4ec;ngtcp2;10.01MiB / 1.953GiB;0.50%;1.96%;273kB / 14.5MB
18.0;541c6ce6e4ec;ngtcp2;10.13MiB / 1.953GiB;0.51%;1.30%;281kB / 14.6MB
18.5;541c6ce6e4ec;ngtcp2;10.13MiB / 1.953GiB;0.51%;1.30%;281kB / 14.6MB
19.0;541c6ce6e4ec;ngtcp2;10.01MiB / 1.953GiB;0.50%;0.00%;281kB / 14.6MB
19.5;541c6ce6e4ec;ngtcp2;10.01MiB / 1.953GiB;0.50%;0.00%;281kB / 14.6MB
20.0;541c6ce6e4ec;ngtcp2;10.01MiB / 1.953GiB;0.50%;0.00%;281kB / 14.6MB
20.5;541c6ce6e4ec;ngtcp2;10.01MiB / 1.953GiB;0.50%;0.00%;281kB / 14.6MB
