29.0;664245af4c4f;ngtcp2;14.44MiB / 1.953GiB;0.72%;3.79%;538kB / 26.5MB
29.5;664245af4c4f;ngtcp2;14.44MiB / 1.953GiB;0.72%;3.79%;538kB / 26.5MB
30.0;664245af4c4f;ngtcp2;14.44MiB / 1.953GiB;0.72%;2.92%;542kB / 27.3MB
30.5;664245af4c4f;ngtcp2;14.44MiB / 1.953GiB;0.72%;2.92%;542kB / 27.3MB
31.0;664245af4c4f;ngtcp2;14.44MiB / 1.953GiB;0.72%;2.67%;545kB / 28MB
31.5;664245af4c4f;ngtcp2;14.44MiB / 1.953GiB;0.72%;2.67%;545kB / 28MB
32.0;664245af4c4f;ngtcp2;14.44MiB / 1.953GiB;0.72%;1.95%;548kB / 28.4MB
32.5;664245af4c4f;ngtcp2;14.44MiB / 1.953GiB;0.72%;1.95%;548kB / 28.4MB
33.0;664245af4c4f;ngtcp2;14.44MiB / 1.953GiB;0.72%;2.19%;553kB / 28.9MB
33.5;664245af4c4f;ngtcp2;14.44MiB / 1.953GiB;0.72%;2.19%;553kB / 28.9MB
34.0;664245af4c4f;ngtcp2;14.44MiB / 1.953GiB;0.72%;1.68%;556kB / 29MB
34.5;664245af4c4f;ngtcp2;14.44MiB / 1.953GiB;0.72%;1.68%;556kB / 29MB
35.0;664245af4c4f;ngtcp2;14.56MiB / 1.953GiB;0.73%;2.03%;564kB / 29.2MB
35.5;664245af4c4f;ngtcp2;14.56MiB / 1.953GiB;0.73%;2.03%;564kB / 29.2MB
36.0;664245af4c4f;ngtcp2;14.44MiB / 1.953GiB;0.72%;0.60%;568kB / 29.2MB
36.5;664245af4c4f;ngtcp2;14.44MiB / 1.953GiB;0.72%;0.60%;568kB / 29.2MB
37.0;664245af4c4f;ngtcp2;14.44MiB / 1.953GiB;0.72%;0.00%;568kB / 29.2MB
