28.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;5.20%;679kB / 12.6MB
28.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;2.80%;683kB / 13.2MB
29.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;2.80%;683kB / 13.2MB
29.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;1.64%;683kB / 13.4MB
30.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;1.64%;683kB / 13.4MB
30.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;1.41%;684kB / 13.7MB
31.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;1.41%;684kB / 13.7MB
31.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;1.07%;685kB / 14MB
32.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;1.07%;685kB / 14MB
32.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;1.50%;686kB / 14.5MB
33.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;1.50%;686kB / 14.5MB
33.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;1.27%;686kB / 14.7MB
34.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;1.27%;686kB / 14.7MB
34.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;1.14%;687kB / 15MB
35.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;1.14%;687kB / 15MB
35.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;1.00%;687kB / 15.2MB
36.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;1.00%;687kB / 15.2MB
36.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;0.77%;687kB / 15.4MB
37.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;0.77%;687kB / 15.4MB
37.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;1.00%;688kB / 15.7MB
38.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;1.00%;688kB / 15.7MB
38.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;0.71%;688kB / 15.8MB
39.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;0.71%;688kB / 15.8MB
39.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;1.23%;689kB / 16.2MB
40.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;1.23%;689kB / 16.2MB
40.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;0.76%;689kB / 16.4MB
41.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;0.76%;689kB / 16.4MB
41.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;1.36%;691kB / 17MB
42.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;1.36%;691kB / 17MB
42.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;2.89%;694kB / 18.3MB
43.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;2.89%;694kB / 18.3MB
43.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;3.72%;697kB / 19.8MB
44.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;3.72%;697kB / 19.8MB
44.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;2.18%;699kB / 20.6MB
45.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;2.18%;699kB / 20.6MB
45.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;1.89%;700kB / 21.1MB
46.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;1.89%;700kB / 21.1MB
46.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;1.60%;700kB / 21.4MB
47.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;1.60%;700kB / 21.4MB
47.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;1.68%;701kB / 21.8MB
48.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;1.68%;701kB / 21.8MB
48.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;1.01%;701kB / 22MB
49.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;1.01%;701kB / 22MB
49.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;1.12%;702kB / 22.3MB
50.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;1.12%;702kB / 22.3MB
50.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;0.98%;703kB / 22.8MB
51.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;0.98%;703kB / 22.8MB
51.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;0.48%;703kB / 22.9MB
52.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;0.48%;703kB / 22.9MB
52.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;0.95%;703kB / 23.2MB
53.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;0.95%;703kB / 23.2MB
53.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;1.00%;704kB / 23.5MB
54.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;1.00%;704kB / 23.5MB
54.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;0.71%;704kB / 23.7MB
55.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;0.71%;704kB / 23.7MB
55.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;1.39%;705kB / 24.1MB
56.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;1.39%;705kB / 24.1MB
56.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;1.09%;705kB / 24.4MB
57.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;1.09%;705kB / 24.4MB
57.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;0.67%;705kB / 24.5MB
58.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;0.67%;705kB / 24.5MB
58.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;1.43%;706kB / 25MB
59.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;1.43%;706kB / 25MB
59.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;2.15%;708kB / 26.1MB
60.0;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;2.15%;708kB / 26.1MB
60.5;1b32cdd6318f;ngtcp2;16.87MiB / 1.953GiB;0.84%;2.33%;710kB / 27.2MB
