29.5;0ca8a612686e;quicker;57.99MiB / 1.953GiB;2.90%;6.24%;101kB / 2.37MB
30.0;0ca8a612686e;quicker;57.99MiB / 1.953GiB;2.90%;6.24%;101kB / 2.37MB
30.5;0ca8a612686e;quicker;65.51MiB / 1.953GiB;3.28%;10.56%;101kB / 2.53MB
31.0;0ca8a612686e;quicker;65.51MiB / 1.953GiB;3.28%;10.56%;101kB / 2.53MB
31.5;0ca8a612686e;quicker;65.51MiB / 1.953GiB;3.28%;3.24%;101kB / 2.57MB
32.0;0ca8a612686e;quicker;65.51MiB / 1.953GiB;3.28%;3.24%;101kB / 2.57MB
32.5;0ca8a612686e;quicker;65.63MiB / 1.953GiB;3.28%;2.84%;102kB / 2.61MB
33.0;0ca8a612686e;quicker;65.63MiB / 1.953GiB;3.28%;2.84%;102kB / 2.61MB
33.5;0ca8a612686e;quicker;65.52MiB / 1.953GiB;3.28%;0.66%;102kB / 2.61MB
34.0;0ca8a612686e;quicker;65.52MiB / 1.953GiB;3.28%;0.66%;102kB / 2.61MB
34.5;0ca8a612686e;quicker;65.52MiB / 1.953GiB;3.28%;0.00%;102kB / 2.61MB
35.0;0ca8a612686e;quicker;65.52MiB / 1.953GiB;3.28%;0.00%;102kB / 2.61MB
35.5;0ca8a612686e;quicker;65.52MiB / 1.953GiB;3.28%;2.11%;102kB / 2.63MB
36.0;0ca8a612686e;quicker;65.52MiB / 1.953GiB;3.28%;2.11%;102kB / 2.63MB
36.5;0ca8a612686e;quicker;65.52MiB / 1.953GiB;3.28%;0.48%;102kB / 2.63MB
37.0;0ca8a612686e;quicker;65.52MiB / 1.953GiB;3.28%;0.48%;102kB / 2.63MB
37.5;0ca8a612686e;quicker;65.52MiB / 1.953GiB;3.28%;0.18%;102kB / 2.63MB
38.0;0ca8a612686e;quicker;65.52MiB / 1.953GiB;3.28%;0.18%;102kB / 2.63MB
38.5;0ca8a612686e;quicker;65.64MiB / 1.953GiB;3.28%;1.59%;103kB / 2.63MB
39.0;0ca8a612686e;quicker;65.64MiB / 1.953GiB;3.28%;1.59%;103kB / 2.63MB
39.5;0ca8a612686e;quicker;65.52MiB / 1.953GiB;3.28%;0.09%;103kB / 2.63MB
40.0;0ca8a612686e;quicker;65.52MiB / 1.953GiB;3.28%;0.09%;103kB / 2.63MB
40.5;0ca8a612686e;quicker;65.52MiB / 1.953GiB;3.28%;0.28%;103kB / 2.63MB
41.0;0ca8a612686e;quicker;65.52MiB / 1.953GiB;3.28%;0.28%;103kB / 2.63MB
41.5;0ca8a612686e;quicker;65.52MiB / 1.953GiB;3.28%;0.19%;103kB / 2.63MB
42.0;0ca8a612686e;quicker;65.52MiB / 1.953GiB;3.28%;0.19%;103kB / 2.63MB
42.5;0ca8a612686e;quicker;65.52MiB / 1.953GiB;3.28%;0.21%;103kB / 2.63MB
43.0;0ca8a612686e;quicker;65.52MiB / 1.953GiB;3.28%;0.21%;103kB / 2.63MB
43.5;0ca8a612686e;quicker;65.52MiB / 1.953GiB;3.28%;0.07%;103kB / 2.63MB
44.0;0ca8a612686e;quicker;65.52MiB / 1.953GiB;3.28%;0.07%;103kB / 2.63MB
44.5;0ca8a612686e;quicker;65.52MiB / 1.953GiB;3.28%;0.09%;103kB / 2.63MB
45.0;0ca8a612686e;quicker;65.52MiB / 1.953GiB;3.28%;0.09%;103kB / 2.63MB
45.5;0ca8a612686e;quicker;65.52MiB / 1.953GiB;3.28%;0.16%;103kB / 2.63MB
46.0;0ca8a612686e;quicker;65.52MiB / 1.953GiB;3.28%;0.16%;103kB / 2.63MB
46.5;0ca8a612686e;quicker;65.52MiB / 1.953GiB;3.28%;0.00%;103kB / 2.63MB
47.0;0ca8a612686e;quicker;65.52MiB / 1.953GiB;3.28%;0.00%;103kB / 2.63MB
47.5;0ca8a612686e;quicker;65.52MiB / 1.953GiB;3.28%;0.05%;103kB / 2.63MB
48.0;0ca8a612686e;quicker;65.52MiB / 1.953GiB;3.28%;0.05%;103kB / 2.63MB
48.5;0ca8a612686e;quicker;65.52MiB / 1.953GiB;3.28%;0.21%;103kB / 2.63MB
49.0;0ca8a612686e;quicker;65.52MiB / 1.953GiB;3.28%;0.21%;103kB / 2.63MB
