29.5;a5d0573bcbae;quicker;80.11MiB / 1.953GiB;4.01%;0.91%;255kB / 2.37MB
30.0;a5d0573bcbae;quicker;80.11MiB / 1.953GiB;4.01%;0.91%;255kB / 2.37MB
30.5;a5d0573bcbae;quicker;80.25MiB / 1.953GiB;4.01%;9.41%;256kB / 2.48MB
31.0;a5d0573bcbae;quicker;80.25MiB / 1.953GiB;4.01%;9.41%;256kB / 2.48MB
31.5;a5d0573bcbae;quicker;80.51MiB / 1.953GiB;4.02%;42.98%;259kB / 3.16MB
32.0;a5d0573bcbae;quicker;80.51MiB / 1.953GiB;4.02%;42.98%;259kB / 3.16MB
32.5;a5d0573bcbae;quicker;80.9MiB / 1.953GiB;4.04%;5.93%;260kB / 3.22MB
33.0;a5d0573bcbae;quicker;80.9MiB / 1.953GiB;4.04%;5.93%;260kB / 3.22MB
33.5;a5d0573bcbae;quicker;80.8MiB / 1.953GiB;4.04%;0.25%;260kB / 3.22MB
34.0;a5d0573bcbae;quicker;80.8MiB / 1.953GiB;4.04%;0.25%;260kB / 3.22MB
34.5;a5d0573bcbae;quicker;80.93MiB / 1.953GiB;4.05%;1.47%;261kB / 3.22MB
35.0;a5d0573bcbae;quicker;80.93MiB / 1.953GiB;4.05%;1.47%;261kB / 3.22MB
35.5;a5d0573bcbae;quicker;80.81MiB / 1.953GiB;4.04%;0.83%;262kB / 3.22MB
36.0;a5d0573bcbae;quicker;80.81MiB / 1.953GiB;4.04%;0.83%;262kB / 3.22MB
36.5;a5d0573bcbae;quicker;80.94MiB / 1.953GiB;4.05%;1.83%;262kB / 3.22MB
37.0;a5d0573bcbae;quicker;80.94MiB / 1.953GiB;4.05%;1.83%;262kB / 3.22MB
37.5;a5d0573bcbae;quicker;80.9MiB / 1.953GiB;4.04%;2.40%;263kB / 3.27MB
38.0;a5d0573bcbae;quicker;80.9MiB / 1.953GiB;4.04%;2.40%;263kB / 3.27MB
38.5;a5d0573bcbae;quicker;80.9MiB / 1.953GiB;4.04%;0.03%;263kB / 3.27MB
39.0;a5d0573bcbae;quicker;80.9MiB / 1.953GiB;4.04%;0.03%;263kB / 3.27MB
39.5;a5d0573bcbae;quicker;81.04MiB / 1.953GiB;4.05%;8.67%;263kB / 3.45MB
40.0;a5d0573bcbae;quicker;81.04MiB / 1.953GiB;4.05%;8.67%;263kB / 3.45MB
40.5;a5d0573bcbae;quicker;81.04MiB / 1.953GiB;4.05%;0.02%;263kB / 3.45MB
41.0;a5d0573bcbae;quicker;81.04MiB / 1.953GiB;4.05%;0.02%;263kB / 3.45MB
41.5;a5d0573bcbae;quicker;81.06MiB / 1.953GiB;4.05%;5.14%;264kB / 3.55MB
42.0;a5d0573bcbae;quicker;81.06MiB / 1.953GiB;4.05%;5.14%;264kB / 3.55MB
