30.5;90bde1c959c4;quicker;69.21MiB / 1.953GiB;3.46%;0.08%;103kB / 2.89MB
31.0;90bde1c959c4;quicker;69.21MiB / 1.953GiB;3.46%;0.08%;103kB / 2.89MB
31.5;90bde1c959c4;quicker;69.21MiB / 1.953GiB;3.46%;0.00%;103kB / 2.89MB
32.0;90bde1c959c4;quicker;69.21MiB / 1.953GiB;3.46%;0.00%;103kB / 2.89MB
32.5;90bde1c959c4;quicker;69.21MiB / 1.953GiB;3.46%;0.02%;103kB / 2.89MB
33.0;90bde1c959c4;quicker;69.21MiB / 1.953GiB;3.46%;0.02%;103kB / 2.89MB
33.5;90bde1c959c4;quicker;38.21MiB / 1.953GiB;1.91%;0.89%;103kB / 2.89MB
34.0;90bde1c959c4;quicker;38.21MiB / 1.953GiB;1.91%;0.89%;103kB / 2.89MB
34.5;90bde1c959c4;quicker;38.21MiB / 1.953GiB;1.91%;0.24%;103kB / 2.89MB
35.0;90bde1c959c4;quicker;38.21MiB / 1.953GiB;1.91%;0.24%;103kB / 2.89MB
35.5;90bde1c959c4;quicker;38.21MiB / 1.953GiB;1.91%;0.28%;103kB / 2.89MB
36.0;90bde1c959c4;quicker;38.21MiB / 1.953GiB;1.91%;0.28%;103kB / 2.89MB
36.5;90bde1c959c4;quicker;37.5MiB / 1.953GiB;1.88%;0.57%;104kB / 2.89MB
37.0;90bde1c959c4;quicker;37.5MiB / 1.953GiB;1.88%;0.57%;104kB / 2.89MB
37.5;90bde1c959c4;quicker;37.63MiB / 1.953GiB;1.88%;0.19%;104kB / 2.89MB
38.0;90bde1c959c4;quicker;37.63MiB / 1.953GiB;1.88%;0.19%;104kB / 2.89MB
38.5;90bde1c959c4;quicker;37.63MiB / 1.953GiB;1.88%;0.04%;104kB / 2.89MB
39.0;90bde1c959c4;quicker;37.63MiB / 1.953GiB;1.88%;0.04%;104kB / 2.89MB
39.5;90bde1c959c4;quicker;38.03MiB / 1.953GiB;1.90%;0.58%;104kB / 2.89MB
40.0;90bde1c959c4;quicker;38.03MiB / 1.953GiB;1.90%;0.58%;104kB / 2.89MB
40.5;90bde1c959c4;quicker;37.41MiB / 1.953GiB;1.87%;0.49%;104kB / 2.89MB
41.0;90bde1c959c4;quicker;37.41MiB / 1.953GiB;1.87%;0.49%;104kB / 2.89MB
41.5;90bde1c959c4;quicker;38.2MiB / 1.953GiB;1.91%;1.25%;105kB / 2.89MB
42.0;90bde1c959c4;quicker;38.2MiB / 1.953GiB;1.91%;1.25%;105kB / 2.89MB
42.5;90bde1c959c4;quicker;38.2MiB / 1.953GiB;1.91%;0.02%;105kB / 2.89MB
43.0;90bde1c959c4;quicker;38.2MiB / 1.953GiB;1.91%;0.02%;105kB / 2.89MB
43.5;90bde1c959c4;quicker;38.2MiB / 1.953GiB;1.91%;0.03%;105kB / 2.89MB
44.0;90bde1c959c4;quicker;38.2MiB / 1.953GiB;1.91%;0.03%;105kB / 2.89MB
44.5;90bde1c959c4;quicker;38.1MiB / 1.953GiB;1.90%;0.04%;105kB / 2.89MB
45.0;90bde1c959c4;quicker;38.1MiB / 1.953GiB;1.90%;0.04%;105kB / 2.89MB
45.5;90bde1c959c4;quicker;38.23MiB / 1.953GiB;1.91%;0.03%;105kB / 2.89MB
46.0;90bde1c959c4;quicker;38.23MiB / 1.953GiB;1.91%;0.03%;105kB / 2.89MB
46.5;90bde1c959c4;quicker;38.23MiB / 1.953GiB;1.91%;0.00%;105kB / 2.89MB
47.0;90bde1c959c4;quicker;38.23MiB / 1.953GiB;1.91%;0.00%;105kB / 2.89MB
47.5;90bde1c959c4;quicker;38.23MiB / 1.953GiB;1.91%;0.02%;105kB / 2.89MB
48.0;90bde1c959c4;quicker;38.23MiB / 1.953GiB;1.91%;0.02%;105kB / 2.89MB
48.5;90bde1c959c4;quicker;38.23MiB / 1.953GiB;1.91%;0.00%;105kB / 2.89MB
49.0;90bde1c959c4;quicker;38.23MiB / 1.953GiB;1.91%;0.00%;105kB / 2.89MB
49.5;90bde1c959c4;quicker;38.23MiB / 1.953GiB;1.91%;0.04%;105kB / 2.89MB
50.0;90bde1c959c4;quicker;38.23MiB / 1.953GiB;1.91%;0.04%;105kB / 2.89MB
50.5;90bde1c959c4;quicker;38.12MiB / 1.953GiB;1.91%;0.00%;105kB / 2.89MB
51.0;90bde1c959c4;quicker;38.12MiB / 1.953GiB;1.91%;0.00%;105kB / 2.89MB
51.5;90bde1c959c4;quicker;38.12MiB / 1.953GiB;1.91%;0.00%;105kB / 2.89MB
52.0;90bde1c959c4;quicker;38.12MiB / 1.953GiB;1.91%;0.00%;105kB / 2.89MB
52.5;90bde1c959c4;quicker;38.12MiB / 1.953GiB;1.91%;0.00%;105kB / 2.89MB
53.0;90bde1c959c4;quicker;38.12MiB / 1.953GiB;1.91%;0.00%;105kB / 2.89MB
53.5;90bde1c959c4;quicker;38.24MiB / 1.953GiB;1.91%;0.03%;105kB / 2.89MB
54.0;90bde1c959c4;quicker;38.24MiB / 1.953GiB;1.91%;0.03%;105kB / 2.89MB
54.5;90bde1c959c4;quicker;38.25MiB / 1.953GiB;1.91%;0.09%;105kB / 2.89MB
55.0;90bde1c959c4;quicker;38.25MiB / 1.953GiB;1.91%;0.09%;105kB / 2.89MB
55.5;90bde1c959c4;quicker;38.14MiB / 1.953GiB;1.91%;0.02%;105kB / 2.89MB
56.0;90bde1c959c4;quicker;38.14MiB / 1.953GiB;1.91%;0.02%;105kB / 2.89MB
56.5;90bde1c959c4;quicker;38.27MiB / 1.953GiB;1.91%;0.29%;105kB / 2.89MB
57.0;90bde1c959c4;quicker;38.27MiB / 1.953GiB;1.91%;0.29%;105kB / 2.89MB
57.5;90bde1c959c4;quicker;38.18MiB / 1.953GiB;1.91%;0.01%;105kB / 2.89MB
58.0;90bde1c959c4;quicker;38.18MiB / 1.953GiB;1.91%;0.01%;105kB / 2.89MB
58.5;90bde1c959c4;quicker;38.18MiB / 1.953GiB;1.91%;0.00%;105kB / 2.89MB
59.0;90bde1c959c4;quicker;38.18MiB / 1.953GiB;1.91%;0.00%;105kB / 2.89MB
59.5;90bde1c959c4;quicker;38.18MiB / 1.953GiB;1.91%;0.00%;105kB / 2.89MB
60.0;90bde1c959c4;quicker;38.18MiB / 1.953GiB;1.91%;0.00%;105kB / 2.89MB
60.5;90bde1c959c4;quicker;38.18MiB / 1.953GiB;1.91%;0.02%;105kB / 2.89MB
61.0;90bde1c959c4;quicker;38.18MiB / 1.953GiB;1.91%;0.02%;105kB / 2.89MB
