31.0;a750438da7b1;quicker;104.2MiB / 1.953GiB;5.21%;3.36%;616kB / 7.66MB
31.5;a750438da7b1;quicker;104.7MiB / 1.953GiB;5.23%;1.62%;616kB / 7.66MB
32.0;a750438da7b1;quicker;104.7MiB / 1.953GiB;5.23%;1.62%;616kB / 7.66MB
32.5;a750438da7b1;quicker;104.7MiB / 1.953GiB;5.23%;0.35%;616kB / 7.66MB
33.0;a750438da7b1;quicker;104.7MiB / 1.953GiB;5.23%;0.35%;616kB / 7.66MB
33.5;a750438da7b1;quicker;104.6MiB / 1.953GiB;5.23%;0.78%;617kB / 7.66MB
34.0;a750438da7b1;quicker;104.6MiB / 1.953GiB;5.23%;0.78%;617kB / 7.66MB
34.5;a750438da7b1;quicker;104.6MiB / 1.953GiB;5.23%;0.19%;617kB / 7.66MB
35.0;a750438da7b1;quicker;104.6MiB / 1.953GiB;5.23%;0.19%;617kB / 7.66MB
35.5;a750438da7b1;quicker;104.6MiB / 1.953GiB;5.23%;1.72%;619kB / 7.66MB
36.0;a750438da7b1;quicker;104.6MiB / 1.953GiB;5.23%;1.72%;619kB / 7.66MB
36.5;a750438da7b1;quicker;104.6MiB / 1.953GiB;5.23%;0.02%;619kB / 7.66MB
37.0;a750438da7b1;quicker;104.6MiB / 1.953GiB;5.23%;0.02%;619kB / 7.66MB
37.5;a750438da7b1;quicker;104.6MiB / 1.953GiB;5.23%;0.86%;620kB / 7.66MB
38.0;a750438da7b1;quicker;104.6MiB / 1.953GiB;5.23%;0.86%;620kB / 7.66MB
38.5;a750438da7b1;quicker;104.6MiB / 1.953GiB;5.23%;3.01%;622kB / 7.66MB
39.0;a750438da7b1;quicker;104.6MiB / 1.953GiB;5.23%;3.01%;622kB / 7.66MB
39.5;a750438da7b1;quicker;104.6MiB / 1.953GiB;5.23%;0.64%;623kB / 7.66MB
40.0;a750438da7b1;quicker;104.6MiB / 1.953GiB;5.23%;0.64%;623kB / 7.66MB
40.5;a750438da7b1;quicker;104.6MiB / 1.953GiB;5.23%;0.87%;623kB / 7.66MB
41.0;a750438da7b1;quicker;104.6MiB / 1.953GiB;5.23%;0.87%;623kB / 7.66MB
41.5;a750438da7b1;quicker;104.6MiB / 1.953GiB;5.23%;0.46%;624kB / 7.66MB
42.0;a750438da7b1;quicker;104.6MiB / 1.953GiB;5.23%;0.46%;624kB / 7.66MB
42.5;a750438da7b1;quicker;104.6MiB / 1.953GiB;5.23%;0.93%;624kB / 7.66MB
43.0;a750438da7b1;quicker;104.6MiB / 1.953GiB;5.23%;0.93%;624kB / 7.66MB
43.5;a750438da7b1;quicker;104.6MiB / 1.953GiB;5.23%;0.20%;624kB / 7.66MB
44.0;a750438da7b1;quicker;104.6MiB / 1.953GiB;5.23%;0.20%;624kB / 7.66MB
44.5;a750438da7b1;quicker;104.6MiB / 1.953GiB;5.23%;1.50%;625kB / 7.66MB
45.0;a750438da7b1;quicker;104.6MiB / 1.953GiB;5.23%;1.50%;625kB / 7.66MB
45.5;a750438da7b1;quicker;104.6MiB / 1.953GiB;5.23%;0.56%;625kB / 7.66MB
46.0;a750438da7b1;quicker;104.6MiB / 1.953GiB;5.23%;0.56%;625kB / 7.66MB
46.5;a750438da7b1;quicker;104.6MiB / 1.953GiB;5.23%;1.28%;626kB / 7.66MB
47.0;a750438da7b1;quicker;104.6MiB / 1.953GiB;5.23%;1.28%;626kB / 7.66MB
47.5;a750438da7b1;quicker;104.6MiB / 1.953GiB;5.23%;1.01%;627kB / 7.66MB
48.0;a750438da7b1;quicker;104.6MiB / 1.953GiB;5.23%;1.01%;627kB / 7.66MB
48.5;a750438da7b1;quicker;104.6MiB / 1.953GiB;5.23%;0.13%;627kB / 7.66MB
49.0;a750438da7b1;quicker;104.6MiB / 1.953GiB;5.23%;0.13%;627kB / 7.66MB
49.5;a750438da7b1;quicker;104.6MiB / 1.953GiB;5.23%;0.01%;627kB / 7.66MB
50.0;a750438da7b1;quicker;104.6MiB / 1.953GiB;5.23%;0.01%;627kB / 7.66MB
50.5;a750438da7b1;quicker;104.6MiB / 1.953GiB;5.23%;0.00%;627kB / 7.66MB
51.0;a750438da7b1;quicker;104.6MiB / 1.953GiB;5.23%;0.00%;627kB / 7.66MB
51.5;a750438da7b1;quicker;104.6MiB / 1.953GiB;5.23%;0.01%;627kB / 7.66MB
52.0;a750438da7b1;quicker;104.6MiB / 1.953GiB;5.23%;0.01%;627kB / 7.66MB
52.5;a750438da7b1;quicker;104.6MiB / 1.953GiB;5.23%;0.02%;627kB / 7.66MB
53.0;a750438da7b1;quicker;104.6MiB / 1.953GiB;5.23%;0.02%;627kB / 7.66MB
53.5;a750438da7b1;quicker;104.6MiB / 1.953GiB;5.23%;0.26%;627kB / 7.66MB
