29.0;2ca5bdff72e7;quicker;75.61MiB / 1.953GiB;3.78%;4.16%;198kB / 2.01MB
29.5;2ca5bdff72e7;quicker;75.82MiB / 1.953GiB;3.79%;10.95%;199kB / 2.07MB
30.0;2ca5bdff72e7;quicker;75.82MiB / 1.953GiB;3.79%;10.95%;199kB / 2.07MB
30.5;2ca5bdff72e7;quicker;75.94MiB / 1.953GiB;3.80%;3.48%;200kB / 2.09MB
31.0;2ca5bdff72e7;quicker;75.94MiB / 1.953GiB;3.80%;3.48%;200kB / 2.09MB
31.5;2ca5bdff72e7;quicker;75.94MiB / 1.953GiB;3.80%;0.89%;200kB / 2.09MB
32.0;2ca5bdff72e7;quicker;75.94MiB / 1.953GiB;3.80%;0.89%;200kB / 2.09MB
32.5;2ca5bdff72e7;quicker;75.84MiB / 1.953GiB;3.79%;1.21%;201kB / 2.09MB
33.0;2ca5bdff72e7;quicker;75.84MiB / 1.953GiB;3.79%;1.21%;201kB / 2.09MB
33.5;2ca5bdff72e7;quicker;75.84MiB / 1.953GiB;3.79%;0.74%;201kB / 2.09MB
34.0;2ca5bdff72e7;quicker;75.84MiB / 1.953GiB;3.79%;0.74%;201kB / 2.09MB
34.5;2ca5bdff72e7;quicker;75.84MiB / 1.953GiB;3.79%;0.55%;202kB / 2.09MB
35.0;2ca5bdff72e7;quicker;75.84MiB / 1.953GiB;3.79%;0.55%;202kB / 2.09MB
35.5;2ca5bdff72e7;quicker;75.84MiB / 1.953GiB;3.79%;0.30%;202kB / 2.09MB
36.0;2ca5bdff72e7;quicker;75.84MiB / 1.953GiB;3.79%;0.30%;202kB / 2.09MB
36.5;2ca5bdff72e7;quicker;75.84MiB / 1.953GiB;3.79%;0.29%;202kB / 2.09MB
37.0;2ca5bdff72e7;quicker;75.84MiB / 1.953GiB;3.79%;0.29%;202kB / 2.09MB
37.5;2ca5bdff72e7;quicker;75.84MiB / 1.953GiB;3.79%;0.64%;202kB / 2.09MB
38.0;2ca5bdff72e7;quicker;75.84MiB / 1.953GiB;3.79%;0.64%;202kB / 2.09MB
38.5;2ca5bdff72e7;quicker;75.84MiB / 1.953GiB;3.79%;1.91%;204kB / 2.09MB
39.0;2ca5bdff72e7;quicker;75.84MiB / 1.953GiB;3.79%;1.91%;204kB / 2.09MB
39.5;2ca5bdff72e7;quicker;75.84MiB / 1.953GiB;3.79%;1.34%;205kB / 2.09MB
40.0;2ca5bdff72e7;quicker;75.84MiB / 1.953GiB;3.79%;1.34%;205kB / 2.09MB
40.5;2ca5bdff72e7;quicker;75.84MiB / 1.953GiB;3.79%;1.34%;205kB / 2.09MB
41.0;2ca5bdff72e7;quicker;75.84MiB / 1.953GiB;3.79%;0.40%;205kB / 2.09MB
41.5;2ca5bdff72e7;quicker;75.84MiB / 1.953GiB;3.79%;0.40%;205kB / 2.09MB
42.0;2ca5bdff72e7;quicker;75.84MiB / 1.953GiB;3.79%;0.00%;205kB / 2.09MB
42.5;2ca5bdff72e7;quicker;75.84MiB / 1.953GiB;3.79%;0.00%;205kB / 2.09MB
43.0;2ca5bdff72e7;quicker;75.84MiB / 1.953GiB;3.79%;0.14%;205kB / 2.09MB
43.5;2ca5bdff72e7;quicker;75.84MiB / 1.953GiB;3.79%;0.14%;205kB / 2.09MB
44.0;2ca5bdff72e7;quicker;75.84MiB / 1.953GiB;3.79%;0.09%;205kB / 2.09MB
44.5;2ca5bdff72e7;quicker;75.84MiB / 1.953GiB;3.79%;0.09%;205kB / 2.09MB
45.0;2ca5bdff72e7;quicker;75.84MiB / 1.953GiB;3.79%;0.18%;205kB / 2.09MB
45.5;2ca5bdff72e7;quicker;75.84MiB / 1.953GiB;3.79%;0.18%;205kB / 2.09MB
