30.5;3d98b4d87808;quicker;75.43MiB / 1.953GiB;3.77%;0.41%;200kB / 2.42MB
31.0;3d98b4d87808;quicker;75.43MiB / 1.953GiB;3.77%;0.41%;200kB / 2.42MB
31.5;3d98b4d87808;quicker;75.46MiB / 1.953GiB;3.77%;4.41%;200kB / 2.47MB
32.0;3d98b4d87808;quicker;75.46MiB / 1.953GiB;3.77%;4.41%;200kB / 2.47MB
32.5;3d98b4d87808;quicker;75.62MiB / 1.953GiB;3.78%;8.72%;201kB / 2.61MB
33.0;3d98b4d87808;quicker;75.62MiB / 1.953GiB;3.78%;8.72%;201kB / 2.61MB
33.5;3d98b4d87808;quicker;75.54MiB / 1.953GiB;3.78%;0.85%;201kB / 2.61MB
34.0;3d98b4d87808;quicker;75.54MiB / 1.953GiB;3.78%;0.85%;201kB / 2.61MB
34.5;3d98b4d87808;quicker;75.71MiB / 1.953GiB;3.79%;6.28%;203kB / 2.69MB
35.0;3d98b4d87808;quicker;75.71MiB / 1.953GiB;3.79%;6.28%;203kB / 2.69MB
35.5;3d98b4d87808;quicker;75.79MiB / 1.953GiB;3.79%;10.07%;204kB / 2.84MB
36.0;3d98b4d87808;quicker;75.79MiB / 1.953GiB;3.79%;10.07%;204kB / 2.84MB
36.5;3d98b4d87808;quicker;75.82MiB / 1.953GiB;3.79%;5.32%;204kB / 2.9MB
37.0;3d98b4d87808;quicker;75.82MiB / 1.953GiB;3.79%;5.32%;204kB / 2.9MB
37.5;3d98b4d87808;quicker;75.77MiB / 1.953GiB;3.79%;0.64%;205kB / 2.9MB
38.0;3d98b4d87808;quicker;75.77MiB / 1.953GiB;3.79%;0.64%;205kB / 2.9MB
38.5;3d98b4d87808;quicker;75.91MiB / 1.953GiB;3.79%;6.80%;205kB / 3MB
39.0;3d98b4d87808;quicker;75.91MiB / 1.953GiB;3.79%;6.80%;205kB / 3MB
39.5;3d98b4d87808;quicker;75.8MiB / 1.953GiB;3.79%;0.49%;205kB / 3MB
40.0;3d98b4d87808;quicker;75.8MiB / 1.953GiB;3.79%;0.49%;205kB / 3MB
40.5;3d98b4d87808;quicker;75.8MiB / 1.953GiB;3.79%;0.34%;205kB / 3MB
41.0;3d98b4d87808;quicker;75.8MiB / 1.953GiB;3.79%;0.34%;205kB / 3MB
41.5;3d98b4d87808;quicker;76.2MiB / 1.953GiB;3.81%;23.24%;206kB / 3.36MB
42.0;3d98b4d87808;quicker;76.2MiB / 1.953GiB;3.81%;23.24%;206kB / 3.36MB
42.5;3d98b4d87808;quicker;76.2MiB / 1.953GiB;3.81%;23.24%;206kB / 3.36MB
43.0;3d98b4d87808;quicker;76.24MiB / 1.953GiB;3.81%;8.70%;207kB / 3.5MB
43.5;3d98b4d87808;quicker;76.24MiB / 1.953GiB;3.81%;8.70%;207kB / 3.5MB
44.0;3d98b4d87808;quicker;76.24MiB / 1.953GiB;3.81%;0.23%;207kB / 3.5MB
44.5;3d98b4d87808;quicker;76.24MiB / 1.953GiB;3.81%;0.23%;207kB / 3.5MB
45.0;3d98b4d87808;quicker;76.26MiB / 1.953GiB;3.81%;3.63%;207kB / 3.56MB
45.5;3d98b4d87808;quicker;76.26MiB / 1.953GiB;3.81%;3.63%;207kB / 3.56MB
46.0;3d98b4d87808;quicker;76.3MiB / 1.953GiB;3.81%;3.99%;207kB / 3.63MB
46.5;3d98b4d87808;quicker;76.3MiB / 1.953GiB;3.81%;3.99%;207kB / 3.63MB
47.0;3d98b4d87808;quicker;76.3MiB / 1.953GiB;3.81%;0.09%;207kB / 3.63MB
47.5;3d98b4d87808;quicker;76.3MiB / 1.953GiB;3.81%;0.09%;207kB / 3.63MB
48.0;3d98b4d87808;quicker;76.33MiB / 1.953GiB;3.82%;5.48%;208kB / 3.72MB
48.5;3d98b4d87808;quicker;76.33MiB / 1.953GiB;3.82%;5.48%;208kB / 3.72MB
49.0;3d98b4d87808;quicker;76.5MiB / 1.953GiB;3.82%;10.91%;208kB / 3.92MB
49.5;3d98b4d87808;quicker;76.5MiB / 1.953GiB;3.82%;10.91%;208kB / 3.92MB
50.0;3d98b4d87808;quicker;76.5MiB / 1.953GiB;3.82%;0.10%;208kB / 3.92MB
50.5;3d98b4d87808;quicker;76.5MiB / 1.953GiB;3.82%;0.10%;208kB / 3.92MB
