30.0;844fca7f57ad;quicker;76.72MiB / 1.953GiB;3.84%;4.18%;424kB / 2.49MB
30.5;844fca7f57ad;quicker;76.64MiB / 1.953GiB;3.83%;0.15%;424kB / 2.49MB
31.0;844fca7f57ad;quicker;76.64MiB / 1.953GiB;3.83%;0.15%;424kB / 2.49MB
31.5;844fca7f57ad;quicker;76.64MiB / 1.953GiB;3.83%;0.00%;424kB / 2.49MB
32.0;844fca7f57ad;quicker;76.64MiB / 1.953GiB;3.83%;0.00%;424kB / 2.49MB
32.5;844fca7f57ad;quicker;76.77MiB / 1.953GiB;3.84%;0.37%;424kB / 2.49MB
33.0;844fca7f57ad;quicker;76.77MiB / 1.953GiB;3.84%;0.37%;424kB / 2.49MB
33.5;844fca7f57ad;quicker;76.77MiB / 1.953GiB;3.84%;0.00%;424kB / 2.49MB
34.0;844fca7f57ad;quicker;76.77MiB / 1.953GiB;3.84%;0.00%;424kB / 2.49MB
34.5;844fca7f57ad;quicker;76.77MiB / 1.953GiB;3.84%;0.05%;424kB / 2.49MB
35.0;844fca7f57ad;quicker;76.77MiB / 1.953GiB;3.84%;0.05%;424kB / 2.49MB
35.5;844fca7f57ad;quicker;76.77MiB / 1.953GiB;3.84%;0.03%;424kB / 2.49MB
36.0;844fca7f57ad;quicker;76.77MiB / 1.953GiB;3.84%;0.03%;424kB / 2.49MB
36.5;844fca7f57ad;quicker;76.77MiB / 1.953GiB;3.84%;1.02%;424kB / 2.49MB
37.0;844fca7f57ad;quicker;76.77MiB / 1.953GiB;3.84%;1.02%;424kB / 2.49MB
37.5;844fca7f57ad;quicker;76.77MiB / 1.953GiB;3.84%;0.18%;424kB / 2.49MB
38.0;844fca7f57ad;quicker;76.77MiB / 1.953GiB;3.84%;0.18%;424kB / 2.49MB
38.5;844fca7f57ad;quicker;76.77MiB / 1.953GiB;3.84%;0.00%;424kB / 2.49MB
39.0;844fca7f57ad;quicker;76.77MiB / 1.953GiB;3.84%;0.00%;424kB / 2.49MB
39.5;844fca7f57ad;quicker;76.77MiB / 1.953GiB;3.84%;0.25%;424kB / 2.49MB
40.0;844fca7f57ad;quicker;76.77MiB / 1.953GiB;3.84%;0.25%;424kB / 2.49MB
40.5;844fca7f57ad;quicker;76.77MiB / 1.953GiB;3.84%;0.02%;424kB / 2.49MB
41.0;844fca7f57ad;quicker;76.77MiB / 1.953GiB;3.84%;0.02%;424kB / 2.49MB
41.5;844fca7f57ad;quicker;76.77MiB / 1.953GiB;3.84%;0.00%;424kB / 2.49MB
42.0;844fca7f57ad;quicker;76.77MiB / 1.953GiB;3.84%;0.00%;424kB / 2.49MB
42.5;844fca7f57ad;quicker;76.77MiB / 1.953GiB;3.84%;0.05%;424kB / 2.49MB
43.0;844fca7f57ad;quicker;76.77MiB / 1.953GiB;3.84%;0.05%;424kB / 2.49MB
43.5;844fca7f57ad;quicker;76.77MiB / 1.953GiB;3.84%;0.03%;424kB / 2.49MB
44.0;844fca7f57ad;quicker;76.77MiB / 1.953GiB;3.84%;0.03%;424kB / 2.49MB
44.5;844fca7f57ad;quicker;76.64MiB / 1.953GiB;3.83%;0.18%;424kB / 2.49MB
45.0;844fca7f57ad;quicker;76.64MiB / 1.953GiB;3.83%;0.18%;424kB / 2.49MB
45.5;844fca7f57ad;quicker;76.64MiB / 1.953GiB;3.83%;0.14%;424kB / 2.49MB
46.0;844fca7f57ad;quicker;76.64MiB / 1.953GiB;3.83%;0.14%;424kB / 2.49MB
46.5;844fca7f57ad;quicker;76.64MiB / 1.953GiB;3.83%;0.00%;424kB / 2.49MB
47.0;844fca7f57ad;quicker;76.64MiB / 1.953GiB;3.83%;0.00%;424kB / 2.49MB
47.5;844fca7f57ad;quicker;76.64MiB / 1.953GiB;3.83%;0.00%;424kB / 2.49MB
48.0;844fca7f57ad;quicker;76.64MiB / 1.953GiB;3.83%;0.00%;424kB / 2.49MB
48.5;844fca7f57ad;quicker;76.64MiB / 1.953GiB;3.83%;0.00%;424kB / 2.49MB
49.0;844fca7f57ad;quicker;76.64MiB / 1.953GiB;3.83%;0.00%;424kB / 2.49MB
49.5;844fca7f57ad;quicker;76.64MiB / 1.953GiB;3.83%;0.08%;424kB / 2.49MB
50.0;844fca7f57ad;quicker;76.64MiB / 1.953GiB;3.83%;0.08%;424kB / 2.49MB
50.5;844fca7f57ad;quicker;76.64MiB / 1.953GiB;3.83%;0.00%;424kB / 2.49MB
51.0;844fca7f57ad;quicker;76.64MiB / 1.953GiB;3.83%;0.00%;424kB / 2.49MB
51.5;844fca7f57ad;quicker;76.77MiB / 1.953GiB;3.84%;1.02%;424kB / 2.49MB
52.0;844fca7f57ad;quicker;76.77MiB / 1.953GiB;3.84%;1.02%;424kB / 2.49MB
52.5;844fca7f57ad;quicker;76.77MiB / 1.953GiB;3.84%;0.00%;424kB / 2.49MB
53.0;844fca7f57ad;quicker;76.77MiB / 1.953GiB;3.84%;0.00%;424kB / 2.49MB
53.5;844fca7f57ad;quicker;76.77MiB / 1.953GiB;3.84%;0.14%;424kB / 2.49MB
54.0;844fca7f57ad;quicker;76.77MiB / 1.953GiB;3.84%;0.14%;424kB / 2.49MB
