31.0;6414e13a5614;quicker;84.91MiB / 1.953GiB;4.24%;15.00%;397kB / 2.87MB
31.5;6414e13a5614;quicker;85.09MiB / 1.953GiB;4.25%;17.99%;398kB / 3.05MB
32.0;6414e13a5614;quicker;85.09MiB / 1.953GiB;4.25%;17.99%;398kB / 3.05MB
32.5;6414e13a5614;quicker;85.02MiB / 1.953GiB;4.25%;3.87%;399kB / 3.11MB
33.0;6414e13a5614;quicker;85.02MiB / 1.953GiB;4.25%;3.87%;399kB / 3.11MB
33.5;6414e13a5614;quicker;85.02MiB / 1.953GiB;4.25%;0.46%;399kB / 3.11MB
34.0;6414e13a5614;quicker;85.02MiB / 1.953GiB;4.25%;0.46%;399kB / 3.11MB
34.5;6414e13a5614;quicker;85.04MiB / 1.953GiB;4.25%;5.18%;399kB / 3.2MB
35.0;6414e13a5614;quicker;85.04MiB / 1.953GiB;4.25%;5.18%;399kB / 3.2MB
35.5;6414e13a5614;quicker;85.04MiB / 1.953GiB;4.25%;0.80%;400kB / 3.2MB
36.0;6414e13a5614;quicker;85.04MiB / 1.953GiB;4.25%;0.80%;400kB / 3.2MB
36.5;6414e13a5614;quicker;85.17MiB / 1.953GiB;4.26%;1.74%;401kB / 3.2MB
37.0;6414e13a5614;quicker;85.17MiB / 1.953GiB;4.26%;1.74%;401kB / 3.2MB
37.5;6414e13a5614;quicker;85.12MiB / 1.953GiB;4.26%;4.75%;402kB / 3.26MB
38.0;6414e13a5614;quicker;85.12MiB / 1.953GiB;4.26%;4.75%;402kB / 3.26MB
38.5;6414e13a5614;quicker;85.18MiB / 1.953GiB;4.26%;4.55%;402kB / 3.33MB
39.0;6414e13a5614;quicker;85.18MiB / 1.953GiB;4.26%;4.55%;402kB / 3.33MB
39.5;6414e13a5614;quicker;85.35MiB / 1.953GiB;4.27%;11.90%;402kB / 3.53MB
40.0;6414e13a5614;quicker;85.35MiB / 1.953GiB;4.27%;11.90%;402kB / 3.53MB
40.5;6414e13a5614;quicker;85.29MiB / 1.953GiB;4.26%;7.06%;403kB / 3.64MB
41.0;6414e13a5614;quicker;85.29MiB / 1.953GiB;4.26%;7.06%;403kB / 3.64MB
41.5;6414e13a5614;quicker;85.29MiB / 1.953GiB;4.26%;0.06%;403kB / 3.64MB
42.0;6414e13a5614;quicker;85.29MiB / 1.953GiB;4.26%;0.06%;403kB / 3.64MB
42.5;6414e13a5614;quicker;85.29MiB / 1.953GiB;4.26%;0.74%;403kB / 3.64MB
43.0;6414e13a5614;quicker;85.29MiB / 1.953GiB;4.26%;0.74%;403kB / 3.64MB
43.5;6414e13a5614;quicker;85.3MiB / 1.953GiB;4.26%;3.32%;404kB / 3.7MB
44.0;6414e13a5614;quicker;85.3MiB / 1.953GiB;4.26%;3.32%;404kB / 3.7MB
44.5;6414e13a5614;quicker;85.39MiB / 1.953GiB;4.27%;11.37%;404kB / 3.88MB
45.0;6414e13a5614;quicker;85.39MiB / 1.953GiB;4.27%;11.37%;404kB / 3.88MB
45.5;6414e13a5614;quicker;85.55MiB / 1.953GiB;4.28%;8.28%;404kB / 3.98MB
46.0;6414e13a5614;quicker;85.55MiB / 1.953GiB;4.28%;8.28%;404kB / 3.98MB
46.5;6414e13a5614;quicker;85.46MiB / 1.953GiB;4.27%;4.70%;405kB / 4.03MB
47.0;6414e13a5614;quicker;85.46MiB / 1.953GiB;4.27%;4.70%;405kB / 4.03MB
47.5;6414e13a5614;quicker;85.59MiB / 1.953GiB;4.28%;3.27%;405kB / 4.1MB
48.0;6414e13a5614;quicker;85.59MiB / 1.953GiB;4.28%;3.27%;405kB / 4.1MB
48.5;6414e13a5614;quicker;85.66MiB / 1.953GiB;4.28%;9.23%;406kB / 4.22MB
49.0;6414e13a5614;quicker;85.66MiB / 1.953GiB;4.28%;9.23%;406kB / 4.22MB
49.5;6414e13a5614;quicker;85.69MiB / 1.953GiB;4.28%;3.13%;406kB / 4.29MB
50.0;6414e13a5614;quicker;85.69MiB / 1.953GiB;4.28%;3.13%;406kB / 4.29MB
50.5;6414e13a5614;quicker;85.57MiB / 1.953GiB;4.28%;0.11%;406kB / 4.29MB
51.0;6414e13a5614;quicker;85.57MiB / 1.953GiB;4.28%;0.11%;406kB / 4.29MB
