30.5;a98684bbe911;quicker;135.3MiB / 1.953GiB;6.76%;12.06%;1.11MB / 4.17MB
31.0;a98684bbe911;quicker;135.3MiB / 1.953GiB;6.76%;12.06%;1.11MB / 4.17MB
31.5;a98684bbe911;quicker;135.4MiB / 1.953GiB;6.77%;10.54%;1.12MB / 4.23MB
32.0;a98684bbe911;quicker;135.4MiB / 1.953GiB;6.77%;10.54%;1.12MB / 4.23MB
32.5;a98684bbe911;quicker;135.4MiB / 1.953GiB;6.77%;5.01%;1.12MB / 4.24MB
33.0;a98684bbe911;quicker;135.4MiB / 1.953GiB;6.77%;5.01%;1.12MB / 4.24MB
33.5;a98684bbe911;quicker;135.6MiB / 1.953GiB;6.78%;8.95%;1.13MB / 4.29MB
34.0;a98684bbe911;quicker;135.6MiB / 1.953GiB;6.78%;8.95%;1.13MB / 4.29MB
34.5;a98684bbe911;quicker;135.7MiB / 1.953GiB;6.79%;9.06%;1.13MB / 4.36MB
35.0;a98684bbe911;quicker;135.7MiB / 1.953GiB;6.79%;9.06%;1.13MB / 4.36MB
35.5;a98684bbe911;quicker;136MiB / 1.953GiB;6.80%;17.69%;1.14MB / 4.53MB
36.0;a98684bbe911;quicker;136MiB / 1.953GiB;6.80%;17.69%;1.14MB / 4.53MB
36.5;a98684bbe911;quicker;136.2MiB / 1.953GiB;6.81%;6.50%;1.14MB / 4.57MB
37.0;a98684bbe911;quicker;136.2MiB / 1.953GiB;6.81%;6.50%;1.14MB / 4.57MB
37.5;a98684bbe911;quicker;136.2MiB / 1.953GiB;6.81%;16.85%;1.15MB / 4.61MB
38.0;a98684bbe911;quicker;136.2MiB / 1.953GiB;6.81%;16.85%;1.15MB / 4.61MB
38.5;a98684bbe911;quicker;136.2MiB / 1.953GiB;6.81%;2.87%;1.15MB / 4.61MB
39.0;a98684bbe911;quicker;136.2MiB / 1.953GiB;6.81%;2.87%;1.15MB / 4.61MB
39.5;a98684bbe911;quicker;136.3MiB / 1.953GiB;6.82%;8.30%;1.15MB / 4.67MB
40.0;a98684bbe911;quicker;136.3MiB / 1.953GiB;6.82%;8.30%;1.15MB / 4.67MB
40.5;a98684bbe911;quicker;136.5MiB / 1.953GiB;6.83%;15.83%;1.16MB / 4.8MB
41.0;a98684bbe911;quicker;136.5MiB / 1.953GiB;6.83%;15.83%;1.16MB / 4.8MB
41.5;a98684bbe911;quicker;136.6MiB / 1.953GiB;6.83%;5.81%;1.16MB / 4.84MB
