29.5;76a859a5ef7c;quicker;65.77MiB / 1.953GiB;3.29%;0.34%;106kB / 2.29MB
30.0;76a859a5ef7c;quicker;65.77MiB / 1.953GiB;3.29%;0.34%;106kB / 2.29MB
30.5;76a859a5ef7c;quicker;65.83MiB / 1.953GiB;3.29%;15.65%;107kB / 2.55MB
31.0;76a859a5ef7c;quicker;65.83MiB / 1.953GiB;3.29%;15.65%;107kB / 2.55MB
31.5;76a859a5ef7c;quicker;65.99MiB / 1.953GiB;3.30%;13.59%;107kB / 2.77MB
32.0;76a859a5ef7c;quicker;65.99MiB / 1.953GiB;3.30%;13.59%;107kB / 2.77MB
32.5;76a859a5ef7c;quicker;65.87MiB / 1.953GiB;3.29%;0.32%;108kB / 2.77MB
33.0;76a859a5ef7c;quicker;65.87MiB / 1.953GiB;3.29%;0.32%;108kB / 2.77MB
33.5;76a859a5ef7c;quicker;66MiB / 1.953GiB;3.30%;4.46%;108kB / 2.82MB
34.0;76a859a5ef7c;quicker;66MiB / 1.953GiB;3.30%;4.46%;108kB / 2.82MB
34.5;76a859a5ef7c;quicker;65.89MiB / 1.953GiB;3.29%;0.37%;108kB / 2.82MB
35.0;76a859a5ef7c;quicker;65.89MiB / 1.953GiB;3.29%;0.37%;108kB / 2.82MB
35.5;76a859a5ef7c;quicker;65.89MiB / 1.953GiB;3.29%;0.17%;108kB / 2.82MB
36.0;76a859a5ef7c;quicker;65.89MiB / 1.953GiB;3.29%;0.17%;108kB / 2.82MB
36.5;76a859a5ef7c;quicker;65.89MiB / 1.953GiB;3.29%;0.21%;109kB / 2.82MB
37.0;76a859a5ef7c;quicker;65.89MiB / 1.953GiB;3.29%;0.21%;109kB / 2.82MB
37.5;76a859a5ef7c;quicker;65.89MiB / 1.953GiB;3.29%;0.28%;109kB / 2.82MB
38.0;76a859a5ef7c;quicker;65.89MiB / 1.953GiB;3.29%;0.28%;109kB / 2.82MB
38.5;76a859a5ef7c;quicker;65.89MiB / 1.953GiB;3.29%;0.26%;109kB / 2.82MB
39.0;76a859a5ef7c;quicker;65.89MiB / 1.953GiB;3.29%;0.26%;109kB / 2.82MB
39.5;76a859a5ef7c;quicker;65.89MiB / 1.953GiB;3.29%;2.06%;109kB / 2.83MB
40.0;76a859a5ef7c;quicker;65.89MiB / 1.953GiB;3.29%;2.06%;109kB / 2.83MB
40.5;76a859a5ef7c;quicker;65.89MiB / 1.953GiB;3.29%;0.71%;109kB / 2.83MB
41.0;76a859a5ef7c;quicker;65.89MiB / 1.953GiB;3.29%;0.71%;109kB / 2.83MB
41.5;76a859a5ef7c;quicker;65.89MiB / 1.953GiB;3.29%;1.27%;110kB / 2.83MB
42.0;76a859a5ef7c;quicker;65.89MiB / 1.953GiB;3.29%;1.27%;110kB / 2.83MB
42.5;76a859a5ef7c;quicker;65.89MiB / 1.953GiB;3.29%;0.12%;110kB / 2.83MB
43.0;76a859a5ef7c;quicker;65.89MiB / 1.953GiB;3.29%;0.12%;110kB / 2.83MB
43.5;76a859a5ef7c;quicker;65.89MiB / 1.953GiB;3.29%;0.20%;110kB / 2.83MB
44.0;76a859a5ef7c;quicker;65.89MiB / 1.953GiB;3.29%;0.20%;110kB / 2.83MB
44.5;76a859a5ef7c;quicker;65.89MiB / 1.953GiB;3.29%;0.09%;110kB / 2.83MB
45.0;76a859a5ef7c;quicker;65.89MiB / 1.953GiB;3.29%;0.09%;110kB / 2.83MB
45.5;76a859a5ef7c;quicker;65.89MiB / 1.953GiB;3.29%;0.05%;110kB / 2.83MB
