30.0;dd82990b3f0a;quicker;76.7MiB / 1.953GiB;3.83%;0.71%;164kB / 4.68MB
30.5;dd82990b3f0a;quicker;76.7MiB / 1.953GiB;3.83%;0.03%;164kB / 4.68MB
31.0;dd82990b3f0a;quicker;76.7MiB / 1.953GiB;3.83%;0.03%;164kB / 4.68MB
31.5;dd82990b3f0a;quicker;76.7MiB / 1.953GiB;3.83%;0.25%;164kB / 4.68MB
32.0;dd82990b3f0a;quicker;76.7MiB / 1.953GiB;3.83%;0.25%;164kB / 4.68MB
32.5;dd82990b3f0a;quicker;76.7MiB / 1.953GiB;3.83%;0.28%;164kB / 4.68MB
33.0;dd82990b3f0a;quicker;76.7MiB / 1.953GiB;3.83%;0.28%;164kB / 4.68MB
33.5;dd82990b3f0a;quicker;76.7MiB / 1.953GiB;3.83%;0.29%;164kB / 4.68MB
34.0;dd82990b3f0a;quicker;76.7MiB / 1.953GiB;3.83%;0.29%;164kB / 4.68MB
34.5;dd82990b3f0a;quicker;76.7MiB / 1.953GiB;3.83%;0.22%;164kB / 4.68MB
35.0;dd82990b3f0a;quicker;76.7MiB / 1.953GiB;3.83%;0.22%;164kB / 4.68MB
35.5;dd82990b3f0a;quicker;76.7MiB / 1.953GiB;3.83%;0.46%;165kB / 4.68MB
36.0;dd82990b3f0a;quicker;76.7MiB / 1.953GiB;3.83%;0.46%;165kB / 4.68MB
36.5;dd82990b3f0a;quicker;76.7MiB / 1.953GiB;3.83%;0.04%;165kB / 4.68MB
37.0;dd82990b3f0a;quicker;76.7MiB / 1.953GiB;3.83%;0.04%;165kB / 4.68MB
37.5;dd82990b3f0a;quicker;76.7MiB / 1.953GiB;3.83%;0.04%;165kB / 4.68MB
38.0;dd82990b3f0a;quicker;76.7MiB / 1.953GiB;3.83%;0.04%;165kB / 4.68MB
38.5;dd82990b3f0a;quicker;76.7MiB / 1.953GiB;3.83%;0.09%;165kB / 4.68MB
39.0;dd82990b3f0a;quicker;76.7MiB / 1.953GiB;3.83%;0.09%;165kB / 4.68MB
39.5;dd82990b3f0a;quicker;76.7MiB / 1.953GiB;3.83%;0.22%;165kB / 4.68MB
