30.5;b1821c4c1024;quicker;70.11MiB / 1.953GiB;3.51%;25.31%;150kB / 2.79MB
31.0;b1821c4c1024;quicker;70.11MiB / 1.953GiB;3.51%;25.31%;150kB / 2.79MB
31.5;b1821c4c1024;quicker;70.11MiB / 1.953GiB;3.51%;0.08%;150kB / 2.79MB
32.0;b1821c4c1024;quicker;70.11MiB / 1.953GiB;3.51%;0.08%;150kB / 2.79MB
32.5;b1821c4c1024;quicker;70.12MiB / 1.953GiB;3.51%;6.24%;150kB / 2.87MB
33.0;b1821c4c1024;quicker;70.12MiB / 1.953GiB;3.51%;6.24%;150kB / 2.87MB
33.5;b1821c4c1024;quicker;70.2MiB / 1.953GiB;3.51%;6.87%;150kB / 2.94MB
34.0;b1821c4c1024;quicker;70.2MiB / 1.953GiB;3.51%;6.87%;150kB / 2.94MB
34.5;b1821c4c1024;quicker;70.2MiB / 1.953GiB;3.51%;0.41%;151kB / 2.94MB
35.0;b1821c4c1024;quicker;70.2MiB / 1.953GiB;3.51%;0.41%;151kB / 2.94MB
35.5;b1821c4c1024;quicker;70.2MiB / 1.953GiB;3.51%;0.20%;151kB / 2.94MB
36.0;b1821c4c1024;quicker;70.2MiB / 1.953GiB;3.51%;0.20%;151kB / 2.94MB
36.5;b1821c4c1024;quicker;70.2MiB / 1.953GiB;3.51%;0.16%;151kB / 2.94MB
37.0;b1821c4c1024;quicker;70.2MiB / 1.953GiB;3.51%;0.16%;151kB / 2.94MB
37.5;b1821c4c1024;quicker;70.22MiB / 1.953GiB;3.51%;9.11%;152kB / 3.05MB
38.0;b1821c4c1024;quicker;70.22MiB / 1.953GiB;3.51%;9.11%;152kB / 3.05MB
38.5;b1821c4c1024;quicker;70.22MiB / 1.953GiB;3.51%;0.03%;152kB / 3.05MB
39.0;b1821c4c1024;quicker;70.22MiB / 1.953GiB;3.51%;0.03%;152kB / 3.05MB
39.5;b1821c4c1024;quicker;70.27MiB / 1.953GiB;3.51%;3.82%;152kB / 3.1MB
