30.5;4e73d68cb253;quicker;75.21MiB / 1.953GiB;3.76%;0.53%;225kB / 2.28MB
31.0;4e73d68cb253;quicker;75.21MiB / 1.953GiB;3.76%;2.93%;226kB / 2.32MB
31.5;4e73d68cb253;quicker;75.21MiB / 1.953GiB;3.76%;2.93%;226kB / 2.32MB
32.0;4e73d68cb253;quicker;75.24MiB / 1.953GiB;3.76%;4.54%;227kB / 2.38MB
32.5;4e73d68cb253;quicker;75.24MiB / 1.953GiB;3.76%;4.54%;227kB / 2.38MB
33.0;4e73d68cb253;quicker;75.24MiB / 1.953GiB;3.76%;0.17%;227kB / 2.38MB
33.5;4e73d68cb253;quicker;75.24MiB / 1.953GiB;3.76%;0.17%;227kB / 2.38MB
34.0;4e73d68cb253;quicker;75.24MiB / 1.953GiB;3.76%;0.11%;227kB / 2.38MB
34.5;4e73d68cb253;quicker;75.24MiB / 1.953GiB;3.76%;0.11%;227kB / 2.38MB
35.0;4e73d68cb253;quicker;75.45MiB / 1.953GiB;3.77%;7.06%;228kB / 2.49MB
35.5;4e73d68cb253;quicker;75.45MiB / 1.953GiB;3.77%;7.06%;228kB / 2.49MB
36.0;4e73d68cb253;quicker;75.54MiB / 1.953GiB;3.78%;11.08%;230kB / 2.67MB
36.5;4e73d68cb253;quicker;75.54MiB / 1.953GiB;3.78%;11.08%;230kB / 2.67MB
37.0;4e73d68cb253;quicker;75.43MiB / 1.953GiB;3.77%;4.94%;231kB / 2.74MB
37.5;4e73d68cb253;quicker;75.43MiB / 1.953GiB;3.77%;4.94%;231kB / 2.74MB
38.0;4e73d68cb253;quicker;75.55MiB / 1.953GiB;3.78%;5.74%;231kB / 2.82MB
38.5;4e73d68cb253;quicker;75.55MiB / 1.953GiB;3.78%;5.74%;231kB / 2.82MB
39.0;4e73d68cb253;quicker;75.64MiB / 1.953GiB;3.78%;4.36%;231kB / 2.82MB
39.5;4e73d68cb253;quicker;75.64MiB / 1.953GiB;3.78%;4.36%;231kB / 2.82MB
40.0;4e73d68cb253;quicker;75.72MiB / 1.953GiB;3.79%;24.23%;232kB / 3.26MB
40.5;4e73d68cb253;quicker;75.72MiB / 1.953GiB;3.79%;24.23%;232kB / 3.26MB
41.0;4e73d68cb253;quicker;75.72MiB / 1.953GiB;3.79%;0.23%;232kB / 3.26MB
41.5;4e73d68cb253;quicker;75.72MiB / 1.953GiB;3.79%;0.23%;232kB / 3.26MB
