30.0;eccf578bd4e1;quicker;75.28MiB / 1.953GiB;3.76%;11.80%;199kB / 2.26MB
30.5;eccf578bd4e1;quicker;75.32MiB / 1.953GiB;3.77%;10.52%;199kB / 2.4MB
31.0;eccf578bd4e1;quicker;75.32MiB / 1.953GiB;3.77%;10.52%;199kB / 2.4MB
31.5;eccf578bd4e1;quicker;75.38MiB / 1.953GiB;3.77%;4.82%;200kB / 2.46MB
32.0;eccf578bd4e1;quicker;75.38MiB / 1.953GiB;3.77%;4.82%;200kB / 2.46MB
32.5;eccf578bd4e1;quicker;75.52MiB / 1.953GiB;3.78%;11.36%;201kB / 2.58MB
33.0;eccf578bd4e1;quicker;75.52MiB / 1.953GiB;3.78%;11.36%;201kB / 2.58MB
33.5;eccf578bd4e1;quicker;75.47MiB / 1.953GiB;3.77%;0.10%;201kB / 2.58MB
34.0;eccf578bd4e1;quicker;75.47MiB / 1.953GiB;3.77%;0.10%;201kB / 2.58MB
34.5;eccf578bd4e1;quicker;75.52MiB / 1.953GiB;3.78%;10.91%;202kB / 2.69MB
35.0;eccf578bd4e1;quicker;75.52MiB / 1.953GiB;3.78%;10.91%;202kB / 2.69MB
35.5;eccf578bd4e1;quicker;75.53MiB / 1.953GiB;3.78%;1.98%;203kB / 2.69MB
36.0;eccf578bd4e1;quicker;75.53MiB / 1.953GiB;3.78%;1.98%;203kB / 2.69MB
36.5;eccf578bd4e1;quicker;75.66MiB / 1.953GiB;3.78%;1.12%;203kB / 2.69MB
37.0;eccf578bd4e1;quicker;75.66MiB / 1.953GiB;3.78%;1.12%;203kB / 2.69MB
37.5;eccf578bd4e1;quicker;75.66MiB / 1.953GiB;3.78%;0.28%;203kB / 2.69MB
38.0;eccf578bd4e1;quicker;75.66MiB / 1.953GiB;3.78%;0.28%;203kB / 2.69MB
38.5;eccf578bd4e1;quicker;75.61MiB / 1.953GiB;3.78%;8.27%;204kB / 2.78MB
39.0;eccf578bd4e1;quicker;75.61MiB / 1.953GiB;3.78%;8.27%;204kB / 2.78MB
39.5;eccf578bd4e1;quicker;75.61MiB / 1.953GiB;3.78%;0.07%;204kB / 2.78MB
40.0;eccf578bd4e1;quicker;75.61MiB / 1.953GiB;3.78%;0.07%;204kB / 2.78MB
40.5;eccf578bd4e1;quicker;75.71MiB / 1.953GiB;3.79%;6.40%;204kB / 2.81MB
41.0;eccf578bd4e1;quicker;75.71MiB / 1.953GiB;3.79%;6.40%;204kB / 2.81MB
41.5;eccf578bd4e1;quicker;75.89MiB / 1.953GiB;3.79%;7.80%;205kB / 2.84MB
42.0;eccf578bd4e1;quicker;75.89MiB / 1.953GiB;3.79%;7.80%;205kB / 2.84MB
42.5;eccf578bd4e1;quicker;75.98MiB / 1.953GiB;3.80%;3.03%;207kB / 2.84MB
43.0;eccf578bd4e1;quicker;75.98MiB / 1.953GiB;3.80%;3.03%;207kB / 2.84MB
43.5;eccf578bd4e1;quicker;75.98MiB / 1.953GiB;3.80%;0.18%;207kB / 2.84MB
44.0;eccf578bd4e1;quicker;75.98MiB / 1.953GiB;3.80%;0.18%;207kB / 2.84MB
44.5;eccf578bd4e1;quicker;75.98MiB / 1.953GiB;3.80%;0.57%;207kB / 2.84MB
45.0;eccf578bd4e1;quicker;75.98MiB / 1.953GiB;3.80%;0.57%;207kB / 2.84MB
45.5;eccf578bd4e1;quicker;75.98MiB / 1.953GiB;3.80%;0.68%;208kB / 2.84MB
46.0;eccf578bd4e1;quicker;75.98MiB / 1.953GiB;3.80%;0.68%;208kB / 2.84MB
46.5;eccf578bd4e1;quicker;75.98MiB / 1.953GiB;3.80%;0.17%;208kB / 2.84MB
47.0;eccf578bd4e1;quicker;75.98MiB / 1.953GiB;3.80%;0.17%;208kB / 2.84MB
47.5;eccf578bd4e1;quicker;75.98MiB / 1.953GiB;3.80%;0.10%;208kB / 2.84MB
48.0;eccf578bd4e1;quicker;75.98MiB / 1.953GiB;3.80%;0.10%;208kB / 2.84MB
48.5;eccf578bd4e1;quicker;76.11MiB / 1.953GiB;3.81%;0.28%;208kB / 2.84MB
49.0;eccf578bd4e1;quicker;76.11MiB / 1.953GiB;3.81%;0.28%;208kB / 2.84MB
49.5;eccf578bd4e1;quicker;76.11MiB / 1.953GiB;3.81%;0.06%;208kB / 2.84MB
50.0;eccf578bd4e1;quicker;76.11MiB / 1.953GiB;3.81%;0.06%;208kB / 2.84MB
50.5;eccf578bd4e1;quicker;76.11MiB / 1.953GiB;3.81%;0.17%;208kB / 2.84MB
51.0;eccf578bd4e1;quicker;76.11MiB / 1.953GiB;3.81%;0.17%;208kB / 2.84MB
