31.0;249a55275cea;quicker;45.88MiB / 1.953GiB;2.29%;4.26%;72.7kB / 2.39MB
31.5;249a55275cea;quicker;45.91MiB / 1.953GiB;2.30%;4.51%;72.8kB / 2.44MB
32.0;249a55275cea;quicker;45.91MiB / 1.953GiB;2.30%;4.51%;72.8kB / 2.44MB
32.5;249a55275cea;quicker;46.01MiB / 1.953GiB;2.30%;4.13%;72.8kB / 2.48MB
33.0;249a55275cea;quicker;46.01MiB / 1.953GiB;2.30%;4.13%;72.8kB / 2.48MB
33.5;249a55275cea;quicker;46.04MiB / 1.953GiB;2.30%;0.32%;73kB / 2.48MB
34.0;249a55275cea;quicker;46.04MiB / 1.953GiB;2.30%;0.32%;73kB / 2.48MB
34.5;249a55275cea;quicker;46.04MiB / 1.953GiB;2.30%;0.10%;73kB / 2.48MB
35.0;249a55275cea;quicker;46.04MiB / 1.953GiB;2.30%;0.10%;73kB / 2.48MB
35.5;249a55275cea;quicker;46.04MiB / 1.953GiB;2.30%;0.21%;73kB / 2.48MB
36.0;249a55275cea;quicker;46.04MiB / 1.953GiB;2.30%;0.21%;73kB / 2.48MB
36.5;249a55275cea;quicker;45.92MiB / 1.953GiB;2.30%;1.72%;73.2kB / 2.5MB
37.0;249a55275cea;quicker;45.92MiB / 1.953GiB;2.30%;1.72%;73.2kB / 2.5MB
37.5;249a55275cea;quicker;46.08MiB / 1.953GiB;2.30%;6.30%;73.9kB / 2.54MB
38.0;249a55275cea;quicker;46.08MiB / 1.953GiB;2.30%;6.30%;73.9kB / 2.54MB
38.5;249a55275cea;quicker;46.75MiB / 1.953GiB;2.34%;8.35%;74.2kB / 2.6MB
39.0;249a55275cea;quicker;46.75MiB / 1.953GiB;2.34%;8.35%;74.2kB / 2.6MB
39.5;249a55275cea;quicker;46.74MiB / 1.953GiB;2.34%;0.32%;74.5kB / 2.6MB
40.0;249a55275cea;quicker;46.74MiB / 1.953GiB;2.34%;0.32%;74.5kB / 2.6MB
40.5;249a55275cea;quicker;46.74MiB / 1.953GiB;2.34%;2.62%;75.3kB / 2.6MB
41.0;249a55275cea;quicker;46.74MiB / 1.953GiB;2.34%;2.62%;75.3kB / 2.6MB
41.5;249a55275cea;quicker;46.74MiB / 1.953GiB;2.34%;0.38%;75.5kB / 2.6MB
42.0;249a55275cea;quicker;46.74MiB / 1.953GiB;2.34%;0.38%;75.5kB / 2.6MB
42.5;249a55275cea;quicker;46.74MiB / 1.953GiB;2.34%;0.00%;75.5kB / 2.6MB
