29.0;1c5e3691a30b;quicker;140.5MiB / 1.953GiB;7.02%;0.86%;1.49MB / 3.94MB
29.5;1c5e3691a30b;quicker;140.5MiB / 1.953GiB;7.02%;0.86%;1.49MB / 3.94MB
30.0;1c5e3691a30b;quicker;140.5MiB / 1.953GiB;7.02%;0.79%;1.49MB / 3.94MB
30.5;1c5e3691a30b;quicker;140.5MiB / 1.953GiB;7.02%;0.79%;1.49MB / 3.94MB
31.0;1c5e3691a30b;quicker;141.3MiB / 1.953GiB;7.06%;3.94%;1.5MB / 3.96MB
31.5;1c5e3691a30b;quicker;141.3MiB / 1.953GiB;7.06%;3.94%;1.5MB / 3.96MB
32.0;1c5e3691a30b;quicker;141.4MiB / 1.953GiB;7.07%;3.18%;1.5MB / 3.99MB
32.5;1c5e3691a30b;quicker;141.4MiB / 1.953GiB;7.07%;3.18%;1.5MB / 3.99MB
33.0;1c5e3691a30b;quicker;141.9MiB / 1.953GiB;7.09%;7.47%;1.5MB / 4.03MB
33.5;1c5e3691a30b;quicker;141.9MiB / 1.953GiB;7.09%;7.47%;1.5MB / 4.03MB
34.0;1c5e3691a30b;quicker;141.9MiB / 1.953GiB;7.09%;5.48%;1.5MB / 4.06MB
34.5;1c5e3691a30b;quicker;141.9MiB / 1.953GiB;7.09%;5.48%;1.5MB / 4.06MB
35.0;1c5e3691a30b;quicker;141.9MiB / 1.953GiB;7.09%;7.13%;1.51MB / 4.09MB
35.5;1c5e3691a30b;quicker;141.9MiB / 1.953GiB;7.09%;7.13%;1.51MB / 4.09MB
36.0;1c5e3691a30b;quicker;142.2MiB / 1.953GiB;7.11%;7.82%;1.51MB / 4.15MB
36.5;1c5e3691a30b;quicker;142.2MiB / 1.953GiB;7.11%;7.82%;1.51MB / 4.15MB
37.0;1c5e3691a30b;quicker;142.2MiB / 1.953GiB;7.11%;9.29%;1.51MB / 4.23MB
37.5;1c5e3691a30b;quicker;142.2MiB / 1.953GiB;7.11%;9.29%;1.51MB / 4.23MB
38.0;1c5e3691a30b;quicker;142.5MiB / 1.953GiB;7.12%;8.48%;1.52MB / 4.29MB
38.5;1c5e3691a30b;quicker;142.5MiB / 1.953GiB;7.12%;8.48%;1.52MB / 4.29MB
39.0;1c5e3691a30b;quicker;142.6MiB / 1.953GiB;7.13%;13.00%;1.52MB / 4.35MB
39.5;1c5e3691a30b;quicker;142.6MiB / 1.953GiB;7.13%;13.00%;1.52MB / 4.35MB
40.0;1c5e3691a30b;quicker;142.6MiB / 1.953GiB;7.13%;5.59%;1.52MB / 4.37MB
40.5;1c5e3691a30b;quicker;142.6MiB / 1.953GiB;7.13%;5.59%;1.52MB / 4.37MB
41.0;1c5e3691a30b;quicker;142.7MiB / 1.953GiB;7.14%;3.47%;1.52MB / 4.38MB
41.5;1c5e3691a30b;quicker;142.7MiB / 1.953GiB;7.14%;3.47%;1.52MB / 4.38MB
42.0;1c5e3691a30b;quicker;142.7MiB / 1.953GiB;7.14%;4.67%;1.53MB / 4.38MB
42.5;1c5e3691a30b;quicker;142.7MiB / 1.953GiB;7.14%;4.67%;1.53MB / 4.38MB
43.0;1c5e3691a30b;quicker;142.9MiB / 1.953GiB;7.14%;5.80%;1.53MB / 4.41MB
43.5;1c5e3691a30b;quicker;142.9MiB / 1.953GiB;7.14%;5.80%;1.53MB / 4.41MB
44.0;1c5e3691a30b;quicker;143.2MiB / 1.953GiB;7.16%;17.98%;1.53MB / 4.58MB
44.5;1c5e3691a30b;quicker;143.2MiB / 1.953GiB;7.16%;17.98%;1.53MB / 4.58MB
45.0;1c5e3691a30b;quicker;143.2MiB / 1.953GiB;7.16%;7.51%;1.54MB / 4.63MB
45.5;1c5e3691a30b;quicker;143.2MiB / 1.953GiB;7.16%;7.51%;1.54MB / 4.63MB
46.0;1c5e3691a30b;quicker;143.2MiB / 1.953GiB;7.16%;3.36%;1.54MB / 4.64MB
46.5;1c5e3691a30b;quicker;143.2MiB / 1.953GiB;7.16%;3.36%;1.54MB / 4.64MB
47.0;1c5e3691a30b;quicker;143.3MiB / 1.953GiB;7.17%;8.12%;1.54MB / 4.73MB
47.5;1c5e3691a30b;quicker;143.3MiB / 1.953GiB;7.17%;8.12%;1.54MB / 4.73MB
48.0;1c5e3691a30b;quicker;143.6MiB / 1.953GiB;7.18%;11.18%;1.54MB / 4.84MB
48.5;1c5e3691a30b;quicker;143.6MiB / 1.953GiB;7.18%;11.18%;1.54MB / 4.84MB
49.0;1c5e3691a30b;quicker;143.7MiB / 1.953GiB;7.18%;3.30%;1.54MB / 4.86MB
49.5;1c5e3691a30b;quicker;143.7MiB / 1.953GiB;7.18%;3.30%;1.54MB / 4.86MB
50.0;1c5e3691a30b;quicker;143.7MiB / 1.953GiB;7.18%;4.80%;1.55MB / 4.89MB
50.5;1c5e3691a30b;quicker;143.7MiB / 1.953GiB;7.18%;4.80%;1.55MB / 4.89MB
51.0;1c5e3691a30b;quicker;143.9MiB / 1.953GiB;7.19%;10.89%;1.55MB / 5.03MB
51.5;1c5e3691a30b;quicker;143.9MiB / 1.953GiB;7.19%;10.89%;1.55MB / 5.03MB
52.0;1c5e3691a30b;quicker;144.1MiB / 1.953GiB;7.20%;17.45%;1.55MB / 5.26MB
52.5;1c5e3691a30b;quicker;144.1MiB / 1.953GiB;7.20%;17.45%;1.55MB / 5.26MB
53.0;1c5e3691a30b;quicker;144MiB / 1.953GiB;7.20%;2.83%;1.55MB / 5.28MB
