0.0;288112e27313;quicker;17.78MiB / 1.953GiB;0.89%;0.00%;598B / 0B
0.5;288112e27313;quicker;17.78MiB / 1.953GiB;0.89%;0.00%;598B / 0B
1.0;288112e27313;quicker;17.71MiB / 1.953GiB;0.89%;0.00%;688B / 0B
1.5;288112e27313;quicker;17.71MiB / 1.953GiB;0.89%;0.00%;688B / 0B
2.0;288112e27313;quicker;19.83MiB / 1.953GiB;0.99%;8.81%;9.79kB / 1.34kB
2.5;288112e27313;quicker;19.83MiB / 1.953GiB;0.99%;8.81%;9.79kB / 1.34kB
3.0;288112e27313;quicker;29.25MiB / 1.953GiB;1.46%;100.12%;107kB / 77.2kB
3.5;288112e27313;quicker;29.25MiB / 1.953GiB;1.46%;100.12%;107kB / 77.2kB
4.0;288112e27313;quicker;33.07MiB / 1.953GiB;1.65%;99.56%;224kB / 290kB
4.5;288112e27313;quicker;33.07MiB / 1.953GiB;1.65%;99.56%;224kB / 290kB
5.0;288112e27313;quicker;47.63MiB / 1.953GiB;2.38%;98.16%;353kB / 566kB
5.5;288112e27313;quicker;47.63MiB / 1.953GiB;2.38%;98.16%;353kB / 566kB
6.0;288112e27313;quicker;54.15MiB / 1.953GiB;2.71%;99.14%;439kB / 949kB
6.5;288112e27313;quicker;54.15MiB / 1.953GiB;2.71%;99.14%;439kB / 949kB
7.0;288112e27313;quicker;76.07MiB / 1.953GiB;3.80%;100.14%;528kB / 1.2MB
7.5;288112e27313;quicker;76.07MiB / 1.953GiB;3.80%;100.14%;528kB / 1.2MB
8.0;288112e27313;quicker;85.09MiB / 1.953GiB;4.25%;98.14%;582kB / 1.67MB
8.5;288112e27313;quicker;85.09MiB / 1.953GiB;4.25%;98.14%;582kB / 1.67MB
9.0;288112e27313;quicker;93.7MiB / 1.953GiB;4.68%;98.19%;637kB / 2.03MB
9.5;288112e27313;quicker;93.7MiB / 1.953GiB;4.68%;98.19%;637kB / 2.03MB
10.0;288112e27313;quicker;98.96MiB / 1.953GiB;4.95%;68.28%;653kB / 2.41MB
10.5;288112e27313;quicker;98.96MiB / 1.953GiB;4.95%;68.28%;653kB / 2.41MB
11.0;288112e27313;quicker;99.83MiB / 1.953GiB;4.99%;15.55%;657kB / 2.57MB
11.5;288112e27313;quicker;99.83MiB / 1.953GiB;4.99%;15.55%;657kB / 2.57MB
12.0;288112e27313;quicker;101.5MiB / 1.953GiB;5.07%;15.49%;662kB / 2.63MB
12.5;288112e27313;quicker;101.5MiB / 1.953GiB;5.07%;15.49%;662kB / 2.63MB
13.0;288112e27313;quicker;104.6MiB / 1.953GiB;5.23%;20.81%;670kB / 2.74MB
13.5;288112e27313;quicker;104.6MiB / 1.953GiB;5.23%;20.81%;670kB / 2.74MB
14.0;288112e27313;quicker;108.8MiB / 1.953GiB;5.44%;24.48%;675kB / 2.8MB
14.5;288112e27313;quicker;108.8MiB / 1.953GiB;5.44%;24.48%;675kB / 2.8MB
15.0;288112e27313;quicker;112.5MiB / 1.953GiB;5.62%;17.28%;680kB / 2.87MB
15.5;288112e27313;quicker;112.5MiB / 1.953GiB;5.62%;17.28%;680kB / 2.87MB
16.0;288112e27313;quicker;113.6MiB / 1.953GiB;5.68%;7.82%;682kB / 2.89MB
