29.5;9d15e47a74aa;quicker;113.2MiB / 1.953GiB;5.66%;14.16%;855kB / 3.69MB
30.0;9d15e47a74aa;quicker;113.2MiB / 1.953GiB;5.66%;14.16%;855kB / 3.69MB
30.5;9d15e47a74aa;quicker;113.2MiB / 1.953GiB;5.66%;11.08%;858kB / 3.8MB
31.0;9d15e47a74aa;quicker;113.2MiB / 1.953GiB;5.66%;11.08%;858kB / 3.8MB
31.5;9d15e47a74aa;quicker;113.2MiB / 1.953GiB;5.66%;3.67%;860kB / 3.83MB
32.0;9d15e47a74aa;quicker;113.2MiB / 1.953GiB;5.66%;3.67%;860kB / 3.83MB
32.5;9d15e47a74aa;quicker;113.3MiB / 1.953GiB;5.66%;5.48%;861kB / 3.87MB
33.0;9d15e47a74aa;quicker;113.3MiB / 1.953GiB;5.66%;5.48%;861kB / 3.87MB
33.5;9d15e47a74aa;quicker;113.2MiB / 1.953GiB;5.66%;2.83%;862kB / 3.91MB
34.0;9d15e47a74aa;quicker;113.2MiB / 1.953GiB;5.66%;2.83%;862kB / 3.91MB
34.5;9d15e47a74aa;quicker;113.2MiB / 1.953GiB;5.66%;1.37%;862kB / 3.92MB
35.0;9d15e47a74aa;quicker;113.2MiB / 1.953GiB;5.66%;1.37%;862kB / 3.92MB
35.5;9d15e47a74aa;quicker;113.3MiB / 1.953GiB;5.67%;5.28%;863kB / 3.99MB
36.0;9d15e47a74aa;quicker;113.3MiB / 1.953GiB;5.67%;5.28%;863kB / 3.99MB
36.5;9d15e47a74aa;quicker;113.5MiB / 1.953GiB;5.68%;14.32%;865kB / 4.09MB
37.0;9d15e47a74aa;quicker;113.5MiB / 1.953GiB;5.68%;14.32%;865kB / 4.09MB
37.5;9d15e47a74aa;quicker;113.5MiB / 1.953GiB;5.67%;7.90%;866kB / 4.28MB
38.0;9d15e47a74aa;quicker;113.5MiB / 1.953GiB;5.67%;7.90%;866kB / 4.28MB
38.5;9d15e47a74aa;quicker;113.6MiB / 1.953GiB;5.68%;13.87%;867kB / 4.53MB
39.0;9d15e47a74aa;quicker;113.6MiB / 1.953GiB;5.68%;13.87%;867kB / 4.53MB
39.5;9d15e47a74aa;quicker;113.7MiB / 1.953GiB;5.68%;2.74%;868kB / 4.56MB
40.0;9d15e47a74aa;quicker;113.7MiB / 1.953GiB;5.68%;2.74%;868kB / 4.56MB
40.5;9d15e47a74aa;quicker;113.6MiB / 1.953GiB;5.68%;0.72%;868kB / 4.56MB
41.0;9d15e47a74aa;quicker;113.6MiB / 1.953GiB;5.68%;0.72%;868kB / 4.56MB
41.5;9d15e47a74aa;quicker;113.6MiB / 1.953GiB;5.68%;1.61%;869kB / 4.56MB
42.0;9d15e47a74aa;quicker;113.6MiB / 1.953GiB;5.68%;1.61%;869kB / 4.56MB
42.5;9d15e47a74aa;quicker;113.6MiB / 1.953GiB;5.68%;2.27%;871kB / 4.56MB
43.0;9d15e47a74aa;quicker;113.6MiB / 1.953GiB;5.68%;2.27%;871kB / 4.56MB
43.5;9d15e47a74aa;quicker;113.8MiB / 1.953GiB;5.69%;13.51%;872kB / 4.77MB
44.0;9d15e47a74aa;quicker;113.8MiB / 1.953GiB;5.69%;13.51%;872kB / 4.77MB
44.5;9d15e47a74aa;quicker;113.9MiB / 1.953GiB;5.70%;6.29%;873kB / 4.87MB
45.0;9d15e47a74aa;quicker;113.9MiB / 1.953GiB;5.70%;6.29%;873kB / 4.87MB
45.5;9d15e47a74aa;quicker;113.9MiB / 1.953GiB;5.69%;10.24%;873kB / 5.03MB
46.0;9d15e47a74aa;quicker;113.9MiB / 1.953GiB;5.69%;10.24%;873kB / 5.03MB
46.5;9d15e47a74aa;quicker;113.9MiB / 1.953GiB;5.69%;5.12%;874kB / 5.12MB
47.0;9d15e47a74aa;quicker;113.9MiB / 1.953GiB;5.69%;5.12%;874kB / 5.12MB
47.5;9d15e47a74aa;quicker;113.9MiB / 1.953GiB;5.69%;0.62%;874kB / 5.12MB
48.0;9d15e47a74aa;quicker;113.9MiB / 1.953GiB;5.69%;0.62%;874kB / 5.12MB
48.5;9d15e47a74aa;quicker;113.9MiB / 1.953GiB;5.69%;2.50%;875kB / 5.15MB
49.0;9d15e47a74aa;quicker;113.9MiB / 1.953GiB;5.69%;2.50%;875kB / 5.15MB
49.5;9d15e47a74aa;quicker;113.9MiB / 1.953GiB;5.69%;4.90%;875kB / 5.21MB
50.0;9d15e47a74aa;quicker;113.9MiB / 1.953GiB;5.69%;4.90%;875kB / 5.21MB
50.5;9d15e47a74aa;quicker;114.1MiB / 1.953GiB;5.70%;6.23%;876kB / 5.29MB
51.0;9d15e47a74aa;quicker;114.1MiB / 1.953GiB;5.70%;6.23%;876kB / 5.29MB
51.5;9d15e47a74aa;quicker;114.1MiB / 1.953GiB;5.71%;4.59%;876kB / 5.37MB
52.0;9d15e47a74aa;quicker;114.1MiB / 1.953GiB;5.71%;4.59%;876kB / 5.37MB
52.5;9d15e47a74aa;quicker;114MiB / 1.953GiB;5.70%;0.58%;876kB / 5.37MB
53.0;9d15e47a74aa;quicker;114MiB / 1.953GiB;5.70%;0.58%;876kB / 5.37MB
53.5;9d15e47a74aa;quicker;114.2MiB / 1.953GiB;5.71%;5.77%;877kB / 5.44MB
54.0;9d15e47a74aa;quicker;114.2MiB / 1.953GiB;5.71%;5.77%;877kB / 5.44MB
54.5;9d15e47a74aa;quicker;114.3MiB / 1.953GiB;5.72%;7.59%;877kB / 5.56MB
55.0;9d15e47a74aa;quicker;114.3MiB / 1.953GiB;5.72%;7.59%;877kB / 5.56MB
55.5;9d15e47a74aa;quicker;114.4MiB / 1.953GiB;5.72%;5.20%;877kB / 5.62MB
56.0;9d15e47a74aa;quicker;114.4MiB / 1.953GiB;5.72%;5.20%;877kB / 5.62MB
56.5;9d15e47a74aa;quicker;114.5MiB / 1.953GiB;5.72%;7.31%;878kB / 5.69MB
57.0;9d15e47a74aa;quicker;114.5MiB / 1.953GiB;5.72%;7.31%;878kB / 5.69MB
57.5;9d15e47a74aa;quicker;114.5MiB / 1.953GiB;5.72%;12.49%;878kB / 5.99MB
58.0;9d15e47a74aa;quicker;114.5MiB / 1.953GiB;5.72%;12.49%;878kB / 5.99MB
58.5;9d15e47a74aa;quicker;114.5MiB / 1.953GiB;5.72%;0.19%;878kB / 6MB
59.0;9d15e47a74aa;quicker;114.5MiB / 1.953GiB;5.72%;0.19%;878kB / 6MB
59.5;9d15e47a74aa;quicker;114.5MiB / 1.953GiB;5.72%;3.11%;878kB / 6.04MB
60.0;9d15e47a74aa;quicker;114.5MiB / 1.953GiB;5.72%;3.11%;878kB / 6.04MB
60.5;9d15e47a74aa;quicker;114.5MiB / 1.953GiB;5.72%;2.62%;879kB / 6.08MB
61.0;9d15e47a74aa;quicker;114.5MiB / 1.953GiB;5.72%;2.62%;879kB / 6.08MB
61.5;9d15e47a74aa;quicker;114.5MiB / 1.953GiB;5.73%;6.37%;879kB / 6.15MB
62.0;9d15e47a74aa;quicker;114.5MiB / 1.953GiB;5.73%;6.37%;879kB / 6.15MB
62.5;9d15e47a74aa;quicker;114.5MiB / 1.953GiB;5.73%;0.22%;879kB / 6.15MB
63.0;9d15e47a74aa;quicker;114.5MiB / 1.953GiB;5.73%;0.22%;879kB / 6.15MB
63.5;9d15e47a74aa;quicker;114.5MiB / 1.953GiB;5.73%;0.26%;879kB / 6.15MB
64.0;9d15e47a74aa;quicker;114.5MiB / 1.953GiB;5.73%;0.26%;879kB / 6.15MB
64.5;9d15e47a74aa;quicker;114.5MiB / 1.953GiB;5.73%;0.31%;879kB / 6.15MB
65.0;9d15e47a74aa;quicker;114.5MiB / 1.953GiB;5.73%;0.31%;879kB / 6.15MB
65.5;9d15e47a74aa;quicker;114.6MiB / 1.953GiB;5.73%;3.34%;879kB / 6.18MB
66.0;9d15e47a74aa;quicker;114.6MiB / 1.953GiB;5.73%;3.34%;879kB / 6.18MB
66.5;9d15e47a74aa;quicker;114.6MiB / 1.953GiB;5.73%;0.16%;879kB / 6.18MB
67.0;9d15e47a74aa;quicker;114.6MiB / 1.953GiB;5.73%;0.16%;879kB / 6.18MB
67.5;9d15e47a74aa;quicker;114.6MiB / 1.953GiB;5.73%;0.19%;879kB / 6.18MB
68.0;9d15e47a74aa;quicker;114.6MiB / 1.953GiB;5.73%;0.19%;879kB / 6.18MB
68.5;9d15e47a74aa;quicker;114.6MiB / 1.953GiB;5.73%;0.10%;879kB / 6.18MB
69.0;9d15e47a74aa;quicker;114.6MiB / 1.953GiB;5.73%;0.10%;879kB / 6.18MB
69.5;9d15e47a74aa;quicker;114.6MiB / 1.953GiB;5.73%;0.11%;879kB / 6.18MB
70.0;9d15e47a74aa;quicker;114.6MiB / 1.953GiB;5.73%;0.11%;879kB / 6.18MB
70.5;9d15e47a74aa;quicker;114.6MiB / 1.953GiB;5.73%;1.88%;880kB / 6.18MB
71.0;9d15e47a74aa;quicker;114.6MiB / 1.953GiB;5.73%;1.88%;880kB / 6.18MB
71.5;9d15e47a74aa;quicker;114.6MiB / 1.953GiB;5.73%;1.27%;881kB / 6.18MB
72.0;9d15e47a74aa;quicker;114.6MiB / 1.953GiB;5.73%;1.27%;881kB / 6.18MB
72.5;9d15e47a74aa;quicker;114.6MiB / 1.953GiB;5.73%;0.35%;881kB / 6.18MB
73.0;9d15e47a74aa;quicker;114.6MiB / 1.953GiB;5.73%;0.35%;881kB / 6.18MB
73.5;9d15e47a74aa;quicker;114.6MiB / 1.953GiB;5.73%;0.05%;881kB / 6.18MB
74.0;9d15e47a74aa;quicker;114.6MiB / 1.953GiB;5.73%;0.05%;881kB / 6.18MB
74.5;9d15e47a74aa;quicker;114.6MiB / 1.953GiB;5.73%;0.23%;881kB / 6.18MB
75.0;9d15e47a74aa;quicker;114.6MiB / 1.953GiB;5.73%;0.23%;881kB / 6.18MB
75.5;9d15e47a74aa;quicker;114.6MiB / 1.953GiB;5.73%;0.04%;881kB / 6.18MB
76.0;9d15e47a74aa;quicker;114.6MiB / 1.953GiB;5.73%;0.04%;881kB / 6.18MB
76.5;9d15e47a74aa;quicker;114.6MiB / 1.953GiB;5.73%;0.16%;881kB / 6.18MB
77.0;9d15e47a74aa;quicker;114.6MiB / 1.953GiB;5.73%;0.16%;881kB / 6.18MB
