30.5;bd61546aca4d;quicker;100MiB / 1.953GiB;5.00%;0.75%;633kB / 2.85MB
31.0;bd61546aca4d;quicker;100MiB / 1.953GiB;5.00%;0.75%;633kB / 2.85MB
31.5;bd61546aca4d;quicker;100MiB / 1.953GiB;5.00%;3.98%;634kB / 2.89MB
32.0;bd61546aca4d;quicker;100MiB / 1.953GiB;5.00%;3.98%;634kB / 2.89MB
32.5;bd61546aca4d;quicker;100.2MiB / 1.953GiB;5.01%;13.25%;636kB / 3.12MB
33.0;bd61546aca4d;quicker;100.2MiB / 1.953GiB;5.01%;13.25%;636kB / 3.12MB
33.5;bd61546aca4d;quicker;100.2MiB / 1.953GiB;5.01%;7.80%;636kB / 3.24MB
34.0;bd61546aca4d;quicker;100.2MiB / 1.953GiB;5.01%;7.80%;636kB / 3.24MB
34.5;bd61546aca4d;quicker;100.4MiB / 1.953GiB;5.02%;7.61%;637kB / 3.35MB
35.0;bd61546aca4d;quicker;100.4MiB / 1.953GiB;5.02%;7.61%;637kB / 3.35MB
35.5;bd61546aca4d;quicker;100.4MiB / 1.953GiB;5.02%;1.10%;637kB / 3.35MB
36.0;bd61546aca4d;quicker;100.4MiB / 1.953GiB;5.02%;1.10%;637kB / 3.35MB
36.5;bd61546aca4d;quicker;100.4MiB / 1.953GiB;5.02%;3.59%;638kB / 3.41MB
37.0;bd61546aca4d;quicker;100.4MiB / 1.953GiB;5.02%;3.59%;638kB / 3.41MB
37.5;bd61546aca4d;quicker;100.3MiB / 1.953GiB;5.01%;0.95%;639kB / 3.41MB
38.0;bd61546aca4d;quicker;100.3MiB / 1.953GiB;5.01%;0.95%;639kB / 3.41MB
38.5;bd61546aca4d;quicker;100.4MiB / 1.953GiB;5.02%;7.84%;639kB / 3.5MB
39.0;bd61546aca4d;quicker;100.4MiB / 1.953GiB;5.02%;7.84%;639kB / 3.5MB
39.5;bd61546aca4d;quicker;100.4MiB / 1.953GiB;5.02%;0.87%;640kB / 3.5MB
40.0;bd61546aca4d;quicker;100.4MiB / 1.953GiB;5.02%;0.87%;640kB / 3.5MB
40.5;bd61546aca4d;quicker;100.5MiB / 1.953GiB;5.03%;4.55%;640kB / 3.53MB
41.0;bd61546aca4d;quicker;100.5MiB / 1.953GiB;5.03%;4.55%;640kB / 3.53MB
41.5;bd61546aca4d;quicker;100.7MiB / 1.953GiB;5.03%;10.32%;641kB / 3.62MB
42.0;bd61546aca4d;quicker;100.7MiB / 1.953GiB;5.03%;10.32%;641kB / 3.62MB
42.5;bd61546aca4d;quicker;100.7MiB / 1.953GiB;5.03%;4.02%;642kB / 3.63MB
43.0;bd61546aca4d;quicker;100.7MiB / 1.953GiB;5.03%;4.02%;642kB / 3.63MB
43.5;bd61546aca4d;quicker;100.6MiB / 1.953GiB;5.03%;0.16%;642kB / 3.63MB
44.0;bd61546aca4d;quicker;100.6MiB / 1.953GiB;5.03%;0.16%;642kB / 3.63MB
44.5;bd61546aca4d;quicker;100.6MiB / 1.953GiB;5.03%;0.96%;642kB / 3.63MB
45.0;bd61546aca4d;quicker;100.6MiB / 1.953GiB;5.03%;0.96%;642kB / 3.63MB
45.5;bd61546aca4d;quicker;100.6MiB / 1.953GiB;5.03%;0.26%;643kB / 3.63MB
46.0;bd61546aca4d;quicker;100.6MiB / 1.953GiB;5.03%;0.26%;643kB / 3.63MB
46.5;bd61546aca4d;quicker;100.7MiB / 1.953GiB;5.04%;2.08%;643kB / 3.63MB
47.0;bd61546aca4d;quicker;100.7MiB / 1.953GiB;5.04%;2.08%;643kB / 3.63MB
47.5;bd61546aca4d;quicker;100.6MiB / 1.953GiB;5.03%;0.39%;643kB / 3.63MB
48.0;bd61546aca4d;quicker;100.6MiB / 1.953GiB;5.03%;0.39%;643kB / 3.63MB
48.5;bd61546aca4d;quicker;100.6MiB / 1.953GiB;5.03%;0.31%;644kB / 3.63MB
49.0;bd61546aca4d;quicker;100.6MiB / 1.953GiB;5.03%;0.31%;644kB / 3.63MB
49.5;bd61546aca4d;quicker;100.6MiB / 1.953GiB;5.03%;0.59%;644kB / 3.63MB
50.0;bd61546aca4d;quicker;100.6MiB / 1.953GiB;5.03%;0.59%;644kB / 3.63MB
50.5;bd61546aca4d;quicker;100.6MiB / 1.953GiB;5.03%;0.00%;644kB / 3.63MB
51.0;bd61546aca4d;quicker;100.6MiB / 1.953GiB;5.03%;0.00%;644kB / 3.63MB
51.5;bd61546aca4d;quicker;100.6MiB / 1.953GiB;5.03%;0.15%;644kB / 3.63MB
52.0;bd61546aca4d;quicker;100.6MiB / 1.953GiB;5.03%;0.15%;644kB / 3.63MB
52.5;bd61546aca4d;quicker;100.6MiB / 1.953GiB;5.03%;0.09%;644kB / 3.63MB
53.0;bd61546aca4d;quicker;100.6MiB / 1.953GiB;5.03%;0.09%;644kB / 3.63MB
53.5;bd61546aca4d;quicker;100.6MiB / 1.953GiB;5.03%;0.11%;644kB / 3.63MB
54.0;bd61546aca4d;quicker;100.6MiB / 1.953GiB;5.03%;0.11%;644kB / 3.63MB
54.5;bd61546aca4d;quicker;100.6MiB / 1.953GiB;5.03%;0.26%;644kB / 3.63MB
55.0;bd61546aca4d;quicker;100.6MiB / 1.953GiB;5.03%;0.26%;644kB / 3.63MB
55.5;bd61546aca4d;quicker;100.6MiB / 1.953GiB;5.03%;0.14%;644kB / 3.63MB
56.0;bd61546aca4d;quicker;100.6MiB / 1.953GiB;5.03%;0.14%;644kB / 3.63MB
56.5;bd61546aca4d;quicker;100.6MiB / 1.953GiB;5.03%;0.18%;644kB / 3.63MB
57.0;bd61546aca4d;quicker;100.6MiB / 1.953GiB;5.03%;0.18%;644kB / 3.63MB
57.5;bd61546aca4d;quicker;100.6MiB / 1.953GiB;5.03%;0.25%;644kB / 3.63MB
58.0;bd61546aca4d;quicker;100.6MiB / 1.953GiB;5.03%;0.25%;644kB / 3.63MB
58.5;bd61546aca4d;quicker;100.6MiB / 1.953GiB;5.03%;0.13%;644kB / 3.63MB
