31.5;e41c91348605;quicker;32.66MiB / 1.953GiB;1.63%;0.09%;18.1kB / 960kB
32.0;e41c91348605;quicker;32.66MiB / 1.953GiB;1.63%;0.01%;18.1kB / 960kB
32.5;e41c91348605;quicker;32.66MiB / 1.953GiB;1.63%;0.01%;18.1kB / 960kB
33.0;e41c91348605;quicker;32.66MiB / 1.953GiB;1.63%;0.00%;18.1kB / 960kB
33.5;e41c91348605;quicker;32.66MiB / 1.953GiB;1.63%;0.00%;18.1kB / 960kB
34.0;e41c91348605;quicker;32.66MiB / 1.953GiB;1.63%;0.00%;18.1kB / 960kB
34.5;e41c91348605;quicker;32.66MiB / 1.953GiB;1.63%;0.00%;18.1kB / 960kB
35.0;e41c91348605;quicker;32.66MiB / 1.953GiB;1.63%;0.00%;18.1kB / 960kB
35.5;e41c91348605;quicker;32.66MiB / 1.953GiB;1.63%;0.00%;18.1kB / 960kB
36.0;e41c91348605;quicker;32.66MiB / 1.953GiB;1.63%;0.00%;18.1kB / 960kB
36.5;e41c91348605;quicker;32.66MiB / 1.953GiB;1.63%;0.00%;18.1kB / 960kB
37.0;e41c91348605;quicker;32.66MiB / 1.953GiB;1.63%;0.02%;18.1kB / 960kB
37.5;e41c91348605;quicker;32.66MiB / 1.953GiB;1.63%;0.02%;18.1kB / 960kB
38.0;e41c91348605;quicker;32.66MiB / 1.953GiB;1.63%;0.04%;18.1kB / 960kB
38.5;e41c91348605;quicker;32.66MiB / 1.953GiB;1.63%;0.04%;18.1kB / 960kB
39.0;e41c91348605;quicker;32.66MiB / 1.953GiB;1.63%;0.00%;18.1kB / 960kB
39.5;e41c91348605;quicker;32.66MiB / 1.953GiB;1.63%;0.00%;18.1kB / 960kB
40.0;e41c91348605;quicker;32.66MiB / 1.953GiB;1.63%;0.01%;18.1kB / 960kB
40.5;e41c91348605;quicker;32.66MiB / 1.953GiB;1.63%;0.01%;18.1kB / 960kB
41.0;e41c91348605;quicker;32.66MiB / 1.953GiB;1.63%;0.00%;18.1kB / 960kB
41.5;e41c91348605;quicker;32.66MiB / 1.953GiB;1.63%;0.00%;18.1kB / 960kB
42.0;e41c91348605;quicker;32.66MiB / 1.953GiB;1.63%;0.00%;18.1kB / 960kB
42.5;e41c91348605;quicker;32.66MiB / 1.953GiB;1.63%;0.00%;18.1kB / 960kB
43.0;e41c91348605;quicker;32.66MiB / 1.953GiB;1.63%;0.00%;18.1kB / 960kB
43.5;e41c91348605;quicker;32.66MiB / 1.953GiB;1.63%;0.00%;18.1kB / 960kB
44.0;e41c91348605;quicker;32.66MiB / 1.953GiB;1.63%;0.04%;18.1kB / 960kB
44.5;e41c91348605;quicker;32.66MiB / 1.953GiB;1.63%;0.04%;18.1kB / 960kB
45.0;e41c91348605;quicker;32.66MiB / 1.953GiB;1.63%;0.01%;18.1kB / 960kB
45.5;e41c91348605;quicker;32.66MiB / 1.953GiB;1.63%;0.01%;18.1kB / 960kB
46.0;e41c91348605;quicker;32.66MiB / 1.953GiB;1.63%;0.05%;18.1kB / 960kB
46.5;e41c91348605;quicker;32.66MiB / 1.953GiB;1.63%;0.05%;18.1kB / 960kB
47.0;e41c91348605;quicker;32.79MiB / 1.953GiB;1.64%;0.16%;18.2kB / 960kB
47.5;e41c91348605;quicker;32.79MiB / 1.953GiB;1.64%;0.16%;18.2kB / 960kB
48.0;e41c91348605;quicker;32.67MiB / 1.953GiB;1.63%;0.25%;18.5kB / 960kB
48.5;e41c91348605;quicker;32.67MiB / 1.953GiB;1.63%;0.25%;18.5kB / 960kB
49.0;e41c91348605;quicker;32.67MiB / 1.953GiB;1.63%;0.00%;18.5kB / 960kB
49.5;e41c91348605;quicker;32.67MiB / 1.953GiB;1.63%;0.00%;18.5kB / 960kB
50.0;e41c91348605;quicker;32.67MiB / 1.953GiB;1.63%;0.00%;18.5kB / 960kB
50.5;e41c91348605;quicker;32.67MiB / 1.953GiB;1.63%;0.00%;18.5kB / 960kB
51.0;e41c91348605;quicker;32.67MiB / 1.953GiB;1.63%;0.00%;18.5kB / 960kB
51.5;e41c91348605;quicker;32.67MiB / 1.953GiB;1.63%;0.00%;18.5kB / 960kB
52.0;e41c91348605;quicker;32.67MiB / 1.953GiB;1.63%;0.00%;18.5kB / 960kB
52.5;e41c91348605;quicker;32.67MiB / 1.953GiB;1.63%;0.00%;18.5kB / 960kB
53.0;e41c91348605;quicker;32.67MiB / 1.953GiB;1.63%;0.00%;18.5kB / 960kB
53.5;e41c91348605;quicker;32.67MiB / 1.953GiB;1.63%;0.00%;18.5kB / 960kB
54.0;e41c91348605;quicker;32.67MiB / 1.953GiB;1.63%;0.00%;18.5kB / 960kB
54.5;e41c91348605;quicker;32.67MiB / 1.953GiB;1.63%;0.00%;18.5kB / 960kB
55.0;e41c91348605;quicker;32.67MiB / 1.953GiB;1.63%;0.00%;18.5kB / 960kB
55.5;e41c91348605;quicker;32.67MiB / 1.953GiB;1.63%;0.00%;18.5kB / 960kB
