29.5;dfae21aa9eaf;quicker;77.53MiB / 1.953GiB;3.88%;0.09%;178kB / 5.8MB
30.0;dfae21aa9eaf;quicker;77.53MiB / 1.953GiB;3.88%;0.09%;178kB / 5.8MB
30.5;dfae21aa9eaf;quicker;77.53MiB / 1.953GiB;3.88%;0.00%;178kB / 5.8MB
31.0;dfae21aa9eaf;quicker;77.53MiB / 1.953GiB;3.88%;0.00%;178kB / 5.8MB
31.5;dfae21aa9eaf;quicker;77.53MiB / 1.953GiB;3.88%;0.00%;178kB / 5.8MB
32.0;dfae21aa9eaf;quicker;77.53MiB / 1.953GiB;3.88%;0.00%;178kB / 5.8MB
32.5;dfae21aa9eaf;quicker;77.53MiB / 1.953GiB;3.88%;0.25%;179kB / 5.8MB
33.0;dfae21aa9eaf;quicker;77.53MiB / 1.953GiB;3.88%;0.25%;179kB / 5.8MB
33.5;dfae21aa9eaf;quicker;77.53MiB / 1.953GiB;3.88%;0.00%;179kB / 5.8MB
34.0;dfae21aa9eaf;quicker;77.53MiB / 1.953GiB;3.88%;0.00%;179kB / 5.8MB
34.5;dfae21aa9eaf;quicker;77.53MiB / 1.953GiB;3.88%;0.01%;179kB / 5.8MB
35.0;dfae21aa9eaf;quicker;77.53MiB / 1.953GiB;3.88%;0.01%;179kB / 5.8MB
35.5;dfae21aa9eaf;quicker;77.53MiB / 1.953GiB;3.88%;0.44%;179kB / 5.8MB
36.0;dfae21aa9eaf;quicker;77.53MiB / 1.953GiB;3.88%;0.44%;179kB / 5.8MB
36.5;dfae21aa9eaf;quicker;77.53MiB / 1.953GiB;3.88%;0.04%;179kB / 5.8MB
37.0;dfae21aa9eaf;quicker;77.53MiB / 1.953GiB;3.88%;0.04%;179kB / 5.8MB
37.5;dfae21aa9eaf;quicker;77.53MiB / 1.953GiB;3.88%;0.00%;179kB / 5.8MB
38.0;dfae21aa9eaf;quicker;77.53MiB / 1.953GiB;3.88%;0.00%;179kB / 5.8MB
38.5;dfae21aa9eaf;quicker;77.53MiB / 1.953GiB;3.88%;0.01%;179kB / 5.8MB
39.0;dfae21aa9eaf;quicker;77.53MiB / 1.953GiB;3.88%;0.01%;179kB / 5.8MB
39.5;dfae21aa9eaf;quicker;77.53MiB / 1.953GiB;3.88%;0.44%;179kB / 5.8MB
40.0;dfae21aa9eaf;quicker;77.53MiB / 1.953GiB;3.88%;0.44%;179kB / 5.8MB
40.5;dfae21aa9eaf;quicker;77.53MiB / 1.953GiB;3.88%;0.02%;179kB / 5.8MB
41.0;dfae21aa9eaf;quicker;77.53MiB / 1.953GiB;3.88%;0.02%;179kB / 5.8MB
41.5;dfae21aa9eaf;quicker;77.53MiB / 1.953GiB;3.88%;0.00%;179kB / 5.8MB
42.0;dfae21aa9eaf;quicker;77.53MiB / 1.953GiB;3.88%;0.00%;179kB / 5.8MB
42.5;dfae21aa9eaf;quicker;77.65MiB / 1.953GiB;3.88%;0.57%;179kB / 5.8MB
43.0;dfae21aa9eaf;quicker;77.65MiB / 1.953GiB;3.88%;0.57%;179kB / 5.8MB
43.5;dfae21aa9eaf;quicker;77.65MiB / 1.953GiB;3.88%;0.92%;181kB / 5.8MB
44.0;dfae21aa9eaf;quicker;77.65MiB / 1.953GiB;3.88%;0.92%;181kB / 5.8MB
44.5;dfae21aa9eaf;quicker;77.54MiB / 1.953GiB;3.88%;0.31%;181kB / 5.8MB
45.0;dfae21aa9eaf;quicker;77.54MiB / 1.953GiB;3.88%;0.31%;181kB / 5.8MB
45.5;dfae21aa9eaf;quicker;77.54MiB / 1.953GiB;3.88%;0.00%;181kB / 5.8MB
46.0;dfae21aa9eaf;quicker;77.54MiB / 1.953GiB;3.88%;0.00%;181kB / 5.8MB
46.5;dfae21aa9eaf;quicker;77.54MiB / 1.953GiB;3.88%;0.04%;181kB / 5.8MB
47.0;dfae21aa9eaf;quicker;77.54MiB / 1.953GiB;3.88%;0.04%;181kB / 5.8MB
47.5;dfae21aa9eaf;quicker;77.54MiB / 1.953GiB;3.88%;0.05%;181kB / 5.8MB
48.0;dfae21aa9eaf;quicker;77.54MiB / 1.953GiB;3.88%;0.05%;181kB / 5.8MB
48.5;dfae21aa9eaf;quicker;77.54MiB / 1.953GiB;3.88%;0.00%;181kB / 5.8MB
49.0;dfae21aa9eaf;quicker;77.54MiB / 1.953GiB;3.88%;0.00%;181kB / 5.8MB
49.5;dfae21aa9eaf;quicker;77.54MiB / 1.953GiB;3.88%;0.00%;181kB / 5.8MB
50.0;dfae21aa9eaf;quicker;77.54MiB / 1.953GiB;3.88%;0.00%;181kB / 5.8MB
50.5;dfae21aa9eaf;quicker;77.54MiB / 1.953GiB;3.88%;0.03%;181kB / 5.8MB
51.0;dfae21aa9eaf;quicker;77.54MiB / 1.953GiB;3.88%;0.03%;181kB / 5.8MB
51.5;dfae21aa9eaf;quicker;77.54MiB / 1.953GiB;3.88%;0.02%;181kB / 5.8MB
52.0;dfae21aa9eaf;quicker;77.54MiB / 1.953GiB;3.88%;0.02%;181kB / 5.8MB
