32.5;58e252803903;quicker;77.16MiB / 1.953GiB;3.86%;0.01%;198kB / 5.57MB
33.0;58e252803903;quicker;77.16MiB / 1.953GiB;3.86%;0.01%;198kB / 5.57MB
33.5;58e252803903;quicker;77.16MiB / 1.953GiB;3.86%;0.17%;199kB / 5.57MB
34.0;58e252803903;quicker;77.16MiB / 1.953GiB;3.86%;0.17%;199kB / 5.57MB
34.5;58e252803903;quicker;77.16MiB / 1.953GiB;3.86%;0.11%;199kB / 5.57MB
35.0;58e252803903;quicker;77.16MiB / 1.953GiB;3.86%;0.11%;199kB / 5.57MB
35.5;58e252803903;quicker;46.29MiB / 1.953GiB;2.31%;0.93%;199kB / 5.57MB
36.0;58e252803903;quicker;46.29MiB / 1.953GiB;2.31%;0.93%;199kB / 5.57MB
36.5;58e252803903;quicker;46.29MiB / 1.953GiB;2.31%;0.01%;199kB / 5.57MB
37.0;58e252803903;quicker;46.29MiB / 1.953GiB;2.31%;0.01%;199kB / 5.57MB
37.5;58e252803903;quicker;46.29MiB / 1.953GiB;2.31%;0.31%;199kB / 5.57MB
38.0;58e252803903;quicker;46.29MiB / 1.953GiB;2.31%;0.31%;199kB / 5.57MB
38.5;58e252803903;quicker;46.29MiB / 1.953GiB;2.31%;0.23%;199kB / 5.57MB
39.0;58e252803903;quicker;46.29MiB / 1.953GiB;2.31%;0.23%;199kB / 5.57MB
39.5;58e252803903;quicker;46.29MiB / 1.953GiB;2.31%;0.13%;199kB / 5.57MB
40.0;58e252803903;quicker;46.29MiB / 1.953GiB;2.31%;0.13%;199kB / 5.57MB
40.5;58e252803903;quicker;46.29MiB / 1.953GiB;2.31%;0.15%;199kB / 5.57MB
41.0;58e252803903;quicker;46.29MiB / 1.953GiB;2.31%;0.15%;199kB / 5.57MB
41.5;58e252803903;quicker;46.11MiB / 1.953GiB;2.31%;1.48%;200kB / 5.57MB
42.0;58e252803903;quicker;46.11MiB / 1.953GiB;2.31%;1.48%;200kB / 5.57MB
42.5;58e252803903;quicker;46.28MiB / 1.953GiB;2.31%;0.52%;201kB / 5.57MB
43.0;58e252803903;quicker;46.28MiB / 1.953GiB;2.31%;0.52%;201kB / 5.57MB
43.5;58e252803903;quicker;46.28MiB / 1.953GiB;2.31%;0.06%;201kB / 5.57MB
44.0;58e252803903;quicker;46.28MiB / 1.953GiB;2.31%;0.06%;201kB / 5.57MB
44.5;58e252803903;quicker;46.28MiB / 1.953GiB;2.31%;0.00%;201kB / 5.57MB
45.0;58e252803903;quicker;46.28MiB / 1.953GiB;2.31%;0.00%;201kB / 5.57MB
