31.0;0c07319e19dd;quicker;91.91MiB / 1.953GiB;4.60%;0.25%;454kB / 7.15MB
31.5;0c07319e19dd;quicker;91.91MiB / 1.953GiB;4.60%;0.27%;454kB / 7.15MB
32.0;0c07319e19dd;quicker;91.91MiB / 1.953GiB;4.60%;0.27%;454kB / 7.15MB
32.5;0c07319e19dd;quicker;91.79MiB / 1.953GiB;4.59%;0.42%;454kB / 7.16MB
33.0;0c07319e19dd;quicker;91.79MiB / 1.953GiB;4.59%;0.42%;454kB / 7.16MB
33.5;0c07319e19dd;quicker;91.79MiB / 1.953GiB;4.59%;0.13%;454kB / 7.16MB
34.0;0c07319e19dd;quicker;91.79MiB / 1.953GiB;4.59%;0.13%;454kB / 7.16MB
34.5;0c07319e19dd;quicker;91.79MiB / 1.953GiB;4.59%;0.13%;454kB / 7.16MB
35.0;0c07319e19dd;quicker;91.79MiB / 1.953GiB;4.59%;0.13%;454kB / 7.16MB
35.5;0c07319e19dd;quicker;91.79MiB / 1.953GiB;4.59%;0.05%;454kB / 7.16MB
36.0;0c07319e19dd;quicker;91.79MiB / 1.953GiB;4.59%;0.05%;454kB / 7.16MB
36.5;0c07319e19dd;quicker;91.79MiB / 1.953GiB;4.59%;0.03%;454kB / 7.16MB
37.0;0c07319e19dd;quicker;91.79MiB / 1.953GiB;4.59%;0.03%;454kB / 7.16MB
37.5;0c07319e19dd;quicker;91.79MiB / 1.953GiB;4.59%;0.00%;454kB / 7.16MB
38.0;0c07319e19dd;quicker;91.79MiB / 1.953GiB;4.59%;0.00%;454kB / 7.16MB
38.5;0c07319e19dd;quicker;91.79MiB / 1.953GiB;4.59%;0.97%;455kB / 7.16MB
39.0;0c07319e19dd;quicker;91.79MiB / 1.953GiB;4.59%;0.97%;455kB / 7.16MB
39.5;0c07319e19dd;quicker;91.79MiB / 1.953GiB;4.59%;0.60%;455kB / 7.16MB
40.0;0c07319e19dd;quicker;91.79MiB / 1.953GiB;4.59%;0.60%;455kB / 7.16MB
40.5;0c07319e19dd;quicker;91.79MiB / 1.953GiB;4.59%;0.02%;455kB / 7.16MB
41.0;0c07319e19dd;quicker;91.79MiB / 1.953GiB;4.59%;0.02%;455kB / 7.16MB
41.5;0c07319e19dd;quicker;91.79MiB / 1.953GiB;4.59%;0.59%;456kB / 7.16MB
42.0;0c07319e19dd;quicker;91.79MiB / 1.953GiB;4.59%;0.59%;456kB / 7.16MB
42.5;0c07319e19dd;quicker;91.79MiB / 1.953GiB;4.59%;0.34%;456kB / 7.16MB
43.0;0c07319e19dd;quicker;91.79MiB / 1.953GiB;4.59%;0.34%;456kB / 7.16MB
43.5;0c07319e19dd;quicker;91.79MiB / 1.953GiB;4.59%;0.16%;456kB / 7.16MB
44.0;0c07319e19dd;quicker;91.79MiB / 1.953GiB;4.59%;0.16%;456kB / 7.16MB
44.5;0c07319e19dd;quicker;91.79MiB / 1.953GiB;4.59%;0.19%;456kB / 7.16MB
45.0;0c07319e19dd;quicker;91.79MiB / 1.953GiB;4.59%;0.19%;456kB / 7.16MB
45.5;0c07319e19dd;quicker;60.8MiB / 1.953GiB;3.04%;1.41%;457kB / 7.16MB
46.0;0c07319e19dd;quicker;60.8MiB / 1.953GiB;3.04%;1.41%;457kB / 7.16MB
46.5;0c07319e19dd;quicker;60.8MiB / 1.953GiB;3.04%;0.35%;457kB / 7.16MB
47.0;0c07319e19dd;quicker;60.8MiB / 1.953GiB;3.04%;0.35%;457kB / 7.16MB
47.5;0c07319e19dd;quicker;60.8MiB / 1.953GiB;3.04%;0.06%;457kB / 7.16MB
48.0;0c07319e19dd;quicker;60.8MiB / 1.953GiB;3.04%;0.06%;457kB / 7.16MB
48.5;0c07319e19dd;quicker;60.25MiB / 1.953GiB;3.01%;1.39%;458kB / 7.16MB
49.0;0c07319e19dd;quicker;60.25MiB / 1.953GiB;3.01%;1.39%;458kB / 7.16MB
49.5;0c07319e19dd;quicker;60.14MiB / 1.953GiB;3.01%;1.28%;459kB / 7.16MB
50.0;0c07319e19dd;quicker;60.14MiB / 1.953GiB;3.01%;1.28%;459kB / 7.16MB
50.5;0c07319e19dd;quicker;60.15MiB / 1.953GiB;3.01%;0.06%;459kB / 7.16MB
51.0;0c07319e19dd;quicker;60.15MiB / 1.953GiB;3.01%;0.06%;459kB / 7.16MB
51.5;0c07319e19dd;quicker;60.27MiB / 1.953GiB;3.01%;0.05%;459kB / 7.16MB
52.0;0c07319e19dd;quicker;60.27MiB / 1.953GiB;3.01%;0.05%;459kB / 7.16MB
52.5;0c07319e19dd;quicker;60.16MiB / 1.953GiB;3.01%;0.04%;459kB / 7.16MB
53.0;0c07319e19dd;quicker;60.16MiB / 1.953GiB;3.01%;0.04%;459kB / 7.16MB
53.5;0c07319e19dd;quicker;60.16MiB / 1.953GiB;3.01%;0.00%;459kB / 7.16MB
54.0;0c07319e19dd;quicker;60.16MiB / 1.953GiB;3.01%;0.00%;459kB / 7.16MB
54.5;0c07319e19dd;quicker;60.16MiB / 1.953GiB;3.01%;0.00%;459kB / 7.16MB
55.0;0c07319e19dd;quicker;60.16MiB / 1.953GiB;3.01%;0.00%;459kB / 7.16MB
55.5;0c07319e19dd;quicker;60.29MiB / 1.953GiB;3.01%;0.03%;459kB / 7.16MB
56.0;0c07319e19dd;quicker;60.29MiB / 1.953GiB;3.01%;0.03%;459kB / 7.16MB
56.5;0c07319e19dd;quicker;60.17MiB / 1.953GiB;3.01%;0.00%;459kB / 7.16MB
57.0;0c07319e19dd;quicker;60.17MiB / 1.953GiB;3.01%;0.00%;459kB / 7.16MB
57.5;0c07319e19dd;quicker;60.17MiB / 1.953GiB;3.01%;0.00%;459kB / 7.16MB
58.0;0c07319e19dd;quicker;60.17MiB / 1.953GiB;3.01%;0.00%;459kB / 7.16MB
58.5;0c07319e19dd;quicker;60.17MiB / 1.953GiB;3.01%;0.00%;459kB / 7.16MB
59.0;0c07319e19dd;quicker;60.17MiB / 1.953GiB;3.01%;0.00%;459kB / 7.16MB
59.5;0c07319e19dd;quicker;60.17MiB / 1.953GiB;3.01%;0.00%;459kB / 7.16MB
60.0;0c07319e19dd;quicker;60.17MiB / 1.953GiB;3.01%;0.00%;459kB / 7.16MB
60.5;0c07319e19dd;quicker;60.29MiB / 1.953GiB;3.01%;0.25%;459kB / 7.16MB
61.0;0c07319e19dd;quicker;60.29MiB / 1.953GiB;3.01%;0.25%;459kB / 7.16MB
61.5;0c07319e19dd;quicker;60.29MiB / 1.953GiB;3.01%;0.11%;459kB / 7.16MB
62.0;0c07319e19dd;quicker;60.29MiB / 1.953GiB;3.01%;0.11%;459kB / 7.16MB
62.5;0c07319e19dd;quicker;60.29MiB / 1.953GiB;3.01%;0.00%;459kB / 7.16MB
63.0;0c07319e19dd;quicker;60.29MiB / 1.953GiB;3.01%;0.00%;459kB / 7.16MB
63.5;0c07319e19dd;quicker;60.42MiB / 1.953GiB;3.02%;0.15%;459kB / 7.16MB
64.0;0c07319e19dd;quicker;60.42MiB / 1.953GiB;3.02%;0.15%;459kB / 7.16MB
64.5;0c07319e19dd;quicker;60.42MiB / 1.953GiB;3.02%;0.39%;459kB / 7.16MB
