31.0;7a1138345e37;quicker;74.84MiB / 1.953GiB;3.74%;0.06%;286kB / 3.07MB
31.5;7a1138345e37;quicker;74.96MiB / 1.953GiB;3.75%;0.24%;286kB / 3.07MB
32.0;7a1138345e37;quicker;74.96MiB / 1.953GiB;3.75%;0.24%;286kB / 3.07MB
32.5;7a1138345e37;quicker;74.96MiB / 1.953GiB;3.75%;0.83%;287kB / 3.07MB
33.0;7a1138345e37;quicker;74.96MiB / 1.953GiB;3.75%;0.83%;287kB / 3.07MB
33.5;7a1138345e37;quicker;74.84MiB / 1.953GiB;3.74%;0.20%;287kB / 3.07MB
34.0;7a1138345e37;quicker;74.84MiB / 1.953GiB;3.74%;0.20%;287kB / 3.07MB
34.5;7a1138345e37;quicker;74.84MiB / 1.953GiB;3.74%;0.02%;287kB / 3.07MB
35.0;7a1138345e37;quicker;74.84MiB / 1.953GiB;3.74%;0.02%;287kB / 3.07MB
35.5;7a1138345e37;quicker;74.84MiB / 1.953GiB;3.74%;0.00%;287kB / 3.07MB
36.0;7a1138345e37;quicker;74.84MiB / 1.953GiB;3.74%;0.00%;287kB / 3.07MB
36.5;7a1138345e37;quicker;74.84MiB / 1.953GiB;3.74%;0.07%;287kB / 3.07MB
37.0;7a1138345e37;quicker;74.84MiB / 1.953GiB;3.74%;0.07%;287kB / 3.07MB
37.5;7a1138345e37;quicker;74.84MiB / 1.953GiB;3.74%;0.87%;288kB / 3.07MB
38.0;7a1138345e37;quicker;74.84MiB / 1.953GiB;3.74%;0.87%;288kB / 3.07MB
38.5;7a1138345e37;quicker;74.84MiB / 1.953GiB;3.74%;0.06%;288kB / 3.07MB
39.0;7a1138345e37;quicker;74.84MiB / 1.953GiB;3.74%;0.06%;288kB / 3.07MB
39.5;7a1138345e37;quicker;74.96MiB / 1.953GiB;3.75%;1.07%;288kB / 3.07MB
40.0;7a1138345e37;quicker;74.96MiB / 1.953GiB;3.75%;1.07%;288kB / 3.07MB
40.5;7a1138345e37;quicker;43.86MiB / 1.953GiB;2.19%;1.25%;289kB / 3.07MB
41.0;7a1138345e37;quicker;43.86MiB / 1.953GiB;2.19%;1.25%;289kB / 3.07MB
41.5;7a1138345e37;quicker;43.98MiB / 1.953GiB;2.20%;0.48%;289kB / 3.07MB
42.0;7a1138345e37;quicker;43.98MiB / 1.953GiB;2.20%;0.48%;289kB / 3.07MB
42.5;7a1138345e37;quicker;43.86MiB / 1.953GiB;2.19%;0.26%;289kB / 3.07MB
43.0;7a1138345e37;quicker;43.86MiB / 1.953GiB;2.19%;0.26%;289kB / 3.07MB
43.5;7a1138345e37;quicker;43.86MiB / 1.953GiB;2.19%;0.00%;289kB / 3.07MB
44.0;7a1138345e37;quicker;43.86MiB / 1.953GiB;2.19%;0.00%;289kB / 3.07MB
44.5;7a1138345e37;quicker;43.86MiB / 1.953GiB;2.19%;0.02%;289kB / 3.07MB
45.0;7a1138345e37;quicker;43.86MiB / 1.953GiB;2.19%;0.02%;289kB / 3.07MB
45.5;7a1138345e37;quicker;43.86MiB / 1.953GiB;2.19%;0.02%;289kB / 3.07MB
46.0;7a1138345e37;quicker;43.86MiB / 1.953GiB;2.19%;0.02%;289kB / 3.07MB
46.5;7a1138345e37;quicker;43.86MiB / 1.953GiB;2.19%;0.04%;289kB / 3.07MB
47.0;7a1138345e37;quicker;43.86MiB / 1.953GiB;2.19%;0.04%;289kB / 3.07MB
47.5;7a1138345e37;quicker;43.86MiB / 1.953GiB;2.19%;0.03%;289kB / 3.07MB
48.0;7a1138345e37;quicker;43.86MiB / 1.953GiB;2.19%;0.03%;289kB / 3.07MB
48.5;7a1138345e37;quicker;43.86MiB / 1.953GiB;2.19%;0.01%;289kB / 3.07MB
49.0;7a1138345e37;quicker;43.86MiB / 1.953GiB;2.19%;0.01%;289kB / 3.07MB
49.5;7a1138345e37;quicker;43.86MiB / 1.953GiB;2.19%;0.03%;289kB / 3.07MB
50.0;7a1138345e37;quicker;43.86MiB / 1.953GiB;2.19%;0.03%;289kB / 3.07MB
50.5;7a1138345e37;quicker;43.86MiB / 1.953GiB;2.19%;0.00%;289kB / 3.07MB
51.0;7a1138345e37;quicker;43.86MiB / 1.953GiB;2.19%;0.00%;289kB / 3.07MB
51.5;7a1138345e37;quicker;43.86MiB / 1.953GiB;2.19%;0.00%;289kB / 3.07MB
52.0;7a1138345e37;quicker;43.86MiB / 1.953GiB;2.19%;0.00%;289kB / 3.07MB
52.5;7a1138345e37;quicker;43.86MiB / 1.953GiB;2.19%;0.21%;289kB / 3.07MB
53.0;7a1138345e37;quicker;43.86MiB / 1.953GiB;2.19%;0.21%;289kB / 3.07MB
53.5;7a1138345e37;quicker;43.86MiB / 1.953GiB;2.19%;0.04%;289kB / 3.07MB
54.0;7a1138345e37;quicker;43.86MiB / 1.953GiB;2.19%;0.04%;289kB / 3.07MB
54.5;7a1138345e37;quicker;43.86MiB / 1.953GiB;2.19%;0.04%;289kB / 3.07MB
55.0;7a1138345e37;quicker;43.86MiB / 1.953GiB;2.19%;0.04%;289kB / 3.07MB
55.5;7a1138345e37;quicker;43.86MiB / 1.953GiB;2.19%;0.18%;289kB / 3.07MB
56.0;7a1138345e37;quicker;43.86MiB / 1.953GiB;2.19%;0.18%;289kB / 3.07MB
56.5;7a1138345e37;quicker;43.86MiB / 1.953GiB;2.19%;0.14%;289kB / 3.07MB
57.0;7a1138345e37;quicker;43.86MiB / 1.953GiB;2.19%;0.14%;289kB / 3.07MB
57.5;7a1138345e37;quicker;43.86MiB / 1.953GiB;2.19%;0.21%;289kB / 3.07MB
58.0;7a1138345e37;quicker;43.86MiB / 1.953GiB;2.19%;0.21%;289kB / 3.07MB
58.5;7a1138345e37;quicker;43.44MiB / 1.953GiB;2.17%;0.67%;290kB / 3.07MB
59.0;7a1138345e37;quicker;43.44MiB / 1.953GiB;2.17%;0.67%;290kB / 3.07MB
59.5;7a1138345e37;quicker;43.44MiB / 1.953GiB;2.17%;0.00%;290kB / 3.07MB
60.0;7a1138345e37;quicker;43.44MiB / 1.953GiB;2.17%;0.00%;290kB / 3.07MB
60.5;7a1138345e37;quicker;43.44MiB / 1.953GiB;2.17%;0.02%;290kB / 3.07MB
61.0;7a1138345e37;quicker;43.44MiB / 1.953GiB;2.17%;0.02%;290kB / 3.07MB
61.5;7a1138345e37;quicker;43.57MiB / 1.953GiB;2.18%;0.06%;290kB / 3.07MB
62.0;7a1138345e37;quicker;43.57MiB / 1.953GiB;2.18%;0.06%;290kB / 3.07MB
62.5;7a1138345e37;quicker;43.6MiB / 1.953GiB;2.18%;0.07%;290kB / 3.07MB
63.0;7a1138345e37;quicker;43.6MiB / 1.953GiB;2.18%;0.07%;290kB / 3.07MB
63.5;7a1138345e37;quicker;43.6MiB / 1.953GiB;2.18%;0.12%;290kB / 3.07MB
64.0;7a1138345e37;quicker;43.6MiB / 1.953GiB;2.18%;0.12%;290kB / 3.07MB
64.5;7a1138345e37;quicker;43.6MiB / 1.953GiB;2.18%;0.01%;290kB / 3.07MB
65.0;7a1138345e37;quicker;43.6MiB / 1.953GiB;2.18%;0.01%;290kB / 3.07MB
65.5;7a1138345e37;quicker;43.6MiB / 1.953GiB;2.18%;0.00%;290kB / 3.07MB
66.0;7a1138345e37;quicker;43.6MiB / 1.953GiB;2.18%;0.00%;290kB / 3.07MB
66.5;7a1138345e37;quicker;43.6MiB / 1.953GiB;2.18%;0.00%;290kB / 3.07MB
67.0;7a1138345e37;quicker;43.6MiB / 1.953GiB;2.18%;0.00%;290kB / 3.07MB
67.5;7a1138345e37;quicker;43.6MiB / 1.953GiB;2.18%;0.06%;290kB / 3.07MB
68.0;7a1138345e37;quicker;43.6MiB / 1.953GiB;2.18%;0.06%;290kB / 3.07MB
68.5;7a1138345e37;quicker;43.6MiB / 1.953GiB;2.18%;0.03%;290kB / 3.07MB
69.0;7a1138345e37;quicker;43.6MiB / 1.953GiB;2.18%;0.03%;290kB / 3.07MB
69.5;7a1138345e37;quicker;43.52MiB / 1.953GiB;2.18%;0.00%;290kB / 3.07MB
70.0;7a1138345e37;quicker;43.52MiB / 1.953GiB;2.18%;0.00%;290kB / 3.07MB
70.5;7a1138345e37;quicker;43.64MiB / 1.953GiB;2.18%;0.07%;290kB / 3.07MB
71.0;7a1138345e37;quicker;43.64MiB / 1.953GiB;2.18%;0.07%;290kB / 3.07MB
71.5;7a1138345e37;quicker;43.64MiB / 1.953GiB;2.18%;0.04%;290kB / 3.07MB
72.0;7a1138345e37;quicker;43.64MiB / 1.953GiB;2.18%;0.04%;290kB / 3.07MB
72.5;7a1138345e37;quicker;43.64MiB / 1.953GiB;2.18%;0.03%;290kB / 3.07MB
73.0;7a1138345e37;quicker;43.64MiB / 1.953GiB;2.18%;0.03%;290kB / 3.07MB
73.5;7a1138345e37;quicker;43.54MiB / 1.953GiB;2.18%;0.00%;290kB / 3.07MB
74.0;7a1138345e37;quicker;43.54MiB / 1.953GiB;2.18%;0.00%;290kB / 3.07MB
74.5;7a1138345e37;quicker;43.54MiB / 1.953GiB;2.18%;0.00%;290kB / 3.07MB
75.0;7a1138345e37;quicker;43.54MiB / 1.953GiB;2.18%;0.00%;290kB / 3.07MB
75.5;7a1138345e37;quicker;43.54MiB / 1.953GiB;2.18%;0.00%;290kB / 3.07MB
76.0;7a1138345e37;quicker;43.54MiB / 1.953GiB;2.18%;0.00%;290kB / 3.07MB
76.5;7a1138345e37;quicker;43.54MiB / 1.953GiB;2.18%;0.00%;290kB / 3.07MB
77.0;7a1138345e37;quicker;43.54MiB / 1.953GiB;2.18%;0.00%;290kB / 3.07MB
77.5;7a1138345e37;quicker;43.54MiB / 1.953GiB;2.18%;0.00%;290kB / 3.07MB
78.0;7a1138345e37;quicker;43.54MiB / 1.953GiB;2.18%;0.00%;290kB / 3.07MB
78.5;7a1138345e37;quicker;43.66MiB / 1.953GiB;2.18%;0.02%;290kB / 3.07MB
79.0;7a1138345e37;quicker;43.66MiB / 1.953GiB;2.18%;0.02%;290kB / 3.07MB
79.5;7a1138345e37;quicker;43.66MiB / 1.953GiB;2.18%;0.00%;290kB / 3.07MB
80.0;7a1138345e37;quicker;43.66MiB / 1.953GiB;2.18%;0.00%;290kB / 3.07MB
80.5;7a1138345e37;quicker;43.54MiB / 1.953GiB;2.18%;0.03%;290kB / 3.07MB
81.0;7a1138345e37;quicker;43.54MiB / 1.953GiB;2.18%;0.03%;290kB / 3.07MB
81.5;7a1138345e37;quicker;43.67MiB / 1.953GiB;2.18%;0.02%;290kB / 3.07MB
