30.0;24f8ce82dc23;quicker;50.11MiB / 1.953GiB;2.51%;0.00%;238kB / 1.94MB
30.5;24f8ce82dc23;quicker;50.11MiB / 1.953GiB;2.51%;0.00%;238kB / 1.94MB
31.0;24f8ce82dc23;quicker;50.11MiB / 1.953GiB;2.51%;0.00%;238kB / 1.94MB
31.5;24f8ce82dc23;quicker;50.11MiB / 1.953GiB;2.51%;0.00%;238kB / 1.94MB
32.0;24f8ce82dc23;quicker;50.11MiB / 1.953GiB;2.51%;0.00%;238kB / 1.94MB
32.5;24f8ce82dc23;quicker;50.11MiB / 1.953GiB;2.51%;0.05%;238kB / 1.94MB
33.0;24f8ce82dc23;quicker;50.11MiB / 1.953GiB;2.51%;0.05%;238kB / 1.94MB
33.5;24f8ce82dc23;quicker;50.11MiB / 1.953GiB;2.51%;0.00%;238kB / 1.94MB
34.0;24f8ce82dc23;quicker;50.11MiB / 1.953GiB;2.51%;0.00%;238kB / 1.94MB
34.5;24f8ce82dc23;quicker;50.11MiB / 1.953GiB;2.51%;0.03%;238kB / 1.94MB
35.0;24f8ce82dc23;quicker;50.11MiB / 1.953GiB;2.51%;0.03%;238kB / 1.94MB
35.5;24f8ce82dc23;quicker;50.11MiB / 1.953GiB;2.51%;0.02%;238kB / 1.94MB
36.0;24f8ce82dc23;quicker;50.11MiB / 1.953GiB;2.51%;0.02%;238kB / 1.94MB
36.5;24f8ce82dc23;quicker;50.11MiB / 1.953GiB;2.51%;0.02%;238kB / 1.94MB
37.0;24f8ce82dc23;quicker;50.11MiB / 1.953GiB;2.51%;0.02%;238kB / 1.94MB
37.5;24f8ce82dc23;quicker;50.11MiB / 1.953GiB;2.51%;0.12%;238kB / 1.94MB
38.0;24f8ce82dc23;quicker;50.11MiB / 1.953GiB;2.51%;0.12%;238kB / 1.94MB
38.5;24f8ce82dc23;quicker;50.11MiB / 1.953GiB;2.51%;0.05%;238kB / 1.94MB
39.0;24f8ce82dc23;quicker;50.11MiB / 1.953GiB;2.51%;0.05%;238kB / 1.94MB
39.5;24f8ce82dc23;quicker;50.11MiB / 1.953GiB;2.51%;0.08%;238kB / 1.94MB
40.0;24f8ce82dc23;quicker;50.11MiB / 1.953GiB;2.51%;0.08%;238kB / 1.94MB
40.5;24f8ce82dc23;quicker;50.24MiB / 1.953GiB;2.51%;0.53%;238kB / 1.94MB
41.0;24f8ce82dc23;quicker;50.24MiB / 1.953GiB;2.51%;0.53%;238kB / 1.94MB
41.5;24f8ce82dc23;quicker;50.24MiB / 1.953GiB;2.51%;0.04%;238kB / 1.94MB
42.0;24f8ce82dc23;quicker;50.24MiB / 1.953GiB;2.51%;0.04%;238kB / 1.94MB
42.5;24f8ce82dc23;quicker;50.24MiB / 1.953GiB;2.51%;0.30%;238kB / 1.94MB
43.0;24f8ce82dc23;quicker;50.24MiB / 1.953GiB;2.51%;0.30%;238kB / 1.94MB
43.5;24f8ce82dc23;quicker;50.24MiB / 1.953GiB;2.51%;0.08%;238kB / 1.94MB
44.0;24f8ce82dc23;quicker;50.24MiB / 1.953GiB;2.51%;0.08%;238kB / 1.94MB
44.5;24f8ce82dc23;quicker;50.24MiB / 1.953GiB;2.51%;0.05%;238kB / 1.94MB
45.0;24f8ce82dc23;quicker;50.24MiB / 1.953GiB;2.51%;0.05%;238kB / 1.94MB
