30.0;9dd8c75a2191;quicker;80.83MiB / 1.953GiB;4.04%;0.14%;236kB / 5.45MB
30.5;9dd8c75a2191;quicker;80.83MiB / 1.953GiB;4.04%;0.00%;236kB / 5.45MB
31.0;9dd8c75a2191;quicker;80.83MiB / 1.953GiB;4.04%;0.00%;236kB / 5.45MB
31.5;9dd8c75a2191;quicker;80.83MiB / 1.953GiB;4.04%;0.00%;236kB / 5.45MB
32.0;9dd8c75a2191;quicker;80.83MiB / 1.953GiB;4.04%;0.00%;236kB / 5.45MB
32.5;9dd8c75a2191;quicker;80.83MiB / 1.953GiB;4.04%;0.00%;236kB / 5.45MB
33.0;9dd8c75a2191;quicker;80.83MiB / 1.953GiB;4.04%;0.00%;236kB / 5.45MB
33.5;9dd8c75a2191;quicker;80.83MiB / 1.953GiB;4.04%;0.41%;236kB / 5.45MB
34.0;9dd8c75a2191;quicker;80.83MiB / 1.953GiB;4.04%;0.41%;236kB / 5.45MB
34.5;9dd8c75a2191;quicker;80.83MiB / 1.953GiB;4.04%;0.24%;236kB / 5.45MB
35.0;9dd8c75a2191;quicker;80.83MiB / 1.953GiB;4.04%;0.24%;236kB / 5.45MB
35.5;9dd8c75a2191;quicker;81.2MiB / 1.953GiB;4.06%;1.97%;237kB / 5.45MB
36.0;9dd8c75a2191;quicker;81.2MiB / 1.953GiB;4.06%;1.97%;237kB / 5.45MB
36.5;9dd8c75a2191;quicker;81.18MiB / 1.953GiB;4.06%;0.03%;237kB / 5.45MB
37.0;9dd8c75a2191;quicker;81.18MiB / 1.953GiB;4.06%;0.03%;237kB / 5.45MB
37.5;9dd8c75a2191;quicker;81.18MiB / 1.953GiB;4.06%;0.03%;237kB / 5.45MB
38.0;9dd8c75a2191;quicker;81.18MiB / 1.953GiB;4.06%;0.03%;237kB / 5.45MB
38.5;9dd8c75a2191;quicker;81.18MiB / 1.953GiB;4.06%;0.67%;237kB / 5.45MB
39.0;9dd8c75a2191;quicker;81.18MiB / 1.953GiB;4.06%;0.67%;237kB / 5.45MB
39.5;9dd8c75a2191;quicker;81.18MiB / 1.953GiB;4.06%;0.16%;237kB / 5.45MB
40.0;9dd8c75a2191;quicker;81.18MiB / 1.953GiB;4.06%;0.16%;237kB / 5.45MB
40.5;9dd8c75a2191;quicker;81.18MiB / 1.953GiB;4.06%;0.09%;237kB / 5.45MB
41.0;9dd8c75a2191;quicker;81.18MiB / 1.953GiB;4.06%;0.09%;237kB / 5.45MB
41.5;9dd8c75a2191;quicker;81.18MiB / 1.953GiB;4.06%;0.27%;237kB / 5.45MB
