30.0;f2b6bb708603;quicker;126.3MiB / 1.953GiB;6.32%;3.08%;1.07MB / 6.4MB
30.5;f2b6bb708603;quicker;126.4MiB / 1.953GiB;6.32%;2.15%;1.08MB / 6.4MB
31.0;f2b6bb708603;quicker;126.4MiB / 1.953GiB;6.32%;2.15%;1.08MB / 6.4MB
31.5;f2b6bb708603;quicker;126.3MiB / 1.953GiB;6.32%;0.29%;1.08MB / 6.4MB
32.0;f2b6bb708603;quicker;126.3MiB / 1.953GiB;6.32%;0.29%;1.08MB / 6.4MB
32.5;f2b6bb708603;quicker;126.3MiB / 1.953GiB;6.32%;0.36%;1.08MB / 6.4MB
33.0;f2b6bb708603;quicker;126.3MiB / 1.953GiB;6.32%;0.36%;1.08MB / 6.4MB
33.5;f2b6bb708603;quicker;126.3MiB / 1.953GiB;6.32%;0.77%;1.08MB / 6.4MB
34.0;f2b6bb708603;quicker;126.3MiB / 1.953GiB;6.32%;0.77%;1.08MB / 6.4MB
34.5;f2b6bb708603;quicker;126.5MiB / 1.953GiB;6.32%;1.02%;1.08MB / 6.4MB
35.0;f2b6bb708603;quicker;126.5MiB / 1.953GiB;6.32%;1.02%;1.08MB / 6.4MB
35.5;f2b6bb708603;quicker;126.5MiB / 1.953GiB;6.32%;2.76%;1.08MB / 6.4MB
36.0;f2b6bb708603;quicker;126.5MiB / 1.953GiB;6.32%;2.76%;1.08MB / 6.4MB
36.5;f2b6bb708603;quicker;126.4MiB / 1.953GiB;6.32%;1.40%;1.08MB / 6.4MB
37.0;f2b6bb708603;quicker;126.4MiB / 1.953GiB;6.32%;1.40%;1.08MB / 6.4MB
37.5;f2b6bb708603;quicker;126.5MiB / 1.953GiB;6.32%;1.46%;1.09MB / 6.4MB
38.0;f2b6bb708603;quicker;126.5MiB / 1.953GiB;6.32%;1.46%;1.09MB / 6.4MB
38.5;f2b6bb708603;quicker;126.6MiB / 1.953GiB;6.33%;3.73%;1.09MB / 6.4MB
39.0;f2b6bb708603;quicker;126.6MiB / 1.953GiB;6.33%;3.73%;1.09MB / 6.4MB
39.5;f2b6bb708603;quicker;126.7MiB / 1.953GiB;6.33%;0.78%;1.09MB / 6.4MB
40.0;f2b6bb708603;quicker;126.7MiB / 1.953GiB;6.33%;0.78%;1.09MB / 6.4MB
40.5;f2b6bb708603;quicker;126.6MiB / 1.953GiB;6.33%;3.32%;1.1MB / 6.4MB
41.0;f2b6bb708603;quicker;126.6MiB / 1.953GiB;6.33%;3.32%;1.1MB / 6.4MB
41.5;f2b6bb708603;quicker;126.6MiB / 1.953GiB;6.33%;0.93%;1.1MB / 6.4MB
42.0;f2b6bb708603;quicker;126.6MiB / 1.953GiB;6.33%;0.93%;1.1MB / 6.4MB
42.5;f2b6bb708603;quicker;126.8MiB / 1.953GiB;6.34%;2.87%;1.1MB / 6.4MB
43.0;f2b6bb708603;quicker;126.8MiB / 1.953GiB;6.34%;2.87%;1.1MB / 6.4MB
43.5;f2b6bb708603;quicker;126.8MiB / 1.953GiB;6.34%;3.68%;1.1MB / 6.4MB
44.0;f2b6bb708603;quicker;126.8MiB / 1.953GiB;6.34%;3.68%;1.1MB / 6.4MB
44.5;f2b6bb708603;quicker;126.8MiB / 1.953GiB;6.34%;1.68%;1.1MB / 6.4MB
45.0;f2b6bb708603;quicker;126.8MiB / 1.953GiB;6.34%;1.68%;1.1MB / 6.4MB
45.5;f2b6bb708603;quicker;126.8MiB / 1.953GiB;6.34%;0.16%;1.1MB / 6.4MB
46.0;f2b6bb708603;quicker;126.8MiB / 1.953GiB;6.34%;0.16%;1.1MB / 6.4MB
46.5;f2b6bb708603;quicker;126.8MiB / 1.953GiB;6.34%;0.40%;1.1MB / 6.4MB
47.0;f2b6bb708603;quicker;126.8MiB / 1.953GiB;6.34%;0.40%;1.1MB / 6.4MB
47.5;f2b6bb708603;quicker;126.8MiB / 1.953GiB;6.34%;2.50%;1.11MB / 6.4MB
48.0;f2b6bb708603;quicker;126.8MiB / 1.953GiB;6.34%;2.50%;1.11MB / 6.4MB
48.5;f2b6bb708603;quicker;126.8MiB / 1.953GiB;6.34%;2.07%;1.11MB / 6.4MB
49.0;f2b6bb708603;quicker;126.8MiB / 1.953GiB;6.34%;2.07%;1.11MB / 6.4MB
