31.5;b98180bff056;quicker;93.89MiB / 1.953GiB;4.69%;0.57%;561kB / 5.78MB
32.0;b98180bff056;quicker;93.89MiB / 1.953GiB;4.69%;0.57%;561kB / 5.78MB
32.5;b98180bff056;quicker;93.89MiB / 1.953GiB;4.69%;0.01%;561kB / 5.78MB
33.0;b98180bff056;quicker;93.89MiB / 1.953GiB;4.69%;0.01%;561kB / 5.78MB
33.5;b98180bff056;quicker;93.89MiB / 1.953GiB;4.69%;0.00%;561kB / 5.78MB
34.0;b98180bff056;quicker;93.89MiB / 1.953GiB;4.69%;0.00%;561kB / 5.78MB
34.5;b98180bff056;quicker;93.89MiB / 1.953GiB;4.69%;0.11%;561kB / 5.78MB
35.0;b98180bff056;quicker;93.89MiB / 1.953GiB;4.69%;0.11%;561kB / 5.78MB
35.5;b98180bff056;quicker;94.01MiB / 1.953GiB;4.70%;1.16%;563kB / 5.78MB
36.0;b98180bff056;quicker;94.01MiB / 1.953GiB;4.70%;1.16%;563kB / 5.78MB
36.5;b98180bff056;quicker;93.89MiB / 1.953GiB;4.69%;1.10%;564kB / 5.78MB
37.0;b98180bff056;quicker;93.89MiB / 1.953GiB;4.69%;1.10%;564kB / 5.78MB
37.5;b98180bff056;quicker;94.02MiB / 1.953GiB;4.70%;1.65%;566kB / 5.78MB
38.0;b98180bff056;quicker;94.02MiB / 1.953GiB;4.70%;1.65%;566kB / 5.78MB
38.5;b98180bff056;quicker;93.89MiB / 1.953GiB;4.69%;1.32%;567kB / 5.78MB
39.0;b98180bff056;quicker;93.89MiB / 1.953GiB;4.69%;1.32%;567kB / 5.78MB
39.5;b98180bff056;quicker;93.9MiB / 1.953GiB;4.69%;1.86%;568kB / 5.78MB
40.0;b98180bff056;quicker;93.9MiB / 1.953GiB;4.69%;1.86%;568kB / 5.78MB
40.5;b98180bff056;quicker;93.9MiB / 1.953GiB;4.69%;1.93%;570kB / 5.78MB
41.0;b98180bff056;quicker;93.9MiB / 1.953GiB;4.69%;1.93%;570kB / 5.78MB
41.5;b98180bff056;quicker;93.9MiB / 1.953GiB;4.69%;0.50%;570kB / 5.78MB
42.0;b98180bff056;quicker;93.9MiB / 1.953GiB;4.69%;0.50%;570kB / 5.78MB
42.5;b98180bff056;quicker;94.02MiB / 1.953GiB;4.70%;2.19%;572kB / 5.78MB
43.0;b98180bff056;quicker;94.02MiB / 1.953GiB;4.70%;2.19%;572kB / 5.78MB
43.5;b98180bff056;quicker;93.91MiB / 1.953GiB;4.70%;0.68%;572kB / 5.78MB
44.0;b98180bff056;quicker;93.91MiB / 1.953GiB;4.70%;0.68%;572kB / 5.78MB
44.5;b98180bff056;quicker;93.91MiB / 1.953GiB;4.70%;0.29%;572kB / 5.78MB
45.0;b98180bff056;quicker;93.91MiB / 1.953GiB;4.70%;0.29%;572kB / 5.78MB
45.5;b98180bff056;quicker;93.91MiB / 1.953GiB;4.70%;0.25%;573kB / 5.78MB
46.0;b98180bff056;quicker;93.91MiB / 1.953GiB;4.70%;0.25%;573kB / 5.78MB
46.5;b98180bff056;quicker;93.91MiB / 1.953GiB;4.70%;0.18%;573kB / 5.78MB
47.0;b98180bff056;quicker;93.91MiB / 1.953GiB;4.70%;0.18%;573kB / 5.78MB
47.5;b98180bff056;quicker;93.91MiB / 1.953GiB;4.70%;0.06%;573kB / 5.78MB
48.0;b98180bff056;quicker;93.91MiB / 1.953GiB;4.70%;0.06%;573kB / 5.78MB
48.5;b98180bff056;quicker;93.91MiB / 1.953GiB;4.70%;0.07%;573kB / 5.78MB
49.0;b98180bff056;quicker;93.91MiB / 1.953GiB;4.70%;0.07%;573kB / 5.78MB
49.5;b98180bff056;quicker;93.91MiB / 1.953GiB;4.70%;0.02%;573kB / 5.78MB
50.0;b98180bff056;quicker;93.91MiB / 1.953GiB;4.70%;0.02%;573kB / 5.78MB
50.5;b98180bff056;quicker;93.91MiB / 1.953GiB;4.70%;0.00%;573kB / 5.78MB
51.0;b98180bff056;quicker;93.91MiB / 1.953GiB;4.70%;0.00%;573kB / 5.78MB
51.5;b98180bff056;quicker;93.91MiB / 1.953GiB;4.70%;0.00%;573kB / 5.78MB
52.0;b98180bff056;quicker;93.91MiB / 1.953GiB;4.70%;0.00%;573kB / 5.78MB
52.5;b98180bff056;quicker;93.91MiB / 1.953GiB;4.70%;0.02%;573kB / 5.78MB
53.0;b98180bff056;quicker;93.91MiB / 1.953GiB;4.70%;0.02%;573kB / 5.78MB
53.5;b98180bff056;quicker;93.91MiB / 1.953GiB;4.70%;0.02%;573kB / 5.78MB
54.0;b98180bff056;quicker;93.91MiB / 1.953GiB;4.70%;0.02%;573kB / 5.78MB
54.5;b98180bff056;quicker;93.91MiB / 1.953GiB;4.70%;0.16%;573kB / 5.78MB
55.0;b98180bff056;quicker;93.91MiB / 1.953GiB;4.70%;0.16%;573kB / 5.78MB
55.5;b98180bff056;quicker;93.91MiB / 1.953GiB;4.70%;0.33%;573kB / 5.78MB
56.0;b98180bff056;quicker;93.91MiB / 1.953GiB;4.70%;0.33%;573kB / 5.78MB
56.5;b98180bff056;quicker;93.91MiB / 1.953GiB;4.70%;0.07%;573kB / 5.78MB
57.0;b98180bff056;quicker;93.91MiB / 1.953GiB;4.70%;0.07%;573kB / 5.78MB
57.5;b98180bff056;quicker;93.91MiB / 1.953GiB;4.70%;0.27%;573kB / 5.78MB
58.0;b98180bff056;quicker;93.91MiB / 1.953GiB;4.70%;0.27%;573kB / 5.78MB
58.5;b98180bff056;quicker;93.91MiB / 1.953GiB;4.70%;0.22%;573kB / 5.78MB
59.0;b98180bff056;quicker;93.91MiB / 1.953GiB;4.70%;0.22%;573kB / 5.78MB
