30.5;e4c7835d20de;quicker;69.12MiB / 1.953GiB;3.46%;0.04%;102kB / 3.76MB
31.0;e4c7835d20de;quicker;69.12MiB / 1.953GiB;3.46%;0.04%;102kB / 3.76MB
31.5;e4c7835d20de;quicker;69.12MiB / 1.953GiB;3.46%;0.02%;102kB / 3.76MB
32.0;e4c7835d20de;quicker;69.12MiB / 1.953GiB;3.46%;0.02%;102kB / 3.76MB
32.5;e4c7835d20de;quicker;69.12MiB / 1.953GiB;3.46%;0.19%;102kB / 3.76MB
33.0;e4c7835d20de;quicker;69.12MiB / 1.953GiB;3.46%;0.19%;102kB / 3.76MB
33.5;e4c7835d20de;quicker;69.12MiB / 1.953GiB;3.46%;0.00%;102kB / 3.76MB
34.0;e4c7835d20de;quicker;69.12MiB / 1.953GiB;3.46%;0.00%;102kB / 3.76MB
34.5;e4c7835d20de;quicker;69.12MiB / 1.953GiB;3.46%;0.08%;102kB / 3.76MB
35.0;e4c7835d20de;quicker;69.12MiB / 1.953GiB;3.46%;0.08%;102kB / 3.76MB
35.5;e4c7835d20de;quicker;69.12MiB / 1.953GiB;3.46%;0.13%;102kB / 3.76MB
36.0;e4c7835d20de;quicker;69.12MiB / 1.953GiB;3.46%;0.13%;102kB / 3.76MB
36.5;e4c7835d20de;quicker;69.12MiB / 1.953GiB;3.46%;0.12%;102kB / 3.76MB
37.0;e4c7835d20de;quicker;69.12MiB / 1.953GiB;3.46%;0.12%;102kB / 3.76MB
37.5;e4c7835d20de;quicker;69.12MiB / 1.953GiB;3.46%;0.31%;102kB / 3.76MB
38.0;e4c7835d20de;quicker;69.12MiB / 1.953GiB;3.46%;0.31%;102kB / 3.76MB
38.5;e4c7835d20de;quicker;69.12MiB / 1.953GiB;3.46%;0.09%;102kB / 3.76MB
39.0;e4c7835d20de;quicker;69.12MiB / 1.953GiB;3.46%;0.09%;102kB / 3.76MB
39.5;e4c7835d20de;quicker;69.12MiB / 1.953GiB;3.46%;0.48%;103kB / 3.76MB
40.0;e4c7835d20de;quicker;69.12MiB / 1.953GiB;3.46%;0.48%;103kB / 3.76MB
40.5;e4c7835d20de;quicker;69.12MiB / 1.953GiB;3.46%;0.85%;104kB / 3.76MB
41.0;e4c7835d20de;quicker;69.12MiB / 1.953GiB;3.46%;0.85%;104kB / 3.76MB
41.5;e4c7835d20de;quicker;69.12MiB / 1.953GiB;3.46%;0.00%;104kB / 3.76MB
42.0;e4c7835d20de;quicker;69.12MiB / 1.953GiB;3.46%;0.00%;104kB / 3.76MB
42.5;e4c7835d20de;quicker;69.12MiB / 1.953GiB;3.46%;0.00%;104kB / 3.76MB
43.0;e4c7835d20de;quicker;69.12MiB / 1.953GiB;3.46%;0.00%;104kB / 3.76MB
43.5;e4c7835d20de;quicker;69.12MiB / 1.953GiB;3.46%;0.04%;104kB / 3.76MB
44.0;e4c7835d20de;quicker;69.12MiB / 1.953GiB;3.46%;0.04%;104kB / 3.76MB
44.5;e4c7835d20de;quicker;69.12MiB / 1.953GiB;3.46%;0.03%;104kB / 3.76MB
45.0;e4c7835d20de;quicker;69.12MiB / 1.953GiB;3.46%;0.03%;104kB / 3.76MB
45.5;e4c7835d20de;quicker;69.12MiB / 1.953GiB;3.46%;0.00%;104kB / 3.76MB
46.0;e4c7835d20de;quicker;69.12MiB / 1.953GiB;3.46%;0.00%;104kB / 3.76MB
46.5;e4c7835d20de;quicker;69.12MiB / 1.953GiB;3.46%;0.00%;104kB / 3.76MB
47.0;e4c7835d20de;quicker;69.12MiB / 1.953GiB;3.46%;0.00%;104kB / 3.76MB
47.5;e4c7835d20de;quicker;69.12MiB / 1.953GiB;3.46%;0.03%;104kB / 3.76MB
48.0;e4c7835d20de;quicker;69.12MiB / 1.953GiB;3.46%;0.03%;104kB / 3.76MB
