0.0;607be9502daa;quicker;56.04MiB / 1.953GiB;2.80%;99.52%;688B / 0B
0.5;607be9502daa;quicker;109.2MiB / 1.953GiB;5.46%;99.54%;688B / 0B
1.0;607be9502daa;quicker;109.2MiB / 1.953GiB;5.46%;99.54%;688B / 0B
1.5;607be9502daa;quicker;130.3MiB / 1.953GiB;6.51%;98.56%;688B / 0B
2.0;607be9502daa;quicker;130.3MiB / 1.953GiB;6.51%;98.56%;688B / 0B
2.5;607be9502daa;quicker;143.3MiB / 1.953GiB;7.16%;99.52%;688B / 0B
3.0;607be9502daa;quicker;143.3MiB / 1.953GiB;7.16%;99.52%;688B / 0B
3.5;607be9502daa;quicker;149.8MiB / 1.953GiB;7.49%;99.54%;758B / 0B
4.0;607be9502daa;quicker;149.8MiB / 1.953GiB;7.49%;99.54%;758B / 0B
4.5;607be9502daa;quicker;157.4MiB / 1.953GiB;7.87%;99.51%;5.98kB / 2.4kB
5.0;607be9502daa;quicker;157.4MiB / 1.953GiB;7.87%;99.51%;5.98kB / 2.4kB
5.5;607be9502daa;quicker;167.9MiB / 1.953GiB;8.40%;99.38%;72kB / 3.58kB
6.0;607be9502daa;quicker;167.9MiB / 1.953GiB;8.40%;99.38%;72kB / 3.58kB
6.5;607be9502daa;quicker;24.51MiB / 1.953GiB;1.23%;96.85%;124kB / 5.48kB
7.0;607be9502daa;quicker;24.51MiB / 1.953GiB;1.23%;96.85%;124kB / 5.48kB
7.5;607be9502daa;quicker;30.96MiB / 1.953GiB;1.55%;98.25%;272kB / 108kB
8.0;607be9502daa;quicker;30.96MiB / 1.953GiB;1.55%;98.25%;272kB / 108kB
8.5;607be9502daa;quicker;50.57MiB / 1.953GiB;2.53%;98.26%;626kB / 490kB
9.0;607be9502daa;quicker;50.57MiB / 1.953GiB;2.53%;98.26%;626kB / 490kB
9.5;607be9502daa;quicker;53.85MiB / 1.953GiB;2.69%;100.15%;747kB / 708kB
10.0;607be9502daa;quicker;53.85MiB / 1.953GiB;2.69%;100.15%;747kB / 708kB
10.5;607be9502daa;quicker;73.95MiB / 1.953GiB;3.70%;99.09%;849kB / 948kB
11.0;607be9502daa;quicker;73.95MiB / 1.953GiB;3.70%;99.09%;849kB / 948kB
11.5;607be9502daa;quicker;85.43MiB / 1.953GiB;4.27%;98.95%;873kB / 1.34MB
12.0;607be9502daa;quicker;85.43MiB / 1.953GiB;4.27%;98.95%;873kB / 1.34MB
12.5;607be9502daa;quicker;96.39MiB / 1.953GiB;4.82%;98.09%;883kB / 1.7MB
13.0;607be9502daa;quicker;96.39MiB / 1.953GiB;4.82%;98.09%;883kB / 1.7MB
13.5;607be9502daa;quicker;99.09MiB / 1.953GiB;4.95%;70.77%;896kB / 2.46MB
14.0;607be9502daa;quicker;99.09MiB / 1.953GiB;4.95%;70.77%;896kB / 2.46MB
14.5;607be9502daa;quicker;102.9MiB / 1.953GiB;5.14%;98.16%;965kB / 2.61MB
15.0;607be9502daa;quicker;102.9MiB / 1.953GiB;5.14%;98.16%;965kB / 2.61MB
