30.0;a59d44847b0a;quicker;45.96MiB / 1.953GiB;2.30%;0.00%;34.9kB / 1.93MB
30.5;a59d44847b0a;quicker;45.96MiB / 1.953GiB;2.30%;0.00%;34.9kB / 1.93MB
31.0;a59d44847b0a;quicker;45.96MiB / 1.953GiB;2.30%;0.00%;34.9kB / 1.93MB
31.5;a59d44847b0a;quicker;45.96MiB / 1.953GiB;2.30%;0.00%;34.9kB / 1.93MB
32.0;a59d44847b0a;quicker;45.96MiB / 1.953GiB;2.30%;0.00%;34.9kB / 1.93MB
32.5;a59d44847b0a;quicker;45.96MiB / 1.953GiB;2.30%;0.00%;34.9kB / 1.93MB
33.0;a59d44847b0a;quicker;45.96MiB / 1.953GiB;2.30%;0.04%;34.9kB / 1.93MB
33.5;a59d44847b0a;quicker;45.96MiB / 1.953GiB;2.30%;0.04%;34.9kB / 1.93MB
34.0;a59d44847b0a;quicker;45.96MiB / 1.953GiB;2.30%;0.01%;34.9kB / 1.93MB
34.5;a59d44847b0a;quicker;45.96MiB / 1.953GiB;2.30%;0.01%;34.9kB / 1.93MB
35.0;a59d44847b0a;quicker;45.96MiB / 1.953GiB;2.30%;0.00%;34.9kB / 1.93MB
35.5;a59d44847b0a;quicker;45.96MiB / 1.953GiB;2.30%;0.00%;34.9kB / 1.93MB
36.0;a59d44847b0a;quicker;45.96MiB / 1.953GiB;2.30%;0.00%;34.9kB / 1.93MB
36.5;a59d44847b0a;quicker;45.96MiB / 1.953GiB;2.30%;0.00%;34.9kB / 1.93MB
37.0;a59d44847b0a;quicker;45.96MiB / 1.953GiB;2.30%;0.08%;34.9kB / 1.93MB
37.5;a59d44847b0a;quicker;45.96MiB / 1.953GiB;2.30%;0.08%;34.9kB / 1.93MB
38.0;a59d44847b0a;quicker;45.96MiB / 1.953GiB;2.30%;0.07%;34.9kB / 1.93MB
38.5;a59d44847b0a;quicker;45.96MiB / 1.953GiB;2.30%;0.07%;34.9kB / 1.93MB
39.0;a59d44847b0a;quicker;45.96MiB / 1.953GiB;2.30%;0.01%;34.9kB / 1.93MB
39.5;a59d44847b0a;quicker;45.96MiB / 1.953GiB;2.30%;0.01%;34.9kB / 1.93MB
40.0;a59d44847b0a;quicker;45.96MiB / 1.953GiB;2.30%;0.00%;34.9kB / 1.93MB
40.5;a59d44847b0a;quicker;45.96MiB / 1.953GiB;2.30%;0.00%;34.9kB / 1.93MB
41.0;a59d44847b0a;quicker;46.08MiB / 1.953GiB;2.30%;0.70%;35.2kB / 1.93MB
41.5;a59d44847b0a;quicker;46.08MiB / 1.953GiB;2.30%;0.70%;35.2kB / 1.93MB
42.0;a59d44847b0a;quicker;45.96MiB / 1.953GiB;2.30%;0.43%;35.5kB / 1.93MB
42.5;a59d44847b0a;quicker;45.96MiB / 1.953GiB;2.30%;0.43%;35.5kB / 1.93MB
43.0;a59d44847b0a;quicker;45.96MiB / 1.953GiB;2.30%;0.00%;35.5kB / 1.93MB
