28.5;5dd7d1a50bfe;quicker;134.9MiB / 1.953GiB;6.75%;3.12%;1.39MB / 8.13MB
29.0;5dd7d1a50bfe;quicker;134.9MiB / 1.953GiB;6.75%;3.12%;1.39MB / 8.13MB
29.5;5dd7d1a50bfe;quicker;135MiB / 1.953GiB;6.75%;5.85%;1.39MB / 8.13MB
30.0;5dd7d1a50bfe;quicker;135MiB / 1.953GiB;6.75%;5.85%;1.39MB / 8.13MB
30.5;5dd7d1a50bfe;quicker;135MiB / 1.953GiB;6.75%;2.48%;1.39MB / 8.13MB
31.0;5dd7d1a50bfe;quicker;135MiB / 1.953GiB;6.75%;2.48%;1.39MB / 8.13MB
31.5;5dd7d1a50bfe;quicker;134.9MiB / 1.953GiB;6.74%;1.12%;1.39MB / 8.13MB
32.0;5dd7d1a50bfe;quicker;134.9MiB / 1.953GiB;6.74%;1.12%;1.39MB / 8.13MB
32.5;5dd7d1a50bfe;quicker;135.2MiB / 1.953GiB;6.76%;4.41%;1.4MB / 8.13MB
33.0;5dd7d1a50bfe;quicker;135.2MiB / 1.953GiB;6.76%;4.41%;1.4MB / 8.13MB
33.5;5dd7d1a50bfe;quicker;135.1MiB / 1.953GiB;6.75%;2.42%;1.4MB / 8.13MB
34.0;5dd7d1a50bfe;quicker;135.1MiB / 1.953GiB;6.75%;2.42%;1.4MB / 8.13MB
34.5;5dd7d1a50bfe;quicker;135.1MiB / 1.953GiB;6.75%;0.96%;1.4MB / 8.13MB
35.0;5dd7d1a50bfe;quicker;135.1MiB / 1.953GiB;6.75%;0.96%;1.4MB / 8.13MB
35.5;5dd7d1a50bfe;quicker;135.2MiB / 1.953GiB;6.76%;3.56%;1.41MB / 8.13MB
36.0;5dd7d1a50bfe;quicker;135.2MiB / 1.953GiB;6.76%;3.56%;1.41MB / 8.13MB
36.5;5dd7d1a50bfe;quicker;135.4MiB / 1.953GiB;6.77%;4.12%;1.41MB / 8.13MB
37.0;5dd7d1a50bfe;quicker;135.4MiB / 1.953GiB;6.77%;4.12%;1.41MB / 8.13MB
37.5;5dd7d1a50bfe;quicker;135.4MiB / 1.953GiB;6.77%;2.17%;1.42MB / 8.13MB
38.0;5dd7d1a50bfe;quicker;135.4MiB / 1.953GiB;6.77%;2.17%;1.42MB / 8.13MB
38.5;5dd7d1a50bfe;quicker;139.6MiB / 1.953GiB;6.98%;12.21%;1.42MB / 8.13MB
39.0;5dd7d1a50bfe;quicker;139.6MiB / 1.953GiB;6.98%;12.21%;1.42MB / 8.13MB
39.5;5dd7d1a50bfe;quicker;140.7MiB / 1.953GiB;7.04%;4.92%;1.43MB / 8.13MB
40.0;5dd7d1a50bfe;quicker;140.7MiB / 1.953GiB;7.04%;4.92%;1.43MB / 8.13MB
40.5;5dd7d1a50bfe;quicker;140.7MiB / 1.953GiB;7.04%;2.37%;1.43MB / 8.13MB
41.0;5dd7d1a50bfe;quicker;140.7MiB / 1.953GiB;7.04%;2.37%;1.43MB / 8.13MB
41.5;5dd7d1a50bfe;quicker;140.9MiB / 1.953GiB;7.04%;2.65%;1.44MB / 8.13MB
42.0;5dd7d1a50bfe;quicker;140.9MiB / 1.953GiB;7.04%;2.65%;1.44MB / 8.13MB
42.5;5dd7d1a50bfe;quicker;141.5MiB / 1.953GiB;7.07%;2.04%;1.44MB / 8.13MB
43.0;5dd7d1a50bfe;quicker;141.5MiB / 1.953GiB;7.07%;2.04%;1.44MB / 8.13MB
43.5;5dd7d1a50bfe;quicker;141.6MiB / 1.953GiB;7.08%;1.27%;1.44MB / 8.13MB
44.0;5dd7d1a50bfe;quicker;141.6MiB / 1.953GiB;7.08%;1.27%;1.44MB / 8.13MB
44.5;5dd7d1a50bfe;quicker;141.6MiB / 1.953GiB;7.08%;2.65%;1.44MB / 8.13MB
45.0;5dd7d1a50bfe;quicker;141.6MiB / 1.953GiB;7.08%;2.65%;1.44MB / 8.13MB
45.5;5dd7d1a50bfe;quicker;141.8MiB / 1.953GiB;7.09%;6.16%;1.45MB / 8.13MB
46.0;5dd7d1a50bfe;quicker;141.8MiB / 1.953GiB;7.09%;6.16%;1.45MB / 8.13MB
46.5;5dd7d1a50bfe;quicker;141.7MiB / 1.953GiB;7.08%;1.17%;1.45MB / 8.13MB
47.0;5dd7d1a50bfe;quicker;141.7MiB / 1.953GiB;7.08%;1.17%;1.45MB / 8.13MB
47.5;5dd7d1a50bfe;quicker;141.8MiB / 1.953GiB;7.09%;0.65%;1.45MB / 8.13MB
48.0;5dd7d1a50bfe;quicker;141.8MiB / 1.953GiB;7.09%;0.65%;1.45MB / 8.13MB
48.5;5dd7d1a50bfe;quicker;141.8MiB / 1.953GiB;7.09%;3.59%;1.45MB / 8.13MB
49.0;5dd7d1a50bfe;quicker;141.8MiB / 1.953GiB;7.09%;3.59%;1.45MB / 8.13MB
49.5;5dd7d1a50bfe;quicker;141.9MiB / 1.953GiB;7.09%;0.47%;1.45MB / 8.13MB
50.0;5dd7d1a50bfe;quicker;141.9MiB / 1.953GiB;7.09%;0.47%;1.45MB / 8.13MB
50.5;5dd7d1a50bfe;quicker;141.9MiB / 1.953GiB;7.09%;0.47%;1.45MB / 8.13MB
51.0;5dd7d1a50bfe;quicker;141.9MiB / 1.953GiB;7.09%;2.71%;1.46MB / 8.13MB
51.5;5dd7d1a50bfe;quicker;141.9MiB / 1.953GiB;7.09%;2.71%;1.46MB / 8.13MB
52.0;5dd7d1a50bfe;quicker;141.8MiB / 1.953GiB;7.09%;3.18%;1.46MB / 8.13MB
52.5;5dd7d1a50bfe;quicker;141.8MiB / 1.953GiB;7.09%;3.18%;1.46MB / 8.13MB
53.0;5dd7d1a50bfe;quicker;142.1MiB / 1.953GiB;7.11%;1.51%;1.46MB / 8.13MB
53.5;5dd7d1a50bfe;quicker;142.1MiB / 1.953GiB;7.11%;1.51%;1.46MB / 8.13MB
54.0;5dd7d1a50bfe;quicker;142.1MiB / 1.953GiB;7.10%;2.25%;1.46MB / 8.13MB
54.5;5dd7d1a50bfe;quicker;142.1MiB / 1.953GiB;7.10%;2.25%;1.46MB / 8.13MB
55.0;5dd7d1a50bfe;quicker;142.1MiB / 1.953GiB;7.10%;1.08%;1.46MB / 8.13MB
55.5;5dd7d1a50bfe;quicker;142.1MiB / 1.953GiB;7.10%;1.08%;1.46MB / 8.13MB
56.0;5dd7d1a50bfe;quicker;142.2MiB / 1.953GiB;7.11%;1.38%;1.47MB / 8.13MB
56.5;5dd7d1a50bfe;quicker;142.2MiB / 1.953GiB;7.11%;1.38%;1.47MB / 8.13MB
57.0;5dd7d1a50bfe;quicker;142.1MiB / 1.953GiB;7.10%;0.20%;1.47MB / 8.13MB
57.5;5dd7d1a50bfe;quicker;142.1MiB / 1.953GiB;7.10%;0.20%;1.47MB / 8.13MB
58.0;5dd7d1a50bfe;quicker;142.1MiB / 1.953GiB;7.10%;0.55%;1.47MB / 8.13MB
58.5;5dd7d1a50bfe;quicker;142.1MiB / 1.953GiB;7.10%;0.55%;1.47MB / 8.13MB
59.0;5dd7d1a50bfe;quicker;142.1MiB / 1.953GiB;7.10%;0.22%;1.47MB / 8.13MB
59.5;5dd7d1a50bfe;quicker;142.1MiB / 1.953GiB;7.10%;0.22%;1.47MB / 8.13MB
60.0;5dd7d1a50bfe;quicker;142.1MiB / 1.953GiB;7.10%;0.47%;1.47MB / 8.13MB
60.5;5dd7d1a50bfe;quicker;142.1MiB / 1.953GiB;7.10%;0.47%;1.47MB / 8.13MB
61.0;5dd7d1a50bfe;quicker;142.1MiB / 1.953GiB;7.10%;0.67%;1.47MB / 8.13MB
61.5;5dd7d1a50bfe;quicker;142.1MiB / 1.953GiB;7.10%;0.67%;1.47MB / 8.13MB
62.0;5dd7d1a50bfe;quicker;142.1MiB / 1.953GiB;7.10%;0.32%;1.47MB / 8.13MB
62.5;5dd7d1a50bfe;quicker;142.1MiB / 1.953GiB;7.10%;0.32%;1.47MB / 8.13MB
63.0;5dd7d1a50bfe;quicker;142.1MiB / 1.953GiB;7.10%;0.13%;1.47MB / 8.13MB
