31.0;500d5f1a9345;quicker;91.42MiB / 1.953GiB;4.57%;0.04%;482kB / 6.07MB
31.5;500d5f1a9345;quicker;91.42MiB / 1.953GiB;4.57%;0.62%;482kB / 6.07MB
32.0;500d5f1a9345;quicker;91.42MiB / 1.953GiB;4.57%;0.62%;482kB / 6.07MB
32.5;500d5f1a9345;quicker;91.42MiB / 1.953GiB;4.57%;0.61%;482kB / 6.07MB
33.0;500d5f1a9345;quicker;91.42MiB / 1.953GiB;4.57%;0.61%;482kB / 6.07MB
33.5;500d5f1a9345;quicker;91.47MiB / 1.953GiB;4.57%;1.44%;483kB / 6.07MB
34.0;500d5f1a9345;quicker;91.47MiB / 1.953GiB;4.57%;1.44%;483kB / 6.07MB
34.5;500d5f1a9345;quicker;91.47MiB / 1.953GiB;4.57%;0.11%;483kB / 6.07MB
35.0;500d5f1a9345;quicker;91.47MiB / 1.953GiB;4.57%;0.11%;483kB / 6.07MB
35.5;500d5f1a9345;quicker;91.47MiB / 1.953GiB;4.57%;0.13%;483kB / 6.07MB
36.0;500d5f1a9345;quicker;91.47MiB / 1.953GiB;4.57%;0.13%;483kB / 6.07MB
36.5;500d5f1a9345;quicker;91.47MiB / 1.953GiB;4.57%;0.00%;483kB / 6.07MB
37.0;500d5f1a9345;quicker;91.47MiB / 1.953GiB;4.57%;0.00%;483kB / 6.07MB
37.5;500d5f1a9345;quicker;91.47MiB / 1.953GiB;4.57%;0.20%;483kB / 6.07MB
38.0;500d5f1a9345;quicker;91.47MiB / 1.953GiB;4.57%;0.20%;483kB / 6.07MB
38.5;500d5f1a9345;quicker;91.47MiB / 1.953GiB;4.57%;0.19%;483kB / 6.07MB
39.0;500d5f1a9345;quicker;91.47MiB / 1.953GiB;4.57%;0.19%;483kB / 6.07MB
39.5;500d5f1a9345;quicker;91.47MiB / 1.953GiB;4.57%;0.35%;484kB / 6.07MB
40.0;500d5f1a9345;quicker;91.47MiB / 1.953GiB;4.57%;0.35%;484kB / 6.07MB
40.5;500d5f1a9345;quicker;91.47MiB / 1.953GiB;4.57%;0.39%;484kB / 6.07MB
41.0;500d5f1a9345;quicker;91.47MiB / 1.953GiB;4.57%;0.39%;484kB / 6.07MB
41.5;500d5f1a9345;quicker;91.47MiB / 1.953GiB;4.57%;0.04%;484kB / 6.07MB
42.0;500d5f1a9345;quicker;91.47MiB / 1.953GiB;4.57%;0.04%;484kB / 6.07MB
42.5;500d5f1a9345;quicker;91.47MiB / 1.953GiB;4.57%;0.47%;484kB / 6.07MB
43.0;500d5f1a9345;quicker;91.47MiB / 1.953GiB;4.57%;0.47%;484kB / 6.07MB
43.5;500d5f1a9345;quicker;91.47MiB / 1.953GiB;4.57%;0.25%;484kB / 6.07MB
44.0;500d5f1a9345;quicker;91.47MiB / 1.953GiB;4.57%;0.25%;484kB / 6.07MB
44.5;500d5f1a9345;quicker;91.47MiB / 1.953GiB;4.57%;0.19%;485kB / 6.07MB
45.0;500d5f1a9345;quicker;91.47MiB / 1.953GiB;4.57%;0.19%;485kB / 6.07MB
45.5;500d5f1a9345;quicker;91.59MiB / 1.953GiB;4.58%;1.44%;485kB / 6.07MB
46.0;500d5f1a9345;quicker;91.59MiB / 1.953GiB;4.58%;1.44%;485kB / 6.07MB
46.5;500d5f1a9345;quicker;91.48MiB / 1.953GiB;4.57%;0.74%;485kB / 6.07MB
47.0;500d5f1a9345;quicker;91.48MiB / 1.953GiB;4.57%;0.74%;485kB / 6.07MB
47.5;500d5f1a9345;quicker;91.48MiB / 1.953GiB;4.57%;0.31%;485kB / 6.07MB
48.0;500d5f1a9345;quicker;91.48MiB / 1.953GiB;4.57%;0.31%;485kB / 6.07MB
48.5;500d5f1a9345;quicker;91.48MiB / 1.953GiB;4.57%;0.24%;485kB / 6.07MB
49.0;500d5f1a9345;quicker;91.48MiB / 1.953GiB;4.57%;0.24%;485kB / 6.07MB
49.5;500d5f1a9345;quicker;91.48MiB / 1.953GiB;4.57%;0.73%;486kB / 6.07MB
50.0;500d5f1a9345;quicker;91.48MiB / 1.953GiB;4.57%;0.73%;486kB / 6.07MB
50.5;500d5f1a9345;quicker;91.48MiB / 1.953GiB;4.57%;0.98%;487kB / 6.07MB
51.0;500d5f1a9345;quicker;91.48MiB / 1.953GiB;4.57%;0.98%;487kB / 6.07MB
51.5;500d5f1a9345;quicker;91.48MiB / 1.953GiB;4.57%;0.03%;487kB / 6.07MB
52.0;500d5f1a9345;quicker;91.48MiB / 1.953GiB;4.57%;0.03%;487kB / 6.07MB
52.5;500d5f1a9345;quicker;91.48MiB / 1.953GiB;4.57%;0.02%;487kB / 6.07MB
53.0;500d5f1a9345;quicker;91.48MiB / 1.953GiB;4.57%;0.02%;487kB / 6.07MB
53.5;500d5f1a9345;quicker;91.48MiB / 1.953GiB;4.57%;0.00%;487kB / 6.07MB
54.0;500d5f1a9345;quicker;91.48MiB / 1.953GiB;4.57%;0.00%;487kB / 6.07MB
54.5;500d5f1a9345;quicker;91.48MiB / 1.953GiB;4.57%;0.00%;487kB / 6.07MB
55.0;500d5f1a9345;quicker;91.48MiB / 1.953GiB;4.57%;0.00%;487kB / 6.07MB
55.5;500d5f1a9345;quicker;91.48MiB / 1.953GiB;4.57%;0.02%;487kB / 6.07MB
56.0;500d5f1a9345;quicker;91.48MiB / 1.953GiB;4.57%;0.02%;487kB / 6.07MB
56.5;500d5f1a9345;quicker;91.48MiB / 1.953GiB;4.57%;0.03%;487kB / 6.07MB
