30.5;0c93b8b319db;quicker;101.4MiB / 1.953GiB;5.07%;0.74%;830kB / 3.43MB
31.0;0c93b8b319db;quicker;101.4MiB / 1.953GiB;5.07%;0.74%;830kB / 3.43MB
31.5;0c93b8b319db;quicker;101.6MiB / 1.953GiB;5.08%;3.47%;833kB / 3.43MB
32.0;0c93b8b319db;quicker;101.6MiB / 1.953GiB;5.08%;3.47%;833kB / 3.43MB
32.5;0c93b8b319db;quicker;101.6MiB / 1.953GiB;5.08%;1.54%;836kB / 3.43MB
33.0;0c93b8b319db;quicker;101.6MiB / 1.953GiB;5.08%;1.54%;836kB / 3.43MB
33.5;0c93b8b319db;quicker;101.6MiB / 1.953GiB;5.08%;0.25%;836kB / 3.43MB
34.0;0c93b8b319db;quicker;101.6MiB / 1.953GiB;5.08%;0.25%;836kB / 3.43MB
34.5;0c93b8b319db;quicker;101.6MiB / 1.953GiB;5.08%;0.31%;836kB / 3.43MB
35.0;0c93b8b319db;quicker;101.6MiB / 1.953GiB;5.08%;0.31%;836kB / 3.43MB
35.5;0c93b8b319db;quicker;101.6MiB / 1.953GiB;5.08%;2.10%;839kB / 3.43MB
36.0;0c93b8b319db;quicker;101.6MiB / 1.953GiB;5.08%;2.10%;839kB / 3.43MB
36.5;0c93b8b319db;quicker;101.6MiB / 1.953GiB;5.08%;2.10%;839kB / 3.43MB
37.0;0c93b8b319db;quicker;101.8MiB / 1.953GiB;5.09%;1.98%;840kB / 3.43MB
37.5;0c93b8b319db;quicker;101.8MiB / 1.953GiB;5.09%;1.98%;840kB / 3.43MB
38.0;0c93b8b319db;quicker;101.8MiB / 1.953GiB;5.09%;2.29%;843kB / 3.43MB
38.5;0c93b8b319db;quicker;101.8MiB / 1.953GiB;5.09%;2.29%;843kB / 3.43MB
39.0;0c93b8b319db;quicker;101.8MiB / 1.953GiB;5.09%;0.40%;843kB / 3.43MB
39.5;0c93b8b319db;quicker;101.8MiB / 1.953GiB;5.09%;0.40%;843kB / 3.43MB
40.0;0c93b8b319db;quicker;101.8MiB / 1.953GiB;5.09%;0.17%;843kB / 3.43MB
40.5;0c93b8b319db;quicker;101.8MiB / 1.953GiB;5.09%;0.17%;843kB / 3.43MB
41.0;0c93b8b319db;quicker;101.8MiB / 1.953GiB;5.09%;3.23%;845kB / 3.43MB
41.5;0c93b8b319db;quicker;101.8MiB / 1.953GiB;5.09%;3.23%;845kB / 3.43MB
42.0;0c93b8b319db;quicker;101.8MiB / 1.953GiB;5.09%;4.46%;848kB / 3.43MB
42.5;0c93b8b319db;quicker;101.8MiB / 1.953GiB;5.09%;4.46%;848kB / 3.43MB
43.0;0c93b8b319db;quicker;101.8MiB / 1.953GiB;5.09%;2.86%;850kB / 3.43MB
43.5;0c93b8b319db;quicker;101.8MiB / 1.953GiB;5.09%;2.86%;850kB / 3.43MB
44.0;0c93b8b319db;quicker;101.9MiB / 1.953GiB;5.09%;1.58%;850kB / 3.43MB
44.5;0c93b8b319db;quicker;101.9MiB / 1.953GiB;5.09%;1.58%;850kB / 3.43MB
