29.5;9d5c3cf323b6;quicker;101.6MiB / 1.953GiB;5.08%;0.50%;631kB / 2.59MB
30.0;9d5c3cf323b6;quicker;101.6MiB / 1.953GiB;5.08%;0.50%;631kB / 2.59MB
30.5;9d5c3cf323b6;quicker;101.6MiB / 1.953GiB;5.08%;0.25%;631kB / 2.59MB
31.0;9d5c3cf323b6;quicker;101.6MiB / 1.953GiB;5.08%;0.25%;631kB / 2.59MB
31.5;9d5c3cf323b6;quicker;101.6MiB / 1.953GiB;5.08%;0.05%;631kB / 2.59MB
32.0;9d5c3cf323b6;quicker;101.6MiB / 1.953GiB;5.08%;0.05%;631kB / 2.59MB
32.5;9d5c3cf323b6;quicker;101.6MiB / 1.953GiB;5.08%;0.59%;632kB / 2.59MB
33.0;9d5c3cf323b6;quicker;101.6MiB / 1.953GiB;5.08%;0.59%;632kB / 2.59MB
33.5;9d5c3cf323b6;quicker;101.6MiB / 1.953GiB;5.08%;2.19%;634kB / 2.59MB
34.0;9d5c3cf323b6;quicker;101.6MiB / 1.953GiB;5.08%;2.19%;634kB / 2.59MB
34.5;9d5c3cf323b6;quicker;101.6MiB / 1.953GiB;5.08%;2.07%;637kB / 2.59MB
35.0;9d5c3cf323b6;quicker;101.6MiB / 1.953GiB;5.08%;2.07%;637kB / 2.59MB
35.5;9d5c3cf323b6;quicker;101.6MiB / 1.953GiB;5.08%;0.55%;637kB / 2.59MB
36.0;9d5c3cf323b6;quicker;101.6MiB / 1.953GiB;5.08%;0.55%;637kB / 2.59MB
36.5;9d5c3cf323b6;quicker;101.8MiB / 1.953GiB;5.09%;3.32%;640kB / 2.59MB
37.0;9d5c3cf323b6;quicker;101.8MiB / 1.953GiB;5.09%;3.32%;640kB / 2.59MB
37.5;9d5c3cf323b6;quicker;101.7MiB / 1.953GiB;5.09%;3.23%;643kB / 2.59MB
38.0;9d5c3cf323b6;quicker;101.7MiB / 1.953GiB;5.09%;3.23%;643kB / 2.59MB
38.5;9d5c3cf323b6;quicker;101.7MiB / 1.953GiB;5.09%;0.50%;643kB / 2.59MB
39.0;9d5c3cf323b6;quicker;101.7MiB / 1.953GiB;5.09%;0.50%;643kB / 2.59MB
39.5;9d5c3cf323b6;quicker;101.7MiB / 1.953GiB;5.09%;1.83%;645kB / 2.59MB
40.0;9d5c3cf323b6;quicker;101.7MiB / 1.953GiB;5.09%;1.83%;645kB / 2.59MB
40.5;9d5c3cf323b6;quicker;101.7MiB / 1.953GiB;5.09%;3.57%;648kB / 2.59MB
41.0;9d5c3cf323b6;quicker;101.7MiB / 1.953GiB;5.09%;3.57%;648kB / 2.59MB
41.5;9d5c3cf323b6;quicker;101.7MiB / 1.953GiB;5.09%;1.45%;649kB / 2.59MB
42.0;9d5c3cf323b6;quicker;101.7MiB / 1.953GiB;5.09%;1.45%;649kB / 2.59MB
42.5;9d5c3cf323b6;quicker;102MiB / 1.953GiB;5.10%;2.90%;651kB / 2.59MB
43.0;9d5c3cf323b6;quicker;102MiB / 1.953GiB;5.10%;2.90%;651kB / 2.59MB
43.5;9d5c3cf323b6;quicker;102MiB / 1.953GiB;5.10%;0.94%;651kB / 2.59MB
44.0;9d5c3cf323b6;quicker;102MiB / 1.953GiB;5.10%;0.94%;651kB / 2.59MB
44.5;9d5c3cf323b6;quicker;102MiB / 1.953GiB;5.10%;0.03%;651kB / 2.59MB
45.0;9d5c3cf323b6;quicker;102MiB / 1.953GiB;5.10%;0.03%;651kB / 2.59MB
45.5;9d5c3cf323b6;quicker;102MiB / 1.953GiB;5.10%;0.18%;652kB / 2.59MB
46.0;9d5c3cf323b6;quicker;102MiB / 1.953GiB;5.10%;0.18%;652kB / 2.59MB
46.5;9d5c3cf323b6;quicker;102MiB / 1.953GiB;5.10%;0.00%;652kB / 2.59MB
47.0;9d5c3cf323b6;quicker;102MiB / 1.953GiB;5.10%;0.00%;652kB / 2.59MB
47.5;9d5c3cf323b6;quicker;102MiB / 1.953GiB;5.10%;0.01%;652kB / 2.59MB
48.0;9d5c3cf323b6;quicker;102MiB / 1.953GiB;5.10%;0.01%;652kB / 2.59MB
48.5;9d5c3cf323b6;quicker;102MiB / 1.953GiB;5.10%;0.03%;652kB / 2.59MB
49.0;9d5c3cf323b6;quicker;102MiB / 1.953GiB;5.10%;0.03%;652kB / 2.59MB
49.5;9d5c3cf323b6;quicker;102MiB / 1.953GiB;5.10%;0.20%;652kB / 2.59MB
50.0;9d5c3cf323b6;quicker;102MiB / 1.953GiB;5.10%;0.20%;652kB / 2.59MB
