30.5;482f1c94717a;quicker;46MiB / 1.953GiB;2.30%;0.02%;61.9kB / 1.95MB
31.0;482f1c94717a;quicker;46MiB / 1.953GiB;2.30%;0.06%;61.9kB / 1.95MB
31.5;482f1c94717a;quicker;46MiB / 1.953GiB;2.30%;0.06%;61.9kB / 1.95MB
32.0;482f1c94717a;quicker;46MiB / 1.953GiB;2.30%;0.00%;61.9kB / 1.95MB
32.5;482f1c94717a;quicker;46MiB / 1.953GiB;2.30%;0.00%;61.9kB / 1.95MB
33.0;482f1c94717a;quicker;46MiB / 1.953GiB;2.30%;0.00%;61.9kB / 1.95MB
33.5;482f1c94717a;quicker;46MiB / 1.953GiB;2.30%;0.00%;61.9kB / 1.95MB
34.0;482f1c94717a;quicker;46MiB / 1.953GiB;2.30%;0.06%;61.9kB / 1.95MB
34.5;482f1c94717a;quicker;46MiB / 1.953GiB;2.30%;0.06%;61.9kB / 1.95MB
35.0;482f1c94717a;quicker;46MiB / 1.953GiB;2.30%;0.00%;61.9kB / 1.95MB
35.5;482f1c94717a;quicker;46MiB / 1.953GiB;2.30%;0.00%;61.9kB / 1.95MB
36.0;482f1c94717a;quicker;46MiB / 1.953GiB;2.30%;0.01%;61.9kB / 1.95MB
36.5;482f1c94717a;quicker;46MiB / 1.953GiB;2.30%;0.01%;61.9kB / 1.95MB
37.0;482f1c94717a;quicker;46MiB / 1.953GiB;2.30%;0.04%;61.9kB / 1.95MB
37.5;482f1c94717a;quicker;46MiB / 1.953GiB;2.30%;0.04%;61.9kB / 1.95MB
38.0;482f1c94717a;quicker;46MiB / 1.953GiB;2.30%;0.00%;61.9kB / 1.95MB
38.5;482f1c94717a;quicker;46MiB / 1.953GiB;2.30%;0.00%;61.9kB / 1.95MB
39.0;482f1c94717a;quicker;46.07MiB / 1.953GiB;2.30%;1.92%;62.7kB / 1.95MB
39.5;482f1c94717a;quicker;46.07MiB / 1.953GiB;2.30%;1.92%;62.7kB / 1.95MB
40.0;482f1c94717a;quicker;46.07MiB / 1.953GiB;2.30%;0.02%;62.7kB / 1.95MB
40.5;482f1c94717a;quicker;46.07MiB / 1.953GiB;2.30%;0.02%;62.7kB / 1.95MB
41.0;482f1c94717a;quicker;46.07MiB / 1.953GiB;2.30%;0.00%;62.7kB / 1.95MB
41.5;482f1c94717a;quicker;46.07MiB / 1.953GiB;2.30%;0.00%;62.7kB / 1.95MB
