31.0;eb94d920a118;quicker;120.4MiB / 1.953GiB;6.02%;1.01%;942kB / 6.32MB
31.5;eb94d920a118;quicker;120.4MiB / 1.953GiB;6.02%;0.59%;943kB / 6.32MB
32.0;eb94d920a118;quicker;120.4MiB / 1.953GiB;6.02%;0.59%;943kB / 6.32MB
32.5;eb94d920a118;quicker;120.7MiB / 1.953GiB;6.03%;2.46%;945kB / 6.32MB
33.0;eb94d920a118;quicker;120.7MiB / 1.953GiB;6.03%;2.46%;945kB / 6.32MB
33.5;eb94d920a118;quicker;120.7MiB / 1.953GiB;6.03%;1.60%;947kB / 6.32MB
34.0;eb94d920a118;quicker;120.7MiB / 1.953GiB;6.03%;1.60%;947kB / 6.32MB
34.5;eb94d920a118;quicker;120.7MiB / 1.953GiB;6.03%;2.62%;950kB / 6.32MB
35.0;eb94d920a118;quicker;120.7MiB / 1.953GiB;6.03%;2.62%;950kB / 6.32MB
35.5;eb94d920a118;quicker;120.7MiB / 1.953GiB;6.03%;1.33%;950kB / 6.32MB
36.0;eb94d920a118;quicker;120.7MiB / 1.953GiB;6.03%;1.33%;950kB / 6.32MB
36.5;eb94d920a118;quicker;120.7MiB / 1.953GiB;6.03%;1.67%;952kB / 6.32MB
37.0;eb94d920a118;quicker;120.7MiB / 1.953GiB;6.03%;1.67%;952kB / 6.32MB
37.5;eb94d920a118;quicker;120.8MiB / 1.953GiB;6.04%;3.49%;955kB / 6.32MB
38.0;eb94d920a118;quicker;120.8MiB / 1.953GiB;6.04%;3.49%;955kB / 6.32MB
38.5;eb94d920a118;quicker;120.7MiB / 1.953GiB;6.04%;1.48%;957kB / 6.32MB
39.0;eb94d920a118;quicker;120.7MiB / 1.953GiB;6.04%;1.48%;957kB / 6.32MB
39.5;eb94d920a118;quicker;121MiB / 1.953GiB;6.05%;2.42%;958kB / 6.32MB
40.0;eb94d920a118;quicker;121MiB / 1.953GiB;6.05%;2.42%;958kB / 6.32MB
40.5;eb94d920a118;quicker;121MiB / 1.953GiB;6.05%;1.75%;960kB / 6.32MB
41.0;eb94d920a118;quicker;121MiB / 1.953GiB;6.05%;1.75%;960kB / 6.32MB
41.5;eb94d920a118;quicker;121MiB / 1.953GiB;6.05%;1.34%;961kB / 6.32MB
42.0;eb94d920a118;quicker;121MiB / 1.953GiB;6.05%;1.34%;961kB / 6.32MB
42.5;eb94d920a118;quicker;121MiB / 1.953GiB;6.05%;2.21%;962kB / 6.32MB
43.0;eb94d920a118;quicker;121MiB / 1.953GiB;6.05%;2.21%;962kB / 6.32MB
