30.0;6b64ceab096d;quicker;126.1MiB / 1.953GiB;6.31%;0.34%;1.06MB / 6.14MB
30.5;6b64ceab096d;quicker;126.1MiB / 1.953GiB;6.31%;0.53%;1.06MB / 6.14MB
31.0;6b64ceab096d;quicker;126.1MiB / 1.953GiB;6.31%;0.53%;1.06MB / 6.14MB
31.5;6b64ceab096d;quicker;126.1MiB / 1.953GiB;6.31%;1.15%;1.06MB / 6.14MB
32.0;6b64ceab096d;quicker;126.1MiB / 1.953GiB;6.31%;1.15%;1.06MB / 6.14MB
32.5;6b64ceab096d;quicker;126.1MiB / 1.953GiB;6.31%;0.93%;1.06MB / 6.14MB
33.0;6b64ceab096d;quicker;126.1MiB / 1.953GiB;6.31%;0.93%;1.06MB / 6.14MB
33.5;6b64ceab096d;quicker;126.1MiB / 1.953GiB;6.31%;1.68%;1.06MB / 6.14MB
34.0;6b64ceab096d;quicker;126.1MiB / 1.953GiB;6.31%;1.68%;1.06MB / 6.14MB
34.5;6b64ceab096d;quicker;126.4MiB / 1.953GiB;6.32%;4.88%;1.07MB / 6.14MB
35.0;6b64ceab096d;quicker;126.4MiB / 1.953GiB;6.32%;4.88%;1.07MB / 6.14MB
35.5;6b64ceab096d;quicker;126.5MiB / 1.953GiB;6.32%;1.89%;1.07MB / 6.14MB
36.0;6b64ceab096d;quicker;126.5MiB / 1.953GiB;6.32%;1.89%;1.07MB / 6.14MB
36.5;6b64ceab096d;quicker;126.4MiB / 1.953GiB;6.32%;1.11%;1.07MB / 6.14MB
37.0;6b64ceab096d;quicker;126.4MiB / 1.953GiB;6.32%;1.11%;1.07MB / 6.14MB
37.5;6b64ceab096d;quicker;126.4MiB / 1.953GiB;6.32%;1.96%;1.07MB / 6.14MB
38.0;6b64ceab096d;quicker;126.4MiB / 1.953GiB;6.32%;1.96%;1.07MB / 6.14MB
38.5;6b64ceab096d;quicker;126.5MiB / 1.953GiB;6.32%;0.92%;1.07MB / 6.14MB
39.0;6b64ceab096d;quicker;126.5MiB / 1.953GiB;6.32%;0.92%;1.07MB / 6.14MB
39.5;6b64ceab096d;quicker;126.5MiB / 1.953GiB;6.32%;0.78%;1.07MB / 6.14MB
40.0;6b64ceab096d;quicker;126.5MiB / 1.953GiB;6.32%;0.78%;1.07MB / 6.14MB
40.5;6b64ceab096d;quicker;126.5MiB / 1.953GiB;6.32%;1.70%;1.07MB / 6.14MB
41.0;6b64ceab096d;quicker;126.5MiB / 1.953GiB;6.32%;1.70%;1.07MB / 6.14MB
41.5;6b64ceab096d;quicker;126.5MiB / 1.953GiB;6.32%;2.63%;1.08MB / 6.14MB
42.0;6b64ceab096d;quicker;126.5MiB / 1.953GiB;6.32%;2.63%;1.08MB / 6.14MB
42.5;6b64ceab096d;quicker;126.6MiB / 1.953GiB;6.33%;3.26%;1.08MB / 6.14MB
43.0;6b64ceab096d;quicker;126.6MiB / 1.953GiB;6.33%;3.26%;1.08MB / 6.14MB
43.5;6b64ceab096d;quicker;126.6MiB / 1.953GiB;6.33%;1.52%;1.08MB / 6.14MB
44.0;6b64ceab096d;quicker;126.6MiB / 1.953GiB;6.33%;1.52%;1.08MB / 6.14MB
44.5;6b64ceab096d;quicker;126.6MiB / 1.953GiB;6.33%;0.44%;1.08MB / 6.14MB
45.0;6b64ceab096d;quicker;126.6MiB / 1.953GiB;6.33%;0.44%;1.08MB / 6.14MB
45.5;6b64ceab096d;quicker;126.7MiB / 1.953GiB;6.34%;1.23%;1.08MB / 6.14MB
46.0;6b64ceab096d;quicker;126.7MiB / 1.953GiB;6.34%;1.23%;1.08MB / 6.14MB
46.5;6b64ceab096d;quicker;126.7MiB / 1.953GiB;6.34%;1.92%;1.08MB / 6.14MB
47.0;6b64ceab096d;quicker;126.7MiB / 1.953GiB;6.34%;1.92%;1.08MB / 6.14MB
47.5;6b64ceab096d;quicker;126.6MiB / 1.953GiB;6.33%;1.73%;1.08MB / 6.14MB
48.0;6b64ceab096d;quicker;126.6MiB / 1.953GiB;6.33%;1.73%;1.08MB / 6.14MB
48.5;6b64ceab096d;quicker;126.6MiB / 1.953GiB;6.33%;0.13%;1.08MB / 6.14MB
49.0;6b64ceab096d;quicker;126.6MiB / 1.953GiB;6.33%;0.13%;1.08MB / 6.14MB
49.5;6b64ceab096d;quicker;126.6MiB / 1.953GiB;6.33%;0.32%;1.08MB / 6.14MB
50.0;6b64ceab096d;quicker;126.6MiB / 1.953GiB;6.33%;0.32%;1.08MB / 6.14MB
50.5;6b64ceab096d;quicker;126.6MiB / 1.953GiB;6.33%;0.00%;1.08MB / 6.14MB
51.0;6b64ceab096d;quicker;126.6MiB / 1.953GiB;6.33%;0.00%;1.08MB / 6.14MB
51.5;6b64ceab096d;quicker;126.6MiB / 1.953GiB;6.33%;0.09%;1.08MB / 6.14MB
52.0;6b64ceab096d;quicker;126.6MiB / 1.953GiB;6.33%;0.09%;1.08MB / 6.14MB
52.5;6b64ceab096d;quicker;126.6MiB / 1.953GiB;6.33%;0.10%;1.08MB / 6.14MB
53.0;6b64ceab096d;quicker;126.6MiB / 1.953GiB;6.33%;0.10%;1.08MB / 6.14MB
53.5;6b64ceab096d;quicker;126.6MiB / 1.953GiB;6.33%;0.06%;1.08MB / 6.14MB
54.0;6b64ceab096d;quicker;126.6MiB / 1.953GiB;6.33%;0.06%;1.08MB / 6.14MB
54.5;6b64ceab096d;quicker;126.6MiB / 1.953GiB;6.33%;0.07%;1.08MB / 6.14MB
