0.0;a9440042a41e;quicker;55.82MiB / 1.953GiB;2.79%;98.37%;688B / 0B
0.5;a9440042a41e;quicker;108.9MiB / 1.953GiB;5.45%;99.19%;688B / 0B
1.0;a9440042a41e;quicker;108.9MiB / 1.953GiB;5.45%;99.19%;688B / 0B
1.5;a9440042a41e;quicker;131.6MiB / 1.953GiB;6.58%;99.55%;688B / 0B
2.0;a9440042a41e;quicker;131.6MiB / 1.953GiB;6.58%;99.55%;688B / 0B
2.5;a9440042a41e;quicker;143.4MiB / 1.953GiB;7.17%;99.27%;688B / 0B
3.0;a9440042a41e;quicker;143.4MiB / 1.953GiB;7.17%;99.27%;688B / 0B
3.5;a9440042a41e;quicker;151.1MiB / 1.953GiB;7.55%;99.50%;758B / 0B
4.0;a9440042a41e;quicker;151.1MiB / 1.953GiB;7.55%;99.50%;758B / 0B
4.5;a9440042a41e;quicker;158MiB / 1.953GiB;7.90%;99.58%;758B / 0B
5.0;a9440042a41e;quicker;158MiB / 1.953GiB;7.90%;99.58%;758B / 0B
5.5;a9440042a41e;quicker;168.6MiB / 1.953GiB;8.43%;98.43%;758B / 0B
6.0;a9440042a41e;quicker;168.6MiB / 1.953GiB;8.43%;98.43%;758B / 0B
6.5;a9440042a41e;quicker;17.81MiB / 1.953GiB;0.89%;36.28%;758B / 0B
7.0;a9440042a41e;quicker;17.81MiB / 1.953GiB;0.89%;36.28%;758B / 0B
7.5;a9440042a41e;quicker;28.55MiB / 1.953GiB;1.43%;50.65%;15.2kB / 62.8kB
8.0;a9440042a41e;quicker;28.55MiB / 1.953GiB;1.43%;50.65%;15.2kB / 62.8kB
8.5;a9440042a41e;quicker;31.86MiB / 1.953GiB;1.59%;84.32%;275kB / 199kB
9.0;a9440042a41e;quicker;31.86MiB / 1.953GiB;1.59%;84.32%;275kB / 199kB
9.5;a9440042a41e;quicker;42.32MiB / 1.953GiB;2.12%;99.16%;376kB / 311kB
10.0;a9440042a41e;quicker;42.32MiB / 1.953GiB;2.12%;99.16%;376kB / 311kB
10.5;a9440042a41e;quicker;47.03MiB / 1.953GiB;2.35%;99.21%;388kB / 469kB
11.0;a9440042a41e;quicker;47.03MiB / 1.953GiB;2.35%;99.21%;388kB / 469kB
11.5;a9440042a41e;quicker;76.88MiB / 1.953GiB;3.84%;97.84%;425kB / 993kB
12.0;a9440042a41e;quicker;76.88MiB / 1.953GiB;3.84%;97.84%;425kB / 993kB
12.5;a9440042a41e;quicker;88.95MiB / 1.953GiB;4.45%;97.79%;445kB / 1.96MB
13.0;a9440042a41e;quicker;88.95MiB / 1.953GiB;4.45%;97.79%;445kB / 1.96MB
13.5;a9440042a41e;quicker;90.24MiB / 1.953GiB;4.51%;92.27%;454kB / 3.42MB
14.0;a9440042a41e;quicker;90.24MiB / 1.953GiB;4.51%;92.27%;454kB / 3.42MB
14.5;a9440042a41e;quicker;92.33MiB / 1.953GiB;4.62%;90.89%;461kB / 4.83MB
15.0;a9440042a41e;quicker;92.33MiB / 1.953GiB;4.62%;90.89%;461kB / 4.83MB
15.5;a9440042a41e;quicker;95.35MiB / 1.953GiB;4.77%;97.63%;470kB / 6.16MB
16.0;a9440042a41e;quicker;95.35MiB / 1.953GiB;4.77%;97.63%;470kB / 6.16MB
16.5;a9440042a41e;quicker;98.4MiB / 1.953GiB;4.92%;99.11%;476kB / 8.41MB
17.0;a9440042a41e;quicker;98.4MiB / 1.953GiB;4.92%;99.11%;476kB / 8.41MB
17.5;a9440042a41e;quicker;99.74MiB / 1.953GiB;4.99%;37.72%;479kB / 8.99MB
18.0;a9440042a41e;quicker;99.74MiB / 1.953GiB;4.99%;37.72%;479kB / 8.99MB
18.5;a9440042a41e;quicker;99.77MiB / 1.953GiB;4.99%;3.47%;480kB / 9MB
19.0;a9440042a41e;quicker;99.77MiB / 1.953GiB;4.99%;3.47%;480kB / 9MB
19.5;a9440042a41e;quicker;99.68MiB / 1.953GiB;4.98%;0.69%;480kB / 9MB
20.0;a9440042a41e;quicker;99.68MiB / 1.953GiB;4.98%;0.69%;480kB / 9MB
20.5;a9440042a41e;quicker;99.8MiB / 1.953GiB;4.99%;1.58%;481kB / 9MB
21.0;a9440042a41e;quicker;99.8MiB / 1.953GiB;4.99%;1.58%;481kB / 9MB
21.5;a9440042a41e;quicker;99.69MiB / 1.953GiB;4.98%;0.43%;481kB / 9MB
22.0;a9440042a41e;quicker;99.69MiB / 1.953GiB;4.98%;0.43%;481kB / 9MB
22.5;a9440042a41e;quicker;99.69MiB / 1.953GiB;4.98%;0.60%;481kB / 9MB
23.0;a9440042a41e;quicker;99.69MiB / 1.953GiB;4.98%;0.60%;481kB / 9MB
23.5;a9440042a41e;quicker;99.69MiB / 1.953GiB;4.98%;0.69%;481kB / 9MB
24.0;a9440042a41e;quicker;99.69MiB / 1.953GiB;4.98%;0.69%;481kB / 9MB
24.5;a9440042a41e;quicker;99.81MiB / 1.953GiB;4.99%;1.38%;481kB / 9MB
25.0;a9440042a41e;quicker;99.81MiB / 1.953GiB;4.99%;1.38%;481kB / 9MB
25.5;a9440042a41e;quicker;99.73MiB / 1.953GiB;4.99%;0.29%;481kB / 9MB
26.0;a9440042a41e;quicker;99.73MiB / 1.953GiB;4.99%;0.29%;481kB / 9MB
26.5;a9440042a41e;quicker;99.73MiB / 1.953GiB;4.99%;0.23%;482kB / 9MB
27.0;a9440042a41e;quicker;99.73MiB / 1.953GiB;4.99%;0.23%;482kB / 9MB
27.5;a9440042a41e;quicker;99.86MiB / 1.953GiB;4.99%;0.35%;482kB / 9MB
28.0;a9440042a41e;quicker;99.86MiB / 1.953GiB;4.99%;0.35%;482kB / 9MB
28.5;a9440042a41e;quicker;99.73MiB / 1.953GiB;4.99%;0.35%;482kB / 9MB
29.0;a9440042a41e;quicker;99.73MiB / 1.953GiB;4.99%;0.35%;482kB / 9MB
29.5;a9440042a41e;quicker;99.73MiB / 1.953GiB;4.99%;0.33%;482kB / 9MB
30.0;a9440042a41e;quicker;99.73MiB / 1.953GiB;4.99%;0.33%;482kB / 9MB
30.5;a9440042a41e;quicker;99.73MiB / 1.953GiB;4.99%;0.38%;482kB / 9MB
31.0;a9440042a41e;quicker;99.73MiB / 1.953GiB;4.99%;0.38%;482kB / 9MB
31.5;a9440042a41e;quicker;99.73MiB / 1.953GiB;4.99%;0.26%;482kB / 9MB
32.0;a9440042a41e;quicker;99.73MiB / 1.953GiB;4.99%;0.26%;482kB / 9MB
32.5;a9440042a41e;quicker;99.73MiB / 1.953GiB;4.99%;0.32%;482kB / 9MB
33.0;a9440042a41e;quicker;99.73MiB / 1.953GiB;4.99%;0.32%;482kB / 9MB
33.5;a9440042a41e;quicker;99.73MiB / 1.953GiB;4.99%;0.48%;482kB / 9MB
34.0;a9440042a41e;quicker;99.73MiB / 1.953GiB;4.99%;0.48%;482kB / 9MB
34.5;a9440042a41e;quicker;99.73MiB / 1.953GiB;4.99%;0.06%;482kB / 9MB
35.0;a9440042a41e;quicker;99.73MiB / 1.953GiB;4.99%;0.06%;482kB / 9MB
35.5;a9440042a41e;quicker;99.73MiB / 1.953GiB;4.99%;0.27%;483kB / 9MB
36.0;a9440042a41e;quicker;99.73MiB / 1.953GiB;4.99%;0.27%;483kB / 9MB
36.5;a9440042a41e;quicker;99.73MiB / 1.953GiB;4.99%;0.03%;483kB / 9MB
37.0;a9440042a41e;quicker;99.73MiB / 1.953GiB;4.99%;0.03%;483kB / 9MB
37.5;a9440042a41e;quicker;99.86MiB / 1.953GiB;4.99%;1.48%;483kB / 9MB
38.0;a9440042a41e;quicker;99.86MiB / 1.953GiB;4.99%;1.48%;483kB / 9MB
38.5;a9440042a41e;quicker;99.75MiB / 1.953GiB;4.99%;0.45%;483kB / 9MB
39.0;a9440042a41e;quicker;99.75MiB / 1.953GiB;4.99%;0.45%;483kB / 9MB
39.5;a9440042a41e;quicker;99.87MiB / 1.953GiB;4.99%;1.43%;484kB / 9MB
40.0;a9440042a41e;quicker;99.87MiB / 1.953GiB;4.99%;1.43%;484kB / 9MB
