32.0;fba04d224381;quicker;40.74MiB / 1.953GiB;2.04%;0.03%;18.7kB / 790kB
32.5;fba04d224381;quicker;40.74MiB / 1.953GiB;2.04%;0.23%;18.9kB / 790kB
33.0;fba04d224381;quicker;40.74MiB / 1.953GiB;2.04%;0.23%;18.9kB / 790kB
33.5;fba04d224381;quicker;40.74MiB / 1.953GiB;2.04%;0.06%;18.9kB / 790kB
34.0;fba04d224381;quicker;40.74MiB / 1.953GiB;2.04%;0.06%;18.9kB / 790kB
34.5;fba04d224381;quicker;40.74MiB / 1.953GiB;2.04%;0.00%;18.9kB / 790kB
35.0;fba04d224381;quicker;40.74MiB / 1.953GiB;2.04%;0.00%;18.9kB / 790kB
35.5;fba04d224381;quicker;40.74MiB / 1.953GiB;2.04%;0.03%;18.9kB / 790kB
36.0;fba04d224381;quicker;40.74MiB / 1.953GiB;2.04%;0.03%;18.9kB / 790kB
36.5;fba04d224381;quicker;40.74MiB / 1.953GiB;2.04%;0.00%;18.9kB / 790kB
37.0;fba04d224381;quicker;40.74MiB / 1.953GiB;2.04%;0.00%;18.9kB / 790kB
37.5;fba04d224381;quicker;40.74MiB / 1.953GiB;2.04%;0.01%;18.9kB / 790kB
38.0;fba04d224381;quicker;40.74MiB / 1.953GiB;2.04%;0.01%;18.9kB / 790kB
38.5;fba04d224381;quicker;40.74MiB / 1.953GiB;2.04%;0.12%;19kB / 790kB
39.0;fba04d224381;quicker;40.74MiB / 1.953GiB;2.04%;0.12%;19kB / 790kB
39.5;fba04d224381;quicker;40.74MiB / 1.953GiB;2.04%;0.08%;19kB / 790kB
40.0;fba04d224381;quicker;40.74MiB / 1.953GiB;2.04%;0.08%;19kB / 790kB
40.5;fba04d224381;quicker;40.74MiB / 1.953GiB;2.04%;0.01%;19kB / 790kB
