31.0;ee8a50a09839;quicker;93.51MiB / 1.953GiB;4.68%;0.17%;455kB / 6.8MB
31.5;ee8a50a09839;quicker;93.51MiB / 1.953GiB;4.68%;0.29%;455kB / 6.8MB
32.0;ee8a50a09839;quicker;93.51MiB / 1.953GiB;4.68%;0.29%;455kB / 6.8MB
32.5;ee8a50a09839;quicker;93.51MiB / 1.953GiB;4.68%;0.25%;455kB / 6.8MB
33.0;ee8a50a09839;quicker;93.51MiB / 1.953GiB;4.68%;0.25%;455kB / 6.8MB
33.5;ee8a50a09839;quicker;93.51MiB / 1.953GiB;4.68%;0.00%;455kB / 6.8MB
34.0;ee8a50a09839;quicker;93.51MiB / 1.953GiB;4.68%;0.00%;455kB / 6.8MB
34.5;ee8a50a09839;quicker;93.51MiB / 1.953GiB;4.68%;0.08%;455kB / 6.8MB
35.0;ee8a50a09839;quicker;93.51MiB / 1.953GiB;4.68%;0.08%;455kB / 6.8MB
35.5;ee8a50a09839;quicker;93.51MiB / 1.953GiB;4.68%;0.38%;457kB / 6.8MB
36.0;ee8a50a09839;quicker;93.51MiB / 1.953GiB;4.68%;0.38%;457kB / 6.8MB
36.5;ee8a50a09839;quicker;93.51MiB / 1.953GiB;4.68%;1.34%;458kB / 6.8MB
37.0;ee8a50a09839;quicker;93.51MiB / 1.953GiB;4.68%;1.34%;458kB / 6.8MB
37.5;ee8a50a09839;quicker;93.51MiB / 1.953GiB;4.68%;0.03%;458kB / 6.8MB
38.0;ee8a50a09839;quicker;93.51MiB / 1.953GiB;4.68%;0.03%;458kB / 6.8MB
38.5;ee8a50a09839;quicker;93.51MiB / 1.953GiB;4.68%;0.68%;459kB / 6.8MB
39.0;ee8a50a09839;quicker;93.51MiB / 1.953GiB;4.68%;0.68%;459kB / 6.8MB
39.5;ee8a50a09839;quicker;93.51MiB / 1.953GiB;4.68%;0.36%;459kB / 6.8MB
40.0;ee8a50a09839;quicker;93.51MiB / 1.953GiB;4.68%;0.36%;459kB / 6.8MB
40.5;ee8a50a09839;quicker;93.51MiB / 1.953GiB;4.68%;0.53%;459kB / 6.8MB
41.0;ee8a50a09839;quicker;93.51MiB / 1.953GiB;4.68%;0.53%;459kB / 6.8MB
41.5;ee8a50a09839;quicker;93.51MiB / 1.953GiB;4.68%;0.28%;459kB / 6.8MB
42.0;ee8a50a09839;quicker;93.51MiB / 1.953GiB;4.68%;0.28%;459kB / 6.8MB
42.5;ee8a50a09839;quicker;93.51MiB / 1.953GiB;4.68%;0.30%;459kB / 6.8MB
43.0;ee8a50a09839;quicker;93.51MiB / 1.953GiB;4.68%;0.30%;459kB / 6.8MB
43.5;ee8a50a09839;quicker;93.51MiB / 1.953GiB;4.68%;0.35%;459kB / 6.8MB
44.0;ee8a50a09839;quicker;93.51MiB / 1.953GiB;4.68%;0.35%;459kB / 6.8MB
44.5;ee8a50a09839;quicker;93.51MiB / 1.953GiB;4.68%;0.05%;459kB / 6.8MB
45.0;ee8a50a09839;quicker;93.51MiB / 1.953GiB;4.68%;0.05%;459kB / 6.8MB
45.5;ee8a50a09839;quicker;93.51MiB / 1.953GiB;4.68%;0.76%;460kB / 6.8MB
46.0;ee8a50a09839;quicker;93.51MiB / 1.953GiB;4.68%;0.76%;460kB / 6.8MB
46.5;ee8a50a09839;quicker;93.64MiB / 1.953GiB;4.68%;1.31%;461kB / 6.8MB
47.0;ee8a50a09839;quicker;93.64MiB / 1.953GiB;4.68%;1.31%;461kB / 6.8MB
47.5;ee8a50a09839;quicker;93.52MiB / 1.953GiB;4.68%;0.11%;461kB / 6.8MB
48.0;ee8a50a09839;quicker;93.52MiB / 1.953GiB;4.68%;0.11%;461kB / 6.8MB
48.5;ee8a50a09839;quicker;93.52MiB / 1.953GiB;4.68%;0.14%;461kB / 6.8MB
49.0;ee8a50a09839;quicker;93.52MiB / 1.953GiB;4.68%;0.14%;461kB / 6.8MB
49.5;ee8a50a09839;quicker;93.52MiB / 1.953GiB;4.68%;0.04%;461kB / 6.8MB
50.0;ee8a50a09839;quicker;93.52MiB / 1.953GiB;4.68%;0.04%;461kB / 6.8MB
50.5;ee8a50a09839;quicker;93.52MiB / 1.953GiB;4.68%;0.02%;461kB / 6.8MB
51.0;ee8a50a09839;quicker;93.52MiB / 1.953GiB;4.68%;0.02%;461kB / 6.8MB
51.5;ee8a50a09839;quicker;93.52MiB / 1.953GiB;4.68%;0.00%;461kB / 6.8MB
52.0;ee8a50a09839;quicker;93.52MiB / 1.953GiB;4.68%;0.00%;461kB / 6.8MB
52.5;ee8a50a09839;quicker;93.52MiB / 1.953GiB;4.68%;0.02%;461kB / 6.8MB
