28.5;7c7fdd75f1e5;quicker;125.9MiB / 1.953GiB;6.30%;2.14%;1.2MB / 5.85MB
29.0;7c7fdd75f1e5;quicker;125.9MiB / 1.953GiB;6.30%;2.14%;1.2MB / 5.85MB
29.5;7c7fdd75f1e5;quicker;125.8MiB / 1.953GiB;6.29%;0.13%;1.2MB / 5.85MB
30.0;7c7fdd75f1e5;quicker;125.8MiB / 1.953GiB;6.29%;0.13%;1.2MB / 5.85MB
30.5;7c7fdd75f1e5;quicker;126.6MiB / 1.953GiB;6.33%;9.52%;1.21MB / 5.85MB
31.0;7c7fdd75f1e5;quicker;126.6MiB / 1.953GiB;6.33%;9.52%;1.21MB / 5.85MB
31.5;7c7fdd75f1e5;quicker;126.6MiB / 1.953GiB;6.33%;4.45%;1.22MB / 5.85MB
32.0;7c7fdd75f1e5;quicker;126.6MiB / 1.953GiB;6.33%;4.45%;1.22MB / 5.85MB
32.5;7c7fdd75f1e5;quicker;126.8MiB / 1.953GiB;6.34%;2.23%;1.22MB / 5.85MB
33.0;7c7fdd75f1e5;quicker;126.8MiB / 1.953GiB;6.34%;2.23%;1.22MB / 5.85MB
33.5;7c7fdd75f1e5;quicker;126.7MiB / 1.953GiB;6.34%;1.36%;1.22MB / 5.85MB
34.0;7c7fdd75f1e5;quicker;126.7MiB / 1.953GiB;6.34%;1.36%;1.22MB / 5.85MB
34.5;7c7fdd75f1e5;quicker;126.7MiB / 1.953GiB;6.34%;1.21%;1.22MB / 5.85MB
35.0;7c7fdd75f1e5;quicker;126.7MiB / 1.953GiB;6.34%;1.21%;1.22MB / 5.85MB
35.5;7c7fdd75f1e5;quicker;126.7MiB / 1.953GiB;6.34%;0.77%;1.22MB / 5.85MB
36.0;7c7fdd75f1e5;quicker;126.7MiB / 1.953GiB;6.34%;0.77%;1.22MB / 5.85MB
36.5;7c7fdd75f1e5;quicker;126.7MiB / 1.953GiB;6.34%;0.27%;1.22MB / 5.85MB
37.0;7c7fdd75f1e5;quicker;126.7MiB / 1.953GiB;6.34%;0.27%;1.22MB / 5.85MB
37.5;7c7fdd75f1e5;quicker;127MiB / 1.953GiB;6.35%;4.71%;1.23MB / 5.85MB
38.0;7c7fdd75f1e5;quicker;127MiB / 1.953GiB;6.35%;4.71%;1.23MB / 5.85MB
38.5;7c7fdd75f1e5;quicker;127MiB / 1.953GiB;6.35%;0.59%;1.23MB / 5.85MB
39.0;7c7fdd75f1e5;quicker;127MiB / 1.953GiB;6.35%;0.59%;1.23MB / 5.85MB
39.5;7c7fdd75f1e5;quicker;127MiB / 1.953GiB;6.35%;0.19%;1.23MB / 5.85MB
40.0;7c7fdd75f1e5;quicker;127MiB / 1.953GiB;6.35%;0.19%;1.23MB / 5.85MB
40.5;7c7fdd75f1e5;quicker;127MiB / 1.953GiB;6.35%;0.19%;1.23MB / 5.85MB
41.0;7c7fdd75f1e5;quicker;127MiB / 1.953GiB;6.35%;0.43%;1.23MB / 5.85MB
41.5;7c7fdd75f1e5;quicker;127MiB / 1.953GiB;6.35%;0.43%;1.23MB / 5.85MB
42.0;7c7fdd75f1e5;quicker;127.1MiB / 1.953GiB;6.36%;1.54%;1.23MB / 5.85MB
42.5;7c7fdd75f1e5;quicker;127.1MiB / 1.953GiB;6.36%;1.54%;1.23MB / 5.85MB
43.0;7c7fdd75f1e5;quicker;127.1MiB / 1.953GiB;6.36%;4.11%;1.24MB / 5.85MB
43.5;7c7fdd75f1e5;quicker;127.1MiB / 1.953GiB;6.36%;4.11%;1.24MB / 5.85MB
44.0;7c7fdd75f1e5;quicker;127.2MiB / 1.953GiB;6.36%;8.87%;1.25MB / 5.85MB
44.5;7c7fdd75f1e5;quicker;127.2MiB / 1.953GiB;6.36%;8.87%;1.25MB / 5.85MB
45.0;7c7fdd75f1e5;quicker;127.4MiB / 1.953GiB;6.37%;3.19%;1.25MB / 5.85MB
45.5;7c7fdd75f1e5;quicker;127.4MiB / 1.953GiB;6.37%;3.19%;1.25MB / 5.85MB
46.0;7c7fdd75f1e5;quicker;127.3MiB / 1.953GiB;6.36%;0.43%;1.25MB / 5.85MB
46.5;7c7fdd75f1e5;quicker;127.3MiB / 1.953GiB;6.36%;0.43%;1.25MB / 5.85MB
47.0;7c7fdd75f1e5;quicker;127.3MiB / 1.953GiB;6.36%;0.35%;1.25MB / 5.85MB
47.5;7c7fdd75f1e5;quicker;127.3MiB / 1.953GiB;6.36%;0.35%;1.25MB / 5.85MB
48.0;7c7fdd75f1e5;quicker;127.3MiB / 1.953GiB;6.36%;0.76%;1.25MB / 5.85MB
48.5;7c7fdd75f1e5;quicker;127.3MiB / 1.953GiB;6.36%;0.76%;1.25MB / 5.85MB
49.0;7c7fdd75f1e5;quicker;127.4MiB / 1.953GiB;6.37%;0.79%;1.25MB / 5.85MB
49.5;7c7fdd75f1e5;quicker;127.4MiB / 1.953GiB;6.37%;0.79%;1.25MB / 5.85MB
50.0;7c7fdd75f1e5;quicker;127.4MiB / 1.953GiB;6.37%;3.12%;1.25MB / 5.85MB
50.5;7c7fdd75f1e5;quicker;127.4MiB / 1.953GiB;6.37%;3.12%;1.25MB / 5.85MB
51.0;7c7fdd75f1e5;quicker;127.3MiB / 1.953GiB;6.36%;0.54%;1.25MB / 5.85MB
51.5;7c7fdd75f1e5;quicker;127.3MiB / 1.953GiB;6.36%;0.54%;1.25MB / 5.85MB
