28.5;8e7f8fc6faf8;quicker;104.8MiB / 1.953GiB;5.24%;2.48%;906kB / 5.77MB
29.0;8e7f8fc6faf8;quicker;104.8MiB / 1.953GiB;5.24%;2.48%;906kB / 5.77MB
29.5;8e7f8fc6faf8;quicker;104.8MiB / 1.953GiB;5.24%;1.59%;908kB / 5.77MB
30.0;8e7f8fc6faf8;quicker;104.8MiB / 1.953GiB;5.24%;1.59%;908kB / 5.77MB
30.5;8e7f8fc6faf8;quicker;104.8MiB / 1.953GiB;5.24%;0.45%;908kB / 5.77MB
31.0;8e7f8fc6faf8;quicker;104.8MiB / 1.953GiB;5.24%;0.45%;908kB / 5.77MB
31.5;8e7f8fc6faf8;quicker;104.9MiB / 1.953GiB;5.25%;2.45%;909kB / 5.77MB
32.0;8e7f8fc6faf8;quicker;104.9MiB / 1.953GiB;5.25%;2.45%;909kB / 5.77MB
32.5;8e7f8fc6faf8;quicker;104.8MiB / 1.953GiB;5.24%;0.58%;909kB / 5.77MB
33.0;8e7f8fc6faf8;quicker;104.8MiB / 1.953GiB;5.24%;0.58%;909kB / 5.77MB
33.5;8e7f8fc6faf8;quicker;104.8MiB / 1.953GiB;5.24%;1.00%;910kB / 5.77MB
34.0;8e7f8fc6faf8;quicker;104.8MiB / 1.953GiB;5.24%;1.00%;910kB / 5.77MB
34.5;8e7f8fc6faf8;quicker;104.8MiB / 1.953GiB;5.24%;3.51%;914kB / 5.77MB
35.0;8e7f8fc6faf8;quicker;104.8MiB / 1.953GiB;5.24%;3.51%;914kB / 5.77MB
35.5;8e7f8fc6faf8;quicker;104.8MiB / 1.953GiB;5.24%;0.82%;915kB / 5.77MB
36.0;8e7f8fc6faf8;quicker;104.8MiB / 1.953GiB;5.24%;0.82%;915kB / 5.77MB
36.5;8e7f8fc6faf8;quicker;104.8MiB / 1.953GiB;5.24%;0.08%;915kB / 5.77MB
37.0;8e7f8fc6faf8;quicker;104.8MiB / 1.953GiB;5.24%;0.08%;915kB / 5.77MB
